date,time,volume
2026-06-12,00:00,0.4485
2026-06-15,00:00,1.1053
2026-06-16,00:00,0.4668
2026-06-17,00:00,0.5828
2026-06-18,00:00,0.5342
2026-06-19,00:00,0.6751
2026-06-22,00:00,0.7698
2026-06-23,00:00,0.625
2026-06-24,00:00,0.3589
2026-06-25,00:00,0.4151
2026-06-29,00:00,0.5318
2026-06-30,00:00,0.4272
2026-07-01,00:00,0.384
2026-07-02,00:00,0.4356
2026-07-03,00:00,0.4607
2026-07-06,00:00,0.3704
2026-07-07,00:00,0.2795
2026-07-08,00:00,0.5527
2026-07-09,00:00,0.312
2026-07-10,00:00,0.376
2026-07-13,00:00,0.425
2026-07-14,00:00,0.2754
2026-07-15,00:00,0.312
2026-07-16,00:00,0.2699
2026-07-17,00:00,0.2432
2026-07-20,00:00,0.2714
2026-07-21,00:00,0.2813
2026-07-22,00:00,0.3049
2026-07-23,00:00,0.3371
2026-07-24,00:00,0.3048
2026-07-27,00:00,0.4582
2026-07-28,00:00,0.3311
2026-07-29,00:00,0.4438
2026-07-30,00:00,0.3826
2026-07-31,00:00,0.5373
2026-08-03,00:00,0.9363
2026-08-04,00:00,0.6511
2026-08-05,00:00,0.7853
2026-08-06,00:00,0.823
2026-08-07,00:00,0.6491
2026-08-10,00:00,0.8802
2026-08-11,00:00,0.6743
2026-08-12,00:00,0.6949
2026-08-13,00:00,0.6199
2026-08-14,00:00,0.503
2026-08-17,00:00,0.564
2026-08-18,00:00,0.444
2026-08-19,00:00,0.4057
2026-08-20,00:00,0.4244
2026-08-21,00:00,0.4338
2026-08-24,00:00,0.5208
2026-08-25,00:00,0.3483
2026-08-26,00:00,0.3371
2026-08-27,00:00,0.3179
2026-08-28,00:00,0.3018
2026-08-31,00:00,0.6131
2026-09-01,00:00,0.4028
2026-09-02,00:00,0.3353
2026-09-03,00:00,0.3955
2026-09-04,00:00,0.4608
2026-09-07,00:00,0.5504
2026-09-08,00:00,0.5007
2026-09-09,00:00,0.5278
2026-09-10,00:00,0.4521
2026-09-11,00:00,0.4852
2026-09-15,00:00,0.6041
2026-09-16,00:00,0.4689
