COMPANY NAME,COMMERCIAL SYN BAGS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,191.29,,,,,,,,,
Market Capitalization,770.7,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,190.81,213.33,322.55,289.8,288.4,347.43,387.0
Raw Material Cost,,,,112.51,124.72,192.61,163.92,173.54,190.08,197.05
Change in Inventory,,,,12.18,15.43,3.84,-0.54,12.99,5.81,-4.8
Power and Fuel,,,,7.29,9.55,11.25,12.4,13.39,15.83,
Other Mfr. Exp,,,,11.47,13.71,12.55,14.2,15.92,21.46,
Employee Cost,,,,32.13,37.57,43.3,44.8,51.17,58.34,65.3
Selling and admin,,,,13.37,17.6,32.22,27.93,19.57,29.66,
Other Expenses,,,,2.58,0.81,0.85,2.46,0.76,2.25,71.84
Other Income,,,,1.99,1.3,3.61,1.67,3.04,3.97,2.62
Depreciation,,,,6.9,7.66,9.45,9.62,10.93,8.82,10.87
Interest,,,,4.29,3.93,6.58,6.14,8.41,9.36,9.12
Profit before tax,,,,14.44,14.51,21.19,9.46,10.74,21.41,30.64
Tax,,,,3.02,2.53,2.89,1.37,2.88,4.29,4.32
Net profit,,,,11.42,11.98,18.31,8.09,7.86,17.12,26.32
Dividend Amount,,,,1.77,2.36,2.6,,,1.6,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,71.07,69.63,76.89,86.65,86.49,97.79,90.51,98.45,97.48,100.56
Expenses,67.07,60.89,70.02,78.79,77.04,86.41,79.49,85.45,85.39,88.66
Other Income,0.24,2.27,0.85,0.8,0.13,2.25,0.71,0.36,0.15,1.41
Depreciation,2.79,2.81,3.0,2.67,2.64,0.52,2.72,2.67,2.73,2.75
Interest,1.65,3.08,2.33,2.1,2.74,2.2,2.44,2.1,2.16,2.43
Profit before tax,-0.2,5.12,2.39,3.89,4.2,10.91,6.57,8.59,7.35,8.13
Tax,0.06,1.9,0.46,0.3,0.68,2.85,1.02,0.17,1.35,1.79
Net profit,-0.25,3.22,1.93,3.6,3.52,8.07,5.55,8.42,6.0,6.34
Operating Profit,4.0,8.74,6.87,7.86,9.45,11.38,11.02,13.0,12.09,11.9
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,11.82,11.82,12.4,39.95,39.95,39.95,40.34
Reserves,,,,57.09,66.88,93.29,80.58,88.78,110.1,137.17
Borrowings,,,,52.1,86.16,83.91,75.53,108.54,114.69,128.52
Other Liabilities,,,,18.98,31.85,31.93,30.99,35.65,42.94,52.31
Total,,,,139.99,196.71,221.53,227.05,272.92,307.68,358.34
Net Block,,,,58.04,87.09,93.69,98.64,108.06,99.72,106.31
Capital Work in Progress,,,,13.84,0.3,,12.88,0.11,1.65,26.08
Investments,,,,,,-0.04,-0.16,22.18,23.49,23.69
Other Assets,,,,68.11,109.32,127.88,115.69,142.57,182.82,202.26
Total,,,,139.99,196.71,221.53,227.05,272.92,307.68,358.34
Receivables,,,,18.43,21.34,35.66,27.65,42.41,46.18,65.38
Inventory,,,,30.23,56.87,59.31,58.13,72.14,80.72,82.54
Cash & Bank,,,,4.49,6.05,5.17,4.81,4.52,6.06,5.67
No. of Equity Shares,,,,11817400.0,11817400.0,12402400.0,39952200.0,39952200.0,39952200.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,27.07,-8.82,6.31,37.6,6.1,1.02,38.93
Cash from Investing Activity,,,,-17.05,-17.22,-7.48,-29.88,-28.81,-0.21,-45.31
Cash from Financing Activity,,,,-10.06,28.06,-0.54,-8.34,23.12,0.38,5.2
Net Cash Flow,,,,-0.04,2.02,-1.71,-0.61,0.4,1.18,-1.18
PRICE:,,,,14.43,36.37,86.33,85.13,63.05,75.44,153.0
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,3.55,3.55,3.72,4.0,4.0,4.0,4.03
