COMPANY NAME,KANPUR PLASTIPACK LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,195.85,,,,,,,,,
Market Capitalization,480.3,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,314.15,450.53,624.0,475.91,496.58,626.56,718.77
Raw Material Cost,,,,187.78,266.13,392.16,282.91,315.76,399.77,448.55
Change in Inventory,,,,-2.09,14.4,13.81,-13.99,6.96,10.52,-8.05
Power and Fuel,,,,17.94,22.59,23.93,17.86,25.39,29.89,
Other Mfr. Exp,,,,33.12,43.16,45.65,37.69,41.5,44.95,
Employee Cost,,,,34.7,40.87,57.64,55.62,59.73,63.28,71.74
Selling and admin,,,,20.02,33.31,69.24,44.68,41.56,55.28,
Other Expenses,,,,0.46,3.82,-0.26,-0.03,-0.13,-1.19,125.29
Other Income,,,,7.69,7.41,12.37,2.46,11.45,2.76,11.25
Depreciation,,,,8.88,9.18,10.61,11.28,12.85,14.23,12.08
Interest,,,,10.53,9.17,14.15,12.23,16.81,20.9,11.43
Profit before tax,,,,6.32,44.11,37.06,2.14,1.52,12.73,52.88
Tax,,,,1.39,13.8,10.87,-1.49,0.72,1.62,13.39
Net profit,,,,4.93,30.31,26.2,3.63,0.81,11.11,39.5
Dividend Amount,,,,0.86,4.01,4.72,1.07,,2.02,2.94
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,123.84,152.83,132.21,151.63,160.88,168.01,179.5,165.24,192.19,179.64
Expenses,127.4,144.52,129.38,142.06,146.16,151.35,166.71,149.76,177.67,159.5
Other Income,2.13,5.4,4.05,1.98,3.14,-4.44,1.94,1.1,4.94,5.48
Depreciation,3.19,3.71,3.55,3.59,3.59,2.87,2.95,3.09,3.07,2.98
Interest,3.56,6.31,5.09,5.46,4.65,3.96,3.29,3.19,2.4,2.55
Profit before tax,-8.18,3.69,-1.76,2.5,9.62,5.39,8.49,10.3,13.99,20.09
Tax,-1.42,0.43,-0.38,0.83,1.8,2.39,2.45,2.58,3.25,5.12
Net profit,-6.76,3.26,-1.38,1.66,7.82,3.0,6.05,7.73,10.74,14.98
Operating Profit,-3.56,8.31,2.83,9.57,14.72,16.66,12.79,15.48,14.52,20.14
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,14.32,14.32,21.47,21.47,21.47,22.48,24.49
Reserves,,,,114.25,143.14,157.52,158.56,158.52,183.08,243.98
Borrowings,,,,107.1,158.44,182.7,165.64,224.11,144.68,112.38
Other Liabilities,,,,30.52,60.59,58.66,61.24,72.32,137.36,89.39
Total,,,,266.19,376.49,420.35,406.91,476.42,487.6,470.24
Net Block,,,,163.85,184.9,213.9,208.4,278.19,207.82,206.74
Capital Work in Progress,,,,0.48,2.3,2.04,36.36,1.53,0.93,8.63
Investments,,,,0.24,3.38,3.41,3.39,3.26,3.27,5.19
Other Assets,,,,101.62,185.91,201.0,158.76,193.44,275.58,249.68
Total,,,,266.19,376.49,420.35,406.91,476.42,487.6,470.24
Receivables,,,,40.53,55.53,61.12,48.85,75.43,89.95,95.09
Inventory,,,,48.0,102.62,117.19,83.25,98.04,106.62,107.02
Cash & Bank,,,,1.24,5.17,2.79,3.67,3.25,8.89,11.2
No. of Equity Shares,,,,14326645.0,14326645.0,21480839.0,21480839.0,21480800.0,22488800.0,
New Bonus Shares,,,,,,7154194.0,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,40.87,-3.64,28.87,68.51,-4.85,37.25,50.63
Cash from Investing Activity,,,,-0.84,-33.97,-38.42,-40.95,-39.8,-4.38,22.88
Cash from Financing Activity,,,,-40.23,41.3,6.1,-26.35,45.12,-27.14,-74.8
Net Cash Flow,,,,-0.2,3.69,-3.45,1.21,0.46,5.73,-1.28
PRICE:,,,,30.87,96.17,121.1,82.4,90.0,110.57,157.89
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,2.15,2.15,2.15,2.15,2.15,2.25,2.45
