COMPANY NAME,HCP PLASTENE BULKPACK LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,193.6,,,,,,,,,
Market Capitalization,206.66,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,15.87,112.2,351.35,294.52,463.41,587.51
Raw Material Cost,,,,,14.22,83.14,260.96,212.2,350.29,405.58
Change in Inventory,,,,,3.5,3.31,-0.85,11.94,15.76,13.39
Power and Fuel,,,,,1.31,5.72,9.32,10.18,11.99,
Other Mfr. Exp,,,,,2.51,10.71,36.4,41.48,46.45,
Employee Cost,,,,,1.06,7.07,17.09,17.52,20.93,26.8
Selling and admin,,,,,0.57,3.08,8.65,8.22,11.94,
Other Expenses,,,,,2.86,0.09,0.34,0.13,2.18,112.42
Other Income,,,,,53.09,0.57,0.52,2.51,4.69,11.9
Depreciation,,,,,5.12,5.24,7.39,7.3,7.29,7.77
Interest,,,,,1.28,4.19,9.69,11.74,14.81,20.43
Profit before tax,,,,,43.53,-3.16,1.18,0.2,17.98,39.8
Tax,,,,,-20.09,-0.71,0.42,-0.11,4.65,11.01
Net profit,,,,,63.62,-3.05,-2.21,-1.19,9.63,23.2
Dividend Amount,,,,,,,,,,1.07
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,79.68,76.63,104.7,117.08,119.37,122.28,125.75,197.7,121.27,142.79
Expenses,74.69,71.15,98.11,109.57,111.18,109.36,116.6,186.44,102.18,126.2
Other Income,0.2,1.22,1.3,0.57,0.93,1.88,6.53,1.95,1.56,1.86
Depreciation,1.81,1.8,1.71,1.7,2.06,1.82,1.82,1.83,1.89,2.23
Interest,3.07,3.45,3.33,3.43,3.97,3.89,4.16,4.54,6.48,5.24
Profit before tax,0.31,1.45,2.85,2.95,3.09,9.09,9.7,6.84,12.28,10.98
Tax,0.02,0.24,0.75,0.78,0.89,-1.45,2.56,1.84,3.95,2.65
Net profit,-0.45,0.56,1.45,1.5,1.5,5.04,4.01,3.96,7.02,8.21
Operating Profit,4.99,5.48,6.59,7.51,8.19,12.92,9.15,11.26,19.09,16.59
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,10.23,10.23,10.67,10.67,10.67,10.67
Reserves,,,,,16.07,15.43,39.42,38.84,48.9,71.3
Borrowings,,,,,38.01,108.79,123.36,157.89,190.23,245.67
Other Liabilities,,,,,8.04,39.19,26.58,25.32,35.28,50.83
Total,,,,,72.35,173.64,200.03,232.72,285.08,378.47
Net Block,,,,,27.18,79.1,83.68,76.53,70.67,70.29
Capital Work in Progress,,,,,,,1.12,3.75,2.21,0.06
Investments,,,,,0.11,0.5,0.62,0.53,0.52,0.52
Other Assets,,,,,45.06,94.04,114.61,151.91,211.68,307.6
Total,,,,,72.35,173.64,200.03,232.72,285.08,378.47
Receivables,,,,,3.31,26.83,27.4,56.45,98.89,114.0
Inventory,,,,,6.61,25.14,27.3,35.71,56.24,80.51
Cash & Bank,,,,,0.24,0.45,1.37,0.72,0.78,15.45
No. of Equity Shares,,,,,10233837.0,10233837.0,10674837.0,10674800.0,10674800.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,-15.8,-22.86,-20.12,-18.89,-18.53,
Cash from Investing Activity,,,,,-0.77,-57.48,-12.73,-5.31,0.81,
Cash from Financing Activity,,,,,13.91,80.55,33.76,23.55,17.78,
Net Cash Flow,,,,,-2.65,0.21,0.91,-0.65,0.06,
PRICE:,,,,,9.1,580.0,190.25,186.9,103.3,158.1
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,1.64,1.07,1.07,1.07,1.07,1.07
