COMPANY NAME,GALAXY SURFACTANTS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1943.3,,,,,,,,,
Market Capitalization,6889.91,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,2157.58,2431.86,2761.35,2595.29,2782.37,3684.21,4461.96,3792.24,4220.91,5244.78
Raw Material Cost,1509.07,1692.0,1894.44,1624.27,1787.9,2657.54,2958.43,2455.27,2869.65,3871.33
Change in Inventory,48.79,5.91,7.92,-33.78,76.43,145.37,-54.89,-30.63,74.0,35.16
Power and Fuel,37.24,42.66,52.47,57.15,54.51,64.8,74.21,73.76,75.02,77.79
Other Mfr. Exp,83.45,90.47,87.24,89.05,97.51,115.56,140.71,147.95,150.08,139.93
Employee Cost,142.46,147.04,161.54,179.44,205.37,213.2,249.29,277.15,304.04,329.56
Selling and admin,129.81,144.09,180.49,196.02,219.33,325.0,346.73,268.11,324.3,294.59
Other Expenses,32.96,33.8,39.72,46.67,45.35,52.77,69.42,77.15,88.17,99.64
Other Income,10.42,10.14,4.68,5.92,10.86,12.51,9.85,35.46,26.39,18.39
Depreciation,47.16,48.53,51.2,62.19,73.95,71.06,83.48,99.81,110.34,123.0
Interest,27.22,30.55,30.0,23.8,13.42,12.85,21.7,22.4,19.25,30.85
Profit before tax,207.42,218.77,276.85,288.84,372.32,329.31,472.95,375.47,380.45,331.64
Tax,59.8,60.74,85.87,58.43,70.18,66.53,91.97,74.0,75.54,64.26
Net profit,147.62,158.03,190.98,230.41,302.14,262.78,380.98,301.47,304.91,267.38
Dividend Amount,21.27,24.82,28.36,49.63,63.81,63.81,77.99,77.99,14.18,77.99
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,940.49,929.0,974.06,1062.99,1041.69,1144.93,1277.92,1326.17,1329.49,1314.7
Expenses,828.0,827.34,849.98,935.34,936.12,1018.0,1154.07,1215.67,1210.14,1193.09
Other Income,6.38,23.91,5.4,8.69,3.97,7.75,11.23,5.79,-7.08,0.28
Depreciation,25.13,26.22,26.56,27.76,27.68,28.34,29.32,29.81,30.69,33.22
Interest,5.9,5.39,3.98,4.09,4.96,6.22,6.55,7.28,8.54,8.48
Profit before tax,87.84,93.96,98.94,104.49,76.9,100.12,99.21,79.2,73.04,80.19
Tax,16.47,16.46,19.22,19.78,12.29,24.25,19.72,12.71,14.07,17.76
Net profit,71.37,77.5,79.72,84.71,64.61,75.87,79.49,66.49,58.97,62.43
Operating Profit,112.49,101.66,124.08,127.65,105.57,126.93,123.85,110.5,119.35,121.61
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,35.45,35.45,35.45,35.45,35.45,35.45,35.45,35.45,35.45,35.45
Reserves,539.46,683.32,841.28,1032.3,1265.96,1538.9,1847.1,2143.8,2327.09,2709.38
Borrowings,392.85,347.96,297.8,395.88,289.25,420.68,327.37,187.42,210.28,235.47
Other Liabilities,315.1,385.22,388.59,348.21,458.16,601.64,517.79,539.26,877.17,884.81
Total,1282.86,1451.95,1563.12,1811.84,2048.82,2596.67,2727.71,2905.93,3449.99,3865.11
Net Block,455.82,446.76,518.75,747.83,711.91,760.41,923.48,972.97,1030.44,1173.74
Capital Work in Progress,10.31,24.92,82.58,65.99,123.95,205.46,139.21,158.5,261.87,181.39
Investments,0.11,0.07,,5.78,43.45,0.47,,198.03,298.52,473.63
Other Assets,816.62,980.2,961.79,992.24,1169.51,1630.33,1665.02,1576.43,1859.16,2036.35
Total,1282.86,1451.95,1563.12,1811.84,2048.82,2596.67,2727.71,2905.93,3449.99,3865.11
Receivables,347.18,418.23,426.75,439.39,468.92,638.04,614.8,593.09,686.47,750.38
Inventory,317.42,345.63,351.27,325.03,427.81,711.78,645.82,556.05,723.88,793.72
Cash & Bank,26.08,27.57,25.69,54.22,111.38,71.11,247.57,239.29,215.84,274.87
No. of Equity Shares,35454752.0,35454752.0,35454752.0,35454752.0,35454752.0,35454752.0,35454752.0,35454752.0,35454752.0,35454752.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,111.04,145.39,282.93,315.85,365.05,4.93,572.95,518.42,420.51,332.66
Cash from Investing Activity,-42.99,-54.38,-165.75,-149.36,-166.29,-81.83,-140.58,-340.91,-290.25,-365.93
Cash from Financing Activity,-57.01,-89.66,-119.22,-143.82,-164.95,59.15,-264.26,-188.92,-157.31,-51.02
Net Cash Flow,11.04,1.35,-2.04,22.67,33.81,-17.75,168.11,-11.41,-27.05,-84.29
PRICE:,,1499.75,1056.9,1178.45,2546.75,2864.4,2329.4,2271.25,2048.35,1514.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55
