COMPANY NAME,ROSSARI BIOTECH LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,508.25,,,,,,,,,
Market Capitalization,2815.41,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,516.22,600.09,709.35,1482.97,1655.88,1830.56,2080.29,2396.37
Raw Material Cost,,,355.23,369.26,470.62,1128.08,1183.96,1357.04,1464.41,1697.09
Change in Inventory,,,15.96,-2.44,8.42,20.29,12.64,63.52,31.12,28.37
Power and Fuel,,,1.26,1.74,2.4,11.92,20.4,23.3,25.91,26.7
Other Mfr. Exp,,,27.82,26.64,31.67,61.26,72.97,86.95,112.61,130.43
Employee Cost,,,27.52,37.21,41.98,67.93,98.62,103.13,132.33,154.75
Selling and admin,,,38.07,50.79,36.7,37.93,58.89,61.54,97.6,117.77
Other Expenses,,,4.46,7.41,10.86,12.64,10.65,12.36,13.47,12.1
Other Income,,,0.64,3.65,9.12,13.49,6.44,7.62,4.99,24.28
Depreciation,,,12.19,16.85,22.83,48.06,62.93,60.39,67.07,79.12
Interest,,,2.88,3.56,2.99,12.66,22.32,19.37,17.81,28.54
Profit before tax,,,63.39,87.84,106.84,136.27,144.22,177.62,185.19,202.52
Tax,,,17.71,22.58,26.79,38.58,36.96,46.93,48.81,53.3
Net profit,,,45.68,65.25,80.22,97.67,107.26,130.69,136.38,149.21
Dividend Amount,,,,2.54,2.6,2.75,2.76,2.76,2.77,2.77
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,472.72,489.65,498.35,512.73,579.56,543.72,586.11,581.68,684.86,697.2
Expenses,409.13,424.76,432.41,447.97,510.07,475.86,514.18,512.8,607.61,616.57
Other Income,0.57,1.16,1.01,0.88,1.94,1.72,2.07,0.91,19.58,3.64
Depreciation,16.07,15.37,15.16,18.32,18.22,17.75,18.23,19.61,23.53,25.62
Interest,2.52,3.69,3.68,4.94,5.5,5.73,6.09,7.67,9.06,10.98
Profit before tax,45.57,46.99,48.11,42.38,47.71,46.1,49.68,42.51,64.24,47.67
Tax,11.44,12.09,12.78,10.67,13.26,12.51,12.79,9.73,18.28,12.57
Net profit,34.13,34.9,35.33,31.7,34.44,33.6,36.88,32.77,45.97,35.1
Operating Profit,63.59,64.89,65.94,64.76,69.49,67.86,71.93,68.88,77.25,80.63
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,4.4,10.15,10.39,11.01,11.03,11.05,11.07,11.08
Reserves,,,119.41,276.53,398.39,794.15,904.14,1036.68,1174.38,1322.27
Borrowings,,,7.54,66.93,,8.43,73.93,118.8,218.0,435.94
Other Liabilities,,,118.45,117.85,152.25,441.79,375.26,400.81,482.22,504.56
Total,,,249.8,471.46,561.03,1255.38,1364.36,1567.34,1885.67,2273.85
Net Block,,,74.0,93.54,181.25,607.14,585.23,577.56,598.35,784.45
Capital Work in Progress,,,2.83,21.75,0.32,1.34,16.08,47.21,140.19,173.3
Investments,,,,17.91,,35.92,51.17,62.86,83.8,62.29
Other Assets,,,172.97,338.26,379.46,610.98,711.88,879.71,1063.33,1253.81
Total,,,249.8,471.46,561.03,1255.38,1364.36,1567.34,1885.67,2273.85
Receivables,,,85.92,94.14,144.07,304.85,353.66,425.13,474.5,557.41
Inventory,,,54.9,58.17,95.35,189.93,188.48,282.33,355.08,404.55
Cash & Bank,,,6.01,127.23,88.26,52.35,123.94,30.21,57.16,92.21
No. of Equity Shares,,,22000000.0,50752920.0,51929390.0,55056386.0,55155486.0,55245966.0,55363766.0,55383366.0
New Bonus Shares,,,,,,,,,,
Face value,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,71.18,56.83,47.77,29.36,151.56,43.26,137.44,65.07
Cash from Investing Activity,,,-36.91,-190.3,-37.18,-298.88,-180.69,-103.47,-183.31,-220.29
Cash from Financing Activity,,,-29.15,156.94,-24.59,291.79,60.86,16.19,64.9,186.32
Net Cash Flow,,,5.12,23.47,-14.0,22.27,31.72,-44.03,19.03,31.11
PRICE:,,,,,1035.55,911.6,596.1,676.95,604.65,378.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.44,5.08,5.19,5.51,5.52,5.52,5.54,5.54
