COMPANY NAME,AARTI SURFACTANTS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,481.0,,,,,,,,,
Market Capitalization,407.45,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,325.86,465.77,575.52,601.29,589.86,659.09,859.13
Raw Material Cost,,,,248.38,356.15,462.87,468.1,445.83,542.61,720.94
Change in Inventory,,,,1.07,4.77,7.33,-6.24,-0.72,8.3,-2.16
Power and Fuel,,,,12.32,13.88,13.18,15.24,15.97,16.53,
Other Mfr. Exp,,,,21.16,23.82,22.24,21.27,24.05,21.37,
Employee Cost,,,,14.3,15.71,18.01,16.86,17.91,20.19,23.57
Selling and admin,,,,7.16,15.27,34.25,25.62,22.9,24.33,
Other Expenses,,,,0.02,0.21,0.16,0.21,0.35,0.44,65.57
Other Income,,,,0.21,0.06,0.29,0.33,0.13,7.68,0.33
Depreciation,,,,10.58,12.21,12.45,15.49,16.04,17.35,17.69
Interest,,,,10.28,10.44,10.67,14.79,14.03,11.55,12.31
Profit before tax,,,,2.94,22.91,9.31,17.8,32.19,20.7,17.22
Tax,,,,0.86,1.28,3.83,5.1,10.86,6.16,4.88
Net profit,,,,2.09,21.63,5.49,12.7,21.33,14.54,12.34
Dividend Amount,,,,,2.27,,,,0.85,0.85
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,158.55,143.41,150.84,162.78,202.05,215.9,179.17,207.79,256.28,272.87
Expenses,144.21,133.79,147.12,153.89,182.36,204.27,169.83,195.1,243.07,252.58
Other Income,0.05,0.49,6.21,-0.16,1.14,0.04,0.06,0.04,0.19,0.17
Depreciation,4.21,4.23,4.31,4.4,4.41,4.35,4.41,4.47,4.46,4.75
Interest,3.41,2.57,2.6,3.12,3.26,3.28,2.8,3.16,3.06,3.52
Profit before tax,6.77,3.31,3.02,1.21,13.16,4.04,2.19,5.1,5.88,12.19
Tax,2.11,1.09,1.21,0.41,3.45,1.1,0.64,1.44,1.69,3.19
Net profit,4.65,2.22,1.81,0.8,9.72,2.94,1.56,3.66,4.19,9.0
Operating Profit,14.34,9.62,3.72,8.89,19.69,11.63,9.34,12.69,13.21,20.29
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,7.58,7.58,7.58,7.94,8.47,8.47,8.47
Reserves,,,,103.37,125.07,128.33,160.09,209.64,224.16,236.45
Borrowings,,,,108.96,151.94,161.51,149.13,99.21,110.4,104.19
Other Liabilities,,,,42.38,101.94,105.01,86.5,104.99,134.15,167.55
Total,,,,262.29,386.53,402.43,403.66,422.31,477.18,516.66
Net Block,,,,151.35,186.74,172.69,207.26,208.5,203.95,204.13
Capital Work in Progress,,,,13.95,19.74,52.06,7.9,7.64,14.65,41.03
Investments,,,,,,,,,,
Other Assets,,,,96.99,180.05,177.68,188.5,206.17,258.58,271.5
Total,,,,262.29,386.53,402.43,403.66,422.31,477.18,516.66
Receivables,,,,17.92,54.43,54.47,65.36,70.11,76.26,104.65
Inventory,,,,56.49,73.19,74.82,77.33,99.21,134.33,118.64
Cash & Bank,,,,0.1,6.73,1.43,7.69,6.31,1.21,13.43
No. of Equity Shares,,,,7584477.0,7584477.0,7584477.0,8476768.0,8476768.0,8641225.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,18.11,35.51,23.32,24.52,51.96,11.14,76.65
Cash from Investing Activity,,,,-2.15,-60.47,-22.54,-10.65,-16.22,-16.16,-45.65
Cash from Financing Activity,,,,-15.88,31.59,-6.08,-7.67,-37.11,-0.37,-19.5
Net Cash Flow,,,,0.08,6.63,-5.3,6.19,-1.37,-5.39,11.5
PRICE:,,,,,916.9,739.31,453.7,552.65,400.7,321.1
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.85,0.85,0.85,0.85,0.85,0.85,0.85
