COMPANY NAME,UNIMECH AEROSPACE AND MANUFACTURING LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,1502.7,,,,,,,,,
Market Capitalization,7649.04,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,36.35,94.17,208.78,242.93,240.49
Raw Material Cost,,,,,,8.93,30.8,48.73,53.92,61.18
Change in Inventory,,,,,,1.8,11.82,4.97,0.88,2.37
Power and Fuel,,,,,,,,,2.22,3.77
Other Mfr. Exp,,,,,,5.76,12.2,34.43,35.54,35.3
Employee Cost,,,,,,8.27,15.61,32.44,47.08,53.77
Selling and admin,,,,,,6.52,12.44,16.64,10.21,11.21
Other Expenses,,,,,,0.73,0.24,2.23,2.67,1.25
Other Income,,,,,,0.67,0.76,5.01,24.77,46.07
Depreciation,,,,,,3.1,4.08,4.46,10.56,26.26
Interest,,,,,,1.8,2.01,3.33,4.48,15.75
Profit before tax,,,,,,3.71,29.37,76.5,101.9,80.44
Tax,,,,,,0.32,6.56,18.36,18.37,16.74
Net profit,,,,,,3.39,22.81,58.13,83.46,63.28
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,62.35,59.21,61.45,53.9,68.37,62.99,61.98,33.72,81.8,107.62
Expenses,36.06,33.49,38.32,38.21,40.85,43.19,43.44,32.17,46.56,68.36
Other Income,1.8,1.82,5.08,7.71,10.16,11.44,9.87,10.9,14.76,7.33
Depreciation,1.34,1.81,1.96,2.85,3.94,5.89,6.34,6.88,7.16,7.96
Interest,1.71,0.74,1.43,1.15,1.05,1.15,1.39,1.6,11.25,1.94
Profit before tax,25.04,24.99,24.82,19.4,32.69,24.2,20.68,3.97,31.59,36.69
Tax,5.31,4.36,6.77,3.81,3.43,5.04,4.9,1.49,5.32,8.69
Net profit,19.72,20.63,18.05,15.57,29.2,19.12,15.67,2.39,26.1,27.86
Operating Profit,26.29,25.72,23.13,15.69,27.52,19.8,18.54,1.55,35.24,39.26
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,1.04,1.04,22.0,25.43,25.43
Reserves,,,,,,26.62,47.8,86.59,643.48,711.96
Borrowings,,,,,,19.96,24.04,29.9,84.31,126.73
Other Liabilities,,,,,,9.25,20.32,36.57,56.55,59.43
Total,,,,,,56.87,93.2,175.06,809.77,923.55
Net Block,,,,,,24.67,28.93,52.0,162.17,198.24
Capital Work in Progress,,,,,,3.03,0.04,0.02,5.02,3.24
Investments,,,,,,,,,343.51,479.55
Other Assets,,,,,,29.17,64.23,123.04,299.07,242.52
Total,,,,,,56.87,93.2,175.06,809.77,923.55
Receivables,,,,,,7.52,32.13,46.84,54.98,64.8
Inventory,,,,,,4.72,15.77,19.73,19.75,25.11
Cash & Bank,,,,,,7.48,4.06,11.86,142.52,123.39
No. of Equity Shares,,,,,,104230.0,104230.0,44005080.0,50856883.0,50856883.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,100.0,100.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,1.53,1.35,46.87,81.41,60.56
Cash from Investing Activity,,,,,,0.79,-5.86,-46.71,-461.35,-188.06
Cash from Financing Activity,,,,,,-0.17,2.94,5.14,514.53,22.89
Net Cash Flow,,,,,,2.15,-1.57,5.3,134.59,-104.62
PRICE:,,,,,,,,,967.75,706.3
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,0.01,0.01,4.4,5.09,5.09
