COMPANY NAME,AEQUS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,242.18,,,,,,,,,
Market Capitalization,16242.18,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,812.13,965.07,924.61,1230.44
Raw Material Cost,,,,,,,418.97,439.07,408.26,522.31
Change in Inventory,,,,,,,34.92,22.47,16.06,27.52
Power and Fuel,,,,,,,25.47,29.45,24.11,30.9
Other Mfr. Exp,,,,,,,165.33,189.32,199.57,308.82
Employee Cost,,,,,,,144.64,143.41,158.74,212.18
Selling and admin,,,,,,,48.89,51.24,63.14,82.64
Other Expenses,,,,,,,4.21,6.37,7.37,9.34
Other Income,,,,,,,25.11,43.89,-5.75,68.79
Depreciation,,,,,,,99.52,107.69,103.41,137.69
Interest,,,,,,,68.58,69.16,64.33,94.36
Profit before tax,,,,,,,-103.45,-4.28,-94.01,-71.49
Tax,,,,,,,6.05,9.96,8.34,41.76
Net profit,,,,,,,-98.83,-10.84,-102.35,-113.25
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,,,,216.34,249.29,255.57,281.59,326.17,367.1,395.55
Expenses,,,,208.97,224.76,228.36,253.08,297.15,362.9,380.78
Other Income,,,,2.54,18.77,13.63,17.85,-6.22,44.23,9.62
Depreciation,,,,26.29,24.2,24.55,32.6,35.04,45.5,45.34
Interest,,,,17.69,13.3,10.05,25.7,20.77,35.84,18.85
Profit before tax,,,,-34.07,5.8,6.24,-11.94,-33.01,-32.91,-39.8
Tax,,,,5.75,-3.11,2.62,8.65,9.68,20.81,13.42
Net profit,,,,-39.81,8.92,3.62,-20.59,-42.68,-53.72,-53.23
Operating Profit,,,,7.37,24.53,27.21,28.51,29.02,4.2,14.77
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,,424.76,424.76,581.83,670.67
Reserves,,,,,,,-146.15,-15.31,135.09,815.82
Borrowings,,,,,,,663.72,1106.05,785.05,700.93
Other Liabilities,,,,,,,409.73,336.58,400.82,545.26
Total,,,,,,,1352.06,1852.08,1902.79,2732.68
Net Block,,,,,,,685.75,660.25,525.19,1070.19
Capital Work in Progress,,,,,,,,175.39,395.09,78.66
Investments,,,,,,,57.57,91.96,76.9,105.57
Other Assets,,,,,,,608.74,924.48,905.61,1478.26
Total,,,,,,,1352.06,1852.08,1902.79,2732.68
Receivables,,,,,,,107.13,136.89,156.6,264.61
Inventory,,,,,,,328.85,383.22,451.21,609.65
Cash & Bank,,,,,,,57.37,251.98,79.79,356.65
No. of Equity Shares,,,,,,,424758026.0,424759003.0,581828940.0,670665635.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,9.81,-19.11,26.14,-98.75
Cash from Investing Activity,,,,,,,-95.49,-346.4,-69.87,-364.68
Cash from Financing Activity,,,,,,,54.37,393.49,25.4,703.97
Net Cash Flow,,,,,,,-31.3,27.99,-18.33,240.55
PRICE:,,,,,,,,,,120.96
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,42.48,42.48,58.18,67.07
