COMPANY NAME,AVALON TECHNOLOGIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,1768.1,,,,,,,,,
Market Capitalization,11812.99,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,641.87,690.47,840.72,944.72,867.17,1098.13,1603.21
Raw Material Cost,,,,428.98,435.62,560.8,613.96,552.28,718.79,1106.14
Change in Inventory,,,,17.73,-20.38,6.67,17.11,-0.06,13.32,53.29
Power and Fuel,,,,5.14,4.48,5.07,7.5,7.65,8.93,
Other Mfr. Exp,,,,10.11,10.46,11.47,13.96,13.68,17.48,
Employee Cost,,,,116.21,119.21,131.35,172.05,185.54,199.01,280.73
Selling and admin,,,,28.25,25.73,33.27,33.07,37.68,44.53,
Other Expenses,,,,6.41,8.45,7.85,8.54,7.76,7.83,96.29
Other Income,,,,11.26,5.43,30.89,14.39,14.83,17.1,28.92
Depreciation,,,,15.51,15.75,18.0,19.66,22.9,28.57,33.6
Interest,,,,44.96,26.99,24.85,34.79,16.4,16.7,15.01
Profit before tax,,,,15.29,28.83,85.62,72.69,38.05,86.71,153.65
Tax,,,,2.97,5.75,18.17,20.19,10.07,23.28,40.7
Net profit,,,,11.54,21.49,63.21,52.5,27.99,63.44,112.95
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,214.27,216.81,199.47,275.02,280.85,342.79,323.31,382.46,417.54,479.89
Expenses,197.74,199.55,195.1,244.89,246.22,301.44,293.43,343.85,369.57,423.02
Other Income,2.17,2.74,4.44,3.92,9.97,3.18,1.66,7.91,7.43,11.92
Depreciation,6.0,6.11,6.61,6.88,7.36,7.73,8.47,8.87,7.95,8.31
Interest,3.63,3.94,4.22,3.74,4.52,4.23,3.77,4.07,2.96,4.21
Profit before tax,9.07,9.95,-2.02,23.43,32.72,32.57,19.3,33.58,44.49,56.27
Tax,2.49,2.88,0.29,5.96,8.72,8.3,5.1,8.6,11.89,15.12
Net profit,6.57,7.06,-2.31,17.48,23.99,24.28,14.21,24.98,32.6,41.15
Operating Profit,16.53,17.26,4.37,30.13,34.63,41.35,29.88,38.61,47.97,56.87
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,1.53,1.6,1.6,11.59,13.14,13.23,13.35
Reserves,,,,45.04,58.35,87.19,525.43,534.2,598.32,708.35
Borrowings,,,,274.34,316.29,317.53,341.97,208.59,179.98,212.92
Other Liabilities,,,,128.74,136.24,183.11,309.55,173.38,246.48,329.77
Total,,,,449.65,512.48,589.43,1188.54,929.31,1038.01,1264.39
Net Block,,,,98.67,104.09,114.22,127.53,146.98,184.9,192.39
Capital Work in Progress,,,,2.67,,1.97,15.29,19.65,10.4,23.94
Investments,,,,2.35,,,,75.49,34.95,80.62
Other Assets,,,,345.96,408.39,473.24,1045.72,687.19,807.76,967.44
Total,,,,449.65,512.48,589.43,1188.54,929.31,1038.01,1264.39
Receivables,,,,113.79,181.89,177.37,206.2,186.86,316.01,381.27
Inventory,,,,155.26,145.78,233.02,317.9,316.34,337.9,463.29
Cash & Bank,,,,26.6,33.53,10.14,422.25,106.55,101.54,71.35
No. of Equity Shares,,,,152997.0,159667.0,159667.0,57953128.0,65712692.0,66157116.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,100.0,100.0,100.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,65.73,5.52,15.66,-13.24,17.29,25.06,
Cash from Investing Activity,,,,-19.18,-26.74,-18.4,-25.1,-146.04,53.72,
Cash from Financing Activity,,,,-42.34,27.96,-20.84,452.48,-250.82,-52.28,
Net Cash Flow,,,,4.2,6.75,-23.58,414.14,-379.56,26.49,
PRICE:,,,,,,,,494.0,757.55,928.0
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.02,0.02,0.02,5.8,6.57,6.62,6.68
