COMPANY NAME,CENTUM ELECTRONICS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,3647.6,,,,,,,,,
Market Capitalization,5383.5,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,691.6,777.7,930.39,883.26,817.43,779.94,922.97,1090.82,1155.42,952.75
Raw Material Cost,303.03,341.62,382.56,362.06,327.52,306.5,414.66,544.64,622.27,649.79
Change in Inventory,-8.11,8.18,-1.21,6.54,-17.9,4.54,-0.53,19.15,26.69,28.11
Power and Fuel,4.96,7.22,5.67,6.09,5.37,5.55,8.93,9.44,8.51,
Other Mfr. Exp,7.21,9.81,9.64,9.32,11.2,11.85,15.1,16.77,14.87,
Employee Cost,227.59,290.58,328.65,325.83,302.34,320.33,333.11,367.54,364.14,131.74
Selling and admin,66.42,75.18,75.99,63.0,38.68,49.5,46.63,53.29,54.58,
Other Expenses,18.59,38.1,44.44,26.63,25.96,20.98,27.81,32.44,21.03,63.89
Other Income,31.81,13.07,7.07,4.83,5.79,-52.43,7.1,1.93,-6.12,-136.7
Depreciation,23.25,28.19,27.84,41.39,45.3,43.19,43.83,45.27,44.08,19.51
Interest,18.41,21.8,34.92,36.82,29.52,26.35,27.34,34.63,32.9,16.91
Profit before tax,45.84,-13.55,26.54,23.49,19.43,-52.2,12.13,7.88,13.61,-37.68
Tax,8.61,0.98,-0.27,7.38,7.39,1.26,5.44,10.63,15.53,14.13
Net profit,34.34,-18.97,28.22,19.93,17.16,-30.54,9.82,1.78,2.46,-51.81
Dividend Amount,6.38,1.29,6.44,3.22,5.16,3.22,5.16,7.73,8.83,7.37
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,298.19,296.9,245.51,259.83,273.04,267.08,273.4,277.0,237.04,340.43
Expenses,269.3,278.76,229.98,239.55,246.45,221.37,250.68,256.83,204.95,291.73
Other Income,1.07,-1.11,1.28,1.47,-25.77,-4.95,4.71,6.62,-92.19,-25.9
Depreciation,11.52,12.02,12.26,11.17,9.0,4.54,10.26,9.62,5.16,4.99
Interest,7.72,9.74,7.58,7.68,7.92,6.39,6.96,8.33,4.19,4.96
Profit before tax,10.72,-4.73,-3.03,2.9,-16.1,29.83,10.21,8.84,-69.45,12.85
Tax,3.47,2.16,0.82,3.21,3.2,8.3,5.74,4.62,-7.4,11.21
Net profit,7.25,-6.9,-3.84,-0.31,-19.3,21.53,4.48,4.23,-62.05,1.64
Operating Profit,28.89,18.14,15.53,20.28,26.59,45.71,22.72,20.17,32.09,48.7
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,12.75,12.87,12.88,12.89,12.89,12.89,12.89,12.89,14.71,14.74
Reserves,197.21,177.17,206.14,192.25,210.2,191.08,197.83,190.38,390.52,328.47
Borrowings,278.56,389.61,356.53,372.4,374.26,320.16,308.09,241.85,187.35,123.48
Other Liabilities,376.87,493.36,515.42,496.59,380.91,395.68,551.18,618.14,646.86,836.02
Total,865.39,1073.01,1090.97,1074.13,978.26,919.81,1069.99,1063.26,1239.44,1302.71
Net Block,250.43,238.6,204.78,256.48,252.56,239.33,219.84,238.31,217.39,139.86
Capital Work in Progress,11.3,26.59,13.86,11.42,19.21,12.02,28.17,10.39,15.05,
Investments,44.91,14.44,12.05,40.1,48.79,7.29,9.63,8.47,0.06,
Other Assets,558.75,793.38,860.28,766.13,657.7,661.17,812.35,806.09,1006.94,1162.85
Total,865.39,1073.01,1090.97,1074.13,978.26,919.81,1069.99,1063.26,1239.44,1302.71
Receivables,187.69,239.95,274.28,248.91,216.12,249.9,331.0,227.98,306.54,299.67
Inventory,183.9,269.7,236.9,235.79,194.19,224.83,261.06,317.38,347.41,456.21
Cash & Bank,28.99,35.61,29.16,23.31,59.86,57.41,42.2,71.58,129.0,120.11
No. of Equity Shares,12752696.0,12869684.0,12881118.0,12884841.0,12884841.0,12884841.0,12884841.0,12888494.0,14707212.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-52.7,-26.78,50.5,109.26,80.6,103.49,70.93,201.81,-29.35,60.39
Cash from Investing Activity,-69.6,-31.49,-22.33,-10.86,12.91,-15.41,-9.74,-43.88,-58.45,-43.24
Cash from Financing Activity,96.76,66.33,-32.58,-102.13,-65.97,-81.18,-88.05,-132.99,107.15,-25.39
Net Cash Flow,-25.54,8.07,-4.4,-3.72,27.55,6.9,-26.87,24.93,19.35,-8.24
PRICE:,586.1,512.55,440.25,252.85,377.85,452.25,705.25,1683.75,1594.75,2764.2
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.28,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.47,1.47
