COMPANY NAME,COHANCE LIFESCIENCES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,451.9,,,,,,,,,
Market Capitalization,17270.55,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,377.83,833.79,1009.72,1320.22,1340.33,1051.35,1197.58,2268.55
Raw Material Cost,,,124.52,240.24,310.32,459.46,430.08,265.88,222.66,705.39
Change in Inventory,,,21.32,11.05,8.37,60.35,20.94,-49.16,-82.63,42.76
Power and Fuel,,,18.06,38.24,44.2,59.55,73.93,48.3,47.29,
Other Mfr. Exp,,,33.83,66.49,90.76,115.25,104.84,86.75,128.66,
Employee Cost,,,29.63,65.1,76.23,100.48,118.25,135.92,250.88,507.71
Selling and admin,,,16.23,44.76,44.96,52.94,46.45,41.0,58.34,
Other Expenses,,,5.33,5.23,8.61,10.96,13.54,18.46,31.81,671.22
Other Income,,,0.6,66.31,67.97,133.29,46.35,61.84,58.45,4.62
Depreciation,,,11.5,23.51,31.64,39.1,47.99,54.6,77.49,187.33
Interest,,,2.79,23.07,11.67,8.53,12.81,7.45,12.35,37.24
Profit before tax,,,157.86,404.51,467.67,667.59,559.73,405.67,343.92,207.04
Tax,,,48.59,87.51,105.34,213.78,148.44,105.39,79.15,56.92
Net profit,,,109.27,317.0,362.34,453.8,411.29,300.28,267.87,179.23
Dividend Amount,,,,63.65,50.92,127.3,152.76,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,219.82,252.93,488.08,603.77,676.23,840.42,549.31,555.57,544.55,619.12
Expenses,153.74,179.58,362.98,398.4,438.86,611.2,437.3,434.62,449.2,520.44
Other Income,14.34,17.05,19.41,16.19,21.56,-3.73,6.07,15.6,1.3,-18.35
Depreciation,12.79,17.25,31.28,37.79,43.56,54.17,45.14,44.02,46.94,51.23
Interest,2.16,2.3,10.2,9.61,10.8,10.45,10.18,8.76,9.11,9.19
Profit before tax,65.47,70.85,103.03,174.16,204.57,160.87,62.76,83.77,40.6,19.91
Tax,18.72,17.48,27.66,35.92,51.09,43.72,16.36,17.38,11.58,11.6
Net profit,46.75,53.37,75.37,138.47,153.07,120.43,48.88,74.08,36.72,19.55
Operating Profit,66.08,73.35,125.1,205.37,237.37,229.22,112.01,120.95,95.35,98.68
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,12.73,25.46,25.46,25.46,25.46,25.46,38.26
Reserves,,,577.56,832.03,1155.34,1501.72,1709.73,2025.21,1671.12,3873.03
Borrowings,,,82.79,186.2,143.04,97.12,70.34,65.0,279.07,400.49
Other Liabilities,,,122.67,141.85,150.63,205.29,160.22,138.41,1055.55,1417.86
Total,,,783.02,1172.81,1474.47,1829.59,1965.75,2254.08,3031.2,5729.64
Net Block,,,270.9,356.74,441.16,534.19,663.33,669.62,1713.42,3373.25
Capital Work in Progress,,,111.07,101.71,96.33,29.99,165.09,179.08,255.61,173.22
Investments,,,7.13,338.13,541.79,598.32,536.03,904.48,336.69,528.55
Other Assets,,,393.92,376.23,395.19,667.09,601.3,500.9,725.48,1654.62
Total,,,783.02,1172.81,1474.47,1829.59,1965.75,2254.08,3031.2,5729.64
Receivables,,,147.5,117.2,102.38,236.37,110.94,133.66,284.44,681.01
Inventory,,,157.1,174.87,201.08,283.42,312.81,231.2,166.57,562.23
Cash & Bank,,,12.9,14.08,9.65,47.31,68.01,50.5,88.67,59.66
No. of Equity Shares,,,,127282478.0,254564960.0,254564960.0,254564960.0,254564960.0,254564960.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,50.4,406.92,382.55,330.0,457.2,358.48,288.16,368.32
Cash from Investing Activity,,,-65.48,-413.45,-311.4,-136.21,-195.01,-362.25,-253.31,-254.57
Cash from Financing Activity,,,25.98,7.32,-75.66,-156.41,-241.95,-13.8,3.32,-165.15
Net Cash Flow,,,10.9,0.79,-4.51,37.38,20.24,-17.57,38.17,-51.4
PRICE:,,,,100.53,496.8,618.45,472.4,677.1,1151.0,301.45
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,25.46,25.46,25.46,25.46,25.46,25.46,38.26
