COMPANY NAME,PIRAMAL PHARMA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,177.16,,,,,,,,,
Market Capitalization,23598.52,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,6314.9,6559.1,7081.55,8171.16,9151.18,8869.08
Raw Material Cost,,,,,2111.85,2396.03,2634.66,3152.6,3473.06,3426.38
Change in Inventory,,,,,52.74,-55.21,-68.64,198.6,241.41,187.84
Power and Fuel,,,,,136.7,163.56,207.81,241.59,267.16,260.18
Other Mfr. Exp,,,,,445.01,467.18,561.78,602.77,650.48,687.54
Employee Cost,,,,,1468.22,1589.87,1898.37,2032.22,2310.29,2419.18
Selling and admin,,,,,709.15,867.11,915.45,991.61,1058.93,1117.33
Other Expenses,,,,,68.75,69.94,166.12,152.25,187.84,224.69
Other Income,,,,,229.58,319.21,272.0,171.63,207.74,74.36
Depreciation,,,,,545.04,586.18,676.69,740.57,816.34,831.24
Interest,,,,,163.45,198.25,344.18,448.49,421.59,340.8
Profit before tax,,,,,949.05,484.98,-120.15,179.29,414.64,-176.06
Tax,,,,,114.02,109.02,66.31,161.47,323.51,149.88
Net profit,,,,,835.03,375.96,-186.46,17.82,91.13,-325.94
Dividend Amount,,,,,,66.41,,14.55,18.54,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,1958.57,2552.36,1951.14,2241.75,2204.22,2754.07,1933.71,2043.72,2139.87,2751.77
Expenses,1690.2,2022.43,1746.65,1900.14,1866.48,2193.08,1827.01,1885.03,1944.14,2291.26
Other Income,43.19,7.9,41.94,78.37,29.18,58.25,97.71,80.39,12.39,-116.14
Depreciation,186.32,196.13,184.55,192.22,196.81,242.76,197.28,202.84,212.74,218.38
Interest,105.88,114.22,106.96,107.64,103.31,103.68,86.15,82.42,89.24,82.99
Profit before tax,19.36,227.48,-45.08,120.12,66.8,272.8,-79.02,-46.18,-93.86,43.0
Tax,9.25,126.21,43.56,97.53,63.12,119.3,2.68,53.04,42.33,51.83
Net profit,10.11,101.27,-88.64,22.59,3.68,153.5,-81.7,-99.22,-136.19,-8.83
Operating Profit,268.37,529.93,204.49,341.61,337.74,560.99,106.7,158.69,195.73,460.51
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,994.6,1185.91,1193.32,1322.95,1324.35,1327.16
Reserves,,,,,4610.4,5510.69,5580.18,6588.42,6801.12,6835.46
Borrowings,,,,,3025.09,4127.92,5637.08,4710.16,4856.47,5674.59
Other Liabilities,,,,,2047.2,1780.51,1892.67,2461.1,2447.3,3769.65
Total,,,,,10677.29,12605.03,14303.25,15082.63,15429.24,17606.86
Net Block,,,,,6105.49,6879.18,7468.6,7989.93,8133.43,8683.96
Capital Work in Progress,,,,,626.65,1172.34,1418.58,1115.8,976.9,1099.79
Investments,,,,,122.67,267.17,638.98,384.95,290.65,436.79
Other Assets,,,,,3822.48,4286.34,4777.09,5591.95,6028.26,7386.32
Total,,,,,10677.29,12605.03,14303.25,15082.63,15429.24,17606.86
Receivables,,,,,1574.94,1785.28,1799.34,2134.43,2349.52,2157.67
Inventory,,,,,1232.0,1388.8,1681.37,2175.88,2312.7,3064.44
Cash & Bank,,,,,405.62,328.99,307.56,482.56,501.46,1223.64
No. of Equity Shares,,,,,994600000.0,1185913506.0,1193318500.0,1322948130.0,1324350780.0,1327163488.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,597.58,766.42,483.89,1004.54,892.3,1652.6
Cash from Investing Activity,,,,,-4464.39,-1737.4,-1333.63,-416.22,-488.34,-819.68
Cash from Financing Activity,,,,,3976.83,794.19,817.79,-422.36,-440.83,-38.98
Net Cash Flow,,,,,110.02,-176.79,-31.95,165.96,-36.87,793.94
PRICE:,,,,,,,66.84,128.9,224.75,136.54
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,132.3,132.29,132.57,132.92
