COMPANY NAME,WINDLAS BIOTECH LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,829.95,,,,,,,,,
Market Capitalization,1713.64,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,352.21,307.27,328.85,427.6,465.93,513.08,630.96,759.88,904.09
Raw Material Cost,,234.55,188.27,224.35,270.74,307.56,340.71,386.59,493.38,550.13
Change in Inventory,,-2.35,-3.65,12.75,-3.67,4.74,15.27,-9.59,21.52,-7.1
Power and Fuel,,7.29,7.28,8.04,11.53,11.01,12.9,16.15,21.61,28.29
Other Mfr. Exp,,5.81,5.16,4.81,8.37,8.95,8.63,10.52,11.57,9.72
Employee Cost,,44.54,42.96,43.57,58.32,63.41,70.32,87.46,122.92,152.09
Selling and admin,,13.8,18.29,16.25,15.09,23.55,30.15,35.89,33.54,45.42
Other Expenses,,4.53,3.91,10.57,5.35,3.77,5.42,6.58,4.28,6.59
Other Income,,4.33,53.8,2.48,-18.53,6.71,9.97,13.47,18.02,17.8
Depreciation,,17.35,10.59,9.29,12.97,12.15,12.36,13.44,27.99,30.74
Interest,,6.47,4.84,2.53,1.29,1.42,0.79,1.11,4.38,4.83
Profit before tax,,19.85,76.12,24.67,21.74,45.56,57.04,77.1,79.75,86.98
Tax,,8.65,12.3,8.45,6.17,7.47,14.41,18.91,18.76,20.52
Net profit,,11.2,63.82,16.21,15.83,38.09,42.63,58.19,60.99,66.46
Dividend Amount,,,,,,7.63,8.37,11.44,12.16,12.98
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,162.21,171.29,175.15,187.0,195.02,202.71,210.09,222.4,233.1,238.5
Expenses,141.86,149.28,154.27,163.95,170.39,177.16,183.56,193.84,208.72,213.21
Other Income,3.16,4.44,4.13,4.84,4.11,4.94,5.24,3.65,4.57,4.35
Depreciation,3.39,3.54,6.21,6.5,6.94,8.34,7.45,7.6,7.7,8.0
Interest,0.31,0.28,0.49,1.1,1.46,1.33,1.06,1.02,1.28,1.48
Profit before tax,19.81,22.63,18.31,20.29,20.34,20.82,23.26,23.59,19.97,20.16
Tax,4.71,5.64,4.83,4.63,4.76,4.55,5.59,5.79,4.97,4.18
Net profit,15.1,16.99,13.48,15.66,15.58,16.28,17.66,17.8,15.0,15.99
Operating Profit,20.35,22.01,20.88,23.05,24.63,25.55,26.53,28.56,24.38,25.29
BALANCE SHEET,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,5.59,6.41,6.41,6.41,10.9,10.46,10.4,10.48,10.55
Reserves,,119.45,187.17,203.25,192.71,383.88,391.81,439.54,495.29,570.29
Borrowings,,57.43,31.84,28.93,32.35,6.64,4.99,3.64,32.6,35.25
Other Liabilities,,107.41,72.76,99.9,64.66,89.59,121.71,172.62,222.08,291.26
Total,,289.88,298.18,338.49,296.13,491.01,528.97,626.2,760.45,907.35
Net Block,,86.49,64.26,70.26,95.94,91.18,109.41,179.05,223.39,213.33
Capital Work in Progress,,52.56,4.58,,0.04,8.01,14.78,5.71,5.32,59.59
Investments,,22.57,122.35,116.28,23.14,64.82,106.51,173.44,223.37,268.37
Other Assets,,128.26,106.99,151.95,177.01,327.0,298.27,268.0,308.37,366.06
Total,,289.88,298.18,338.49,296.13,491.01,528.97,626.2,760.45,907.35
Receivables,,66.59,61.74,63.94,79.41,110.77,116.86,136.28,166.86,227.4
Inventory,,35.05,19.03,49.32,41.46,58.71,74.74,62.19,81.38,61.82
Cash & Bank,,7.66,13.2,18.38,31.11,113.82,25.45,30.95,15.93,1.81
No. of Equity Shares,,5588236.0,6411063.0,6411063.0,6411063.0,21794375.0,20926628.0,20798575.0,20959311.0,21106229.0
New Bonus Shares,,,,,,5385293.0,,,,
Face value,,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,34.88,18.65,25.01,11.46,9.13,60.97,108.96,68.19,104.93
Cash from Investing Activity,,-10.99,-6.77,-14.34,-20.2,-154.58,-14.11,-92.07,-74.06,-91.79
Cash from Financing Activity,,-26.05,-6.23,-5.44,0.78,130.09,-43.74,-15.29,1.01,-13.03
Net Cash Flow,,-2.16,5.66,5.22,-7.97,-15.36,3.12,1.6,-4.86,0.11
PRICE:,,,,,,210.05,225.3,510.3,1040.5,736.75
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,0.56,0.64,0.64,0.64,2.18,2.13,2.08,2.1,2.11
