COMPANY NAME,EMS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,419.3,,,,,,,,,
Market Capitalization,2328.41,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,325.64,330.7,359.85,538.13,793.3,965.83,732.75
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,16.63,-7.48,18.67,50.62,-16.1,-40.5,150.87
Power and Fuel,,,,8.06,7.3,11.62,2.23,2.3,2.32,
Other Mfr. Exp,,,,227.29,205.78,238.45,408.13,535.36,626.17,
Employee Cost,,,,6.79,7.85,10.65,19.39,26.09,31.17,43.95
Selling and admin,,,,2.19,1.35,3.09,5.95,5.23,7.69,
Other Expenses,,,,1.89,2.04,2.2,3.04,4.37,3.86,699.24
Other Income,,,,6.72,5.48,3.25,5.11,15.76,15.87,12.25
Depreciation,,,,1.57,1.74,2.52,3.4,6.53,9.62,10.21
Interest,,,,2.9,4.45,5.75,3.84,6.29,11.39,13.25
Profit before tax,,,,98.3,98.19,107.49,147.88,206.79,248.98,129.22
Tax,,,,25.87,26.28,28.56,39.03,54.13,65.19,38.02
Net profit,,,,72.43,71.88,78.15,107.69,152.38,183.54,90.53
Dividend Amount,,,,,,,,11.11,8.33,8.33
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,199.56,245.26,206.28,233.47,245.29,269.84,238.89,173.49,200.36,120.5
Expenses,152.72,177.64,156.0,164.94,174.2,205.0,184.78,136.32,169.61,102.19
Other Income,6.25,0.67,2.25,2.03,2.63,2.23,2.33,4.38,2.52,3.07
Depreciation,1.35,2.67,2.16,2.38,2.56,2.52,2.55,2.48,2.63,2.55
Interest,1.2,1.77,0.96,0.78,1.36,1.86,3.05,2.65,3.48,4.06
Profit before tax,50.54,63.85,49.41,67.4,69.8,62.69,50.84,36.42,27.16,14.77
Tax,13.11,16.46,12.25,17.75,19.19,15.77,12.78,8.29,7.88,9.05
Net profit,37.33,47.39,37.12,49.65,50.5,46.6,37.88,28.24,18.83,5.59
Operating Profit,46.84,67.62,50.28,68.53,71.09,64.84,54.11,37.17,30.75,18.31
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,11.75,11.75,11.75,47.0,55.53,55.53,55.53
Reserves,,,,218.24,290.16,368.43,443.72,742.6,920.15,999.88
Borrowings,,,,15.72,3.58,3.78,45.4,70.65,85.99,154.25
Other Liabilities,,,,62.37,72.83,118.59,102.84,101.42,103.64,121.02
Total,,,,308.08,378.32,502.55,638.96,970.2,1165.31,1330.68
Net Block,,,,31.13,35.53,50.54,53.95,93.55,95.67,123.09
Capital Work in Progress,,,,0.43,2.75,0.3,4.03,,,37.18
Investments,,,,0.43,0.44,0.51,1.97,10.39,18.14,10.39
Other Assets,,,,276.09,339.6,451.2,579.01,866.26,1051.5,1160.02
Total,,,,308.08,378.32,502.55,638.96,970.2,1165.31,1330.68
Receivables,,,,39.36,93.29,157.82,123.54,242.62,376.79,387.41
Inventory,,,,42.9,35.43,54.13,104.76,88.62,48.12,225.57
Cash & Bank,,,,53.04,67.52,89.92,121.22,111.38,161.66,58.95
No. of Equity Shares,,,,11750000.0,11750000.0,11750000.0,47000000.0,55530807.0,55530807.0,
New Bonus Shares,,,,,,,35250000.0,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,47.17,35.77,22.64,4.2,-115.92,33.54,-14.9
Cash from Investing Activity,,,,-26.55,-8.48,-14.78,-21.42,-82.81,19.19,-59.92
Cash from Financing Activity,,,,-6.11,-10.9,2.76,37.84,176.2,0.85,-2.23
Net Cash Flow,,,,14.51,16.4,10.62,20.62,-22.53,53.58,-77.05
PRICE:,,,,,,,,402.4,618.2,259.85
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,1.18,1.18,1.18,4.7,5.55,5.55,5.55
