COMPANY NAME,FELIX INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,182.95,,,,,,,,,
Market Capitalization,314.79,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,19.38,33.66,36.58,102.21
Raw Material Cost,,,,,,,10.98,19.24,12.98,35.93
Change in Inventory,,,,,,,1.92,6.72,2.5,5.7
Power and Fuel,,,,,,,0.04,0.1,0.06,
Other Mfr. Exp,,,,,,,2.42,4.61,4.09,
Employee Cost,,,,,,,4.64,7.24,9.5,15.92
Selling and admin,,,,,,,0.83,3.43,3.18,
Other Expenses,,,,,,,0.26,0.12,1.0,27.85
Other Income,,,,,,,0.06,1.88,5.52,3.66
Depreciation,,,,,,,0.25,0.36,0.76,2.02
Interest,,,,,,,0.51,0.6,1.03,3.16
Profit before tax,,,,,,,1.43,6.56,12.0,26.69
Tax,,,,,,,0.26,1.55,2.88,8.51
Net profit,,,,,,,1.17,5.01,9.11,18.14
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,,,8.01,8.01,7.82,12.99,20.62,17.38,26.78,37.43
Expenses,,,7.47,7.47,4.29,9.33,15.04,9.68,19.46,29.83
Other Income,,,0.72,0.72,2.15,1.95,0.4,0.95,0.61,1.71
Depreciation,,,0.17,0.17,0.31,0.11,0.42,0.37,0.55,0.68
Interest,,,0.09,0.09,0.26,0.6,0.78,0.76,0.72,0.9
Profit before tax,,,1.0,1.0,5.11,4.9,4.78,7.52,6.66,7.73
Tax,,,0.69,0.69,0.43,1.08,1.22,2.19,1.71,3.4
Net profit,,,0.51,0.31,3.95,3.25,3.69,4.79,5.57,4.09
Operating Profit,,,0.54,0.54,3.53,3.66,5.58,7.7,7.32,7.6
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,,5.09,12.44,13.67,17.21
Reserves,,,,,,,11.11,53.44,75.82,134.54
Borrowings,,,,,,,4.44,2.85,17.76,33.87
Other Liabilities,,,,,,,3.67,7.93,41.41,59.84
Total,,,,,,,24.31,76.66,148.66,245.46
Net Block,,,,,,,4.14,6.62,57.94,67.25
Capital Work in Progress,,,,,,,1.21,3.68,19.48,22.77
Investments,,,,,,,0.53,0.53,2.03,4.72
Other Assets,,,,,,,18.43,65.83,69.21,150.72
Total,,,,,,,24.31,76.66,148.66,245.46
Receivables,,,,,,,5.78,12.79,15.78,34.04
Inventory,,,,,,,4.83,11.55,14.05,19.75
Cash & Bank,,,,,,,0.07,5.18,3.33,9.82
No. of Equity Shares,,,,,,,5093000.0,12443000.0,13673100.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,-6.06,-33.31,29.56,-36.59
Cash from Investing Activity,,,,,,,-1.23,-4.08,-67.12,-15.83
Cash from Financing Activity,,,,,,,7.29,42.49,35.72,58.9
Net Cash Flow,,,,,,,,5.1,-1.84,6.49
PRICE:,,,,,,,124.95,333.0,146.65,158.5
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.51,1.24,1.37,1.72
