COMPANY NAME,JINDAL DRILLING & INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,625.55,,,,,,,,,
Market Capitalization,1807.45,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,371.6,148.94,207.39,216.2,397.86,419.86,512.17,617.01,827.95,996.57
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,0.55,0.24,0.44,0.47,0.26,0.18,0.25,0.2,0.25,
Other Mfr. Exp,277.35,98.26,143.13,119.1,240.51,231.95,249.44,323.5,484.47,
Employee Cost,43.0,27.13,33.02,45.97,67.35,66.86,71.12,75.46,89.2,93.73
Selling and admin,15.47,10.61,5.52,8.1,6.83,7.66,9.64,9.45,11.3,
Other Expenses,18.21,72.36,15.56,619.55,40.97,3.67,18.71,69.48,2.21,553.64
Other Income,88.95,55.72,81.25,33.63,8.09,31.98,46.55,28.73,131.01,79.81
Depreciation,9.23,9.18,8.94,25.76,32.38,43.41,62.8,63.63,89.12,150.62
Interest,10.26,3.77,13.5,14.37,15.79,11.54,10.68,15.32,18.95,8.43
Profit before tax,86.48,-16.89,68.53,-583.49,1.86,86.57,136.08,88.7,263.46,269.96
Tax,6.72,-8.56,0.32,7.2,7.73,22.11,39.19,37.55,47.57,59.36
Net profit,79.75,-8.33,68.21,-590.69,-5.87,64.47,96.88,51.14,215.9,210.6
Dividend Amount,1.45,1.45,1.45,1.45,1.45,1.45,1.45,1.45,2.9,2.9
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,183.06,197.92,170.98,172.5,239.46,245.01,254.09,238.03,241.58,262.87
Expenses,128.02,195.33,132.44,141.26,158.79,158.03,147.28,145.46,169.88,184.76
Other Income,6.79,10.6,34.01,28.68,31.81,36.93,18.13,120.8,-77.11,18.0
Depreciation,15.92,16.04,16.02,16.02,26.45,30.62,37.19,37.88,37.8,37.74
Interest,3.66,1.91,5.06,4.07,3.66,3.49,2.55,2.11,2.26,1.51
Profit before tax,42.25,-4.76,51.47,39.83,82.37,89.8,85.2,173.38,-45.47,56.86
Tax,10.31,10.24,7.61,5.36,16.42,18.19,19.09,40.86,-12.08,11.48
Net profit,31.94,-15.0,43.86,34.47,65.95,71.61,66.11,132.52,-33.39,45.38
Operating Profit,55.04,2.59,38.54,31.24,80.67,86.98,106.81,92.57,71.7,78.11
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49,14.49
Reserves,1675.29,1668.95,1804.6,1261.51,1107.11,1179.65,1294.78,1347.72,1573.71,1805.74
Borrowings,77.48,63.08,163.13,399.29,329.8,220.35,206.72,294.1,164.32,93.18
Other Liabilities,85.58,77.96,609.83,121.11,271.61,276.34,337.86,384.2,1027.77,643.6
Total,1852.84,1824.48,2592.05,1796.4,1723.01,1690.83,1853.85,2040.51,2780.29,2557.01
Net Block,67.68,64.19,53.03,530.6,502.12,650.66,601.64,551.01,1293.93,1184.67
Capital Work in Progress,,,518.79,0.01,,,0.16,,,6.51
Investments,1094.07,1051.64,1181.06,627.08,414.38,447.23,494.94,444.17,606.11,220.09
Other Assets,691.09,708.65,839.17,638.71,806.51,592.94,757.11,1045.33,880.25,1145.74
Total,1852.84,1824.48,2592.05,1796.4,1723.01,1690.83,1853.85,2040.51,2780.29,2557.01
Receivables,86.49,102.1,100.21,126.56,165.93,154.61,154.55,189.9,203.65,223.78
Inventory,13.47,10.27,7.91,32.8,40.4,40.35,34.7,38.43,65.7,63.37
Cash & Bank,2.27,2.28,4.14,5.85,86.14,96.76,99.96,108.44,98.58,86.03
No. of Equity Shares,28981000.0,28981000.0,28981104.0,28981104.0,28981104.0,28981104.0,28981104.0,28981104.0,28981104.0,
New Bonus Shares,,,,,,,,,,
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-61.14,-66.65,7.72,51.68,105.66,195.73,64.09,-44.19,864.11,178.17
Cash from Investing Activity,84.04,85.75,-91.63,-271.83,59.85,-66.37,-37.8,-20.47,-726.48,-108.23
Cash from Financing Activity,-21.07,-19.08,85.76,221.86,-85.21,-118.74,-23.08,73.14,-147.5,-82.48
Net Cash Flow,1.83,0.02,1.85,1.71,80.3,10.61,3.21,8.48,-9.87,-12.54
PRICE:,166.05,147.95,98.3,45.8,89.8,238.8,239.9,637.3,833.65,461.75
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
