COMPANY NAME,ASIAN ENERGY SERVICES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,339.8,,,,,,,,,
Market Capitalization,1653.68,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,124.32,222.22,193.86,273.15,228.79,260.47,109.95,305.06,465.04,791.05
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,0.29,-0.11,0.11
Power and Fuel,0.69,0.86,0.31,0.19,1.79,5.46,1.33,1.45,1.29,
Other Mfr. Exp,55.91,123.61,127.87,181.76,144.43,147.34,79.95,219.5,345.07,
Employee Cost,22.63,37.0,20.74,10.11,14.39,21.96,28.67,26.53,34.45,42.25
Selling and admin,18.98,19.08,10.4,12.46,11.69,16.37,14.65,13.68,15.24,
Other Expenses,42.28,0.99,1.67,2.07,1.02,3.0,4.12,2.38,2.77,653.56
Other Income,20.98,-6.81,1.47,-3.41,-6.92,2.83,-1.36,5.95,11.6,3.0
Depreciation,15.13,17.03,19.44,19.66,23.33,27.69,21.97,17.02,17.71,18.86
Interest,7.68,6.34,5.72,2.85,0.71,0.81,2.46,2.06,3.83,10.65
Profit before tax,-18.0,10.5,9.18,40.64,24.51,40.67,-44.56,28.68,56.17,68.84
Tax,0.21,0.2,0.08,11.4,1.94,1.86,-0.12,3.13,14.02,17.0
Net profit,-18.2,10.3,9.1,29.24,22.57,38.81,-44.36,25.47,42.12,51.16
Dividend Amount,,,,,,,,,4.47,5.61
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,94.83,118.73,60.19,97.72,91.69,215.44,115.37,102.0,235.45,338.23
Expenses,79.79,94.15,53.97,82.38,78.62,183.97,103.91,93.9,207.41,290.48
Other Income,1.1,-0.51,2.09,2.33,3.26,3.92,2.59,-4.37,4.31,0.47
Depreciation,4.22,4.33,4.3,4.25,4.45,4.71,4.7,4.7,4.33,5.13
Interest,0.66,0.51,1.0,0.6,0.67,1.55,1.5,1.71,4.08,3.36
Profit before tax,11.26,19.23,3.01,12.82,11.21,29.13,7.85,-2.68,23.94,39.73
Tax,-1.46,4.57,0.95,3.52,2.97,6.59,2.22,1.29,6.41,7.08
Net profit,12.88,14.57,2.06,9.29,8.26,22.52,5.55,-3.8,17.45,31.96
Operating Profit,15.04,24.58,6.22,15.34,13.07,31.47,11.46,8.1,28.04,47.75
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,26.07,38.07,38.07,37.69,37.69,37.69,37.69,40.65,44.7,44.89
Reserves,55.72,102.46,113.93,143.76,165.74,204.07,161.76,237.23,353.97,449.26
Borrowings,82.64,27.76,9.96,,4.16,8.07,21.15,22.36,24.07,158.64
Other Liabilities,44.88,84.21,56.49,126.3,140.46,88.38,76.12,84.21,169.72,265.62
Total,209.31,252.5,218.45,307.75,348.05,338.21,296.72,384.45,592.46,918.41
Net Block,83.4,100.1,86.51,90.16,131.86,111.98,95.74,111.76,115.36,114.56
Capital Work in Progress,,,,,,,,1.39,2.86,46.13
Investments,,,,,,6.1,19.99,11.83,32.98,11.94
Other Assets,125.91,152.4,131.94,217.59,216.19,220.13,180.99,259.47,441.26,745.78
Total,209.31,252.5,218.45,307.75,348.05,338.21,296.72,384.45,592.46,918.41
Receivables,27.51,61.61,59.4,88.06,124.72,111.33,106.73,135.88,224.42,347.73
Inventory,1.57,1.88,0.69,0.02,,,,0.29,0.18,0.29
Cash & Bank,29.14,24.57,25.19,81.98,23.89,50.22,26.92,38.91,77.7,146.85
No. of Equity Shares,26074444.0,38074444.0,38074444.0,38074444.0,38074444.0,38074444.0,38074444.0,40924444.0,44774444.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-18.22,27.33,26.93,89.06,-6.81,48.11,-2.64,-44.1,-33.08,52.99
Cash from Investing Activity,-3.62,-29.21,-18.7,-10.65,-32.98,-48.68,-17.99,-13.66,-33.77,-159.49
Cash from Financing Activity,41.7,-16.99,-15.49,-17.43,0.57,5.78,9.95,49.09,78.18,123.61
Net Cash Flow,19.87,-18.87,-7.26,60.99,-39.21,5.21,-10.69,-8.68,11.34,17.1
PRICE:,232.45,187.0,64.75,69.0,91.25,114.3,110.45,271.2,269.33,238.85
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.61,3.81,3.81,3.81,3.81,3.81,3.81,4.09,4.48,4.49
