COMPANY NAME,NAZARA TECHNOLOGIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,303.95,,,,,,,,,
Market Capitalization,11260.29,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,190.16,172.04,169.7,247.34,454.21,621.7,1091.02,1138.28,1623.91,1828.98
Raw Material Cost,,,,,,1.2,72.47,91.93,40.18,31.57
Change in Inventory,,,,,,1.2,18.26,11.65,0.11,3.73
Power and Fuel,,0.22,0.36,0.43,0.19,,,,,
Other Mfr. Exp,19.91,12.9,45.49,51.62,54.2,140.4,389.1,391.04,512.67,
Employee Cost,25.38,37.2,41.48,31.95,48.91,88.3,149.34,186.68,288.37,314.47
Selling and admin,65.98,60.17,49.27,164.38,296.42,284.7,373.3,338.53,612.88,625.38
Other Expenses,17.74,12.91,17.7,6.29,15.63,22.3,22.58,43.07,54.77,890.74
Other Income,12.09,-25.81,16.4,14.64,14.23,24.1,47.42,64.91,79.79,342.71
Depreciation,1.16,8.22,19.54,26.88,35.48,39.0,57.15,66.99,117.69,230.58
Interest,0.29,1.83,1.38,1.24,0.9,1.2,5.96,7.87,10.95,22.49
Profit before tax,71.79,12.78,10.88,-20.81,16.71,69.9,86.8,88.73,66.3,60.19
Tax,10.76,11.77,4.16,5.8,3.07,19.2,25.42,13.98,15.34,-21.75
Net profit,61.03,2.67,17.51,-2.13,9.24,28.4,39.39,56.57,75.82,95.84
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,320.4,266.21,250.08,318.94,534.69,520.2,498.77,526.46,405.97,397.78
Expenses,284.07,264.65,225.85,295.01,497.98,491.08,475.58,690.34,338.27,354.26
Other Income,18.38,20.82,25.57,23.45,21.94,9.0,92.02,189.76,10.25,50.69
Depreciation,15.2,21.5,15.2,25.74,30.52,37.29,64.52,60.82,59.7,45.52
Interest,2.04,0.82,0.57,1.75,2.81,4.8,5.15,6.77,4.34,6.23
Profit before tax,37.47,0.06,34.03,19.89,25.32,-3.97,45.54,-41.71,13.91,42.46
Tax,7.95,-0.12,10.41,3.65,11.64,-8.04,-5.8,-7.78,5.07,-13.24
Net profit,25.77,8.52,22.63,21.97,30.68,6.15,68.38,-29.35,9.84,46.96
Operating Profit,36.33,1.56,24.23,23.93,36.71,29.12,23.19,-163.88,67.7,43.52
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,1.99,10.79,10.99,11.2,12.18,13.0,26.47,30.62,35.05,74.1
Reserves,221.48,341.03,396.12,495.94,646.0,1028.3,1078.42,1967.98,2828.0,3399.39
Borrowings,,8.3,9.36,8.04,1.31,4.3,38.14,27.7,218.86,214.93
Other Liabilities,41.87,104.82,92.23,258.0,358.57,358.3,555.01,727.13,1336.31,682.76
Total,265.34,464.94,508.7,773.18,1018.06,1403.9,1698.04,2753.43,4418.22,4371.18
Net Block,1.83,152.47,137.06,347.75,296.25,424.0,582.88,608.11,1730.95,1472.64
Capital Work in Progress,0.14,0.61,0.68,6.32,2.35,1.1,0.19,,13.92,1.15
Investments,76.66,98.34,127.49,58.3,118.22,441.8,331.95,438.84,1311.81,2063.7
Other Assets,186.71,213.52,243.47,360.81,601.24,537.0,783.02,1706.48,1361.54,833.69
Total,265.34,464.94,508.7,773.18,1018.06,1403.9,1698.04,2753.43,4418.22,4371.18
Receivables,25.95,43.1,44.73,68.11,68.56,84.7,186.05,274.93,575.99,376.22
Inventory,,,,,,1.3,24.55,2.11,2.52,3.43
Cash & Bank,113.83,117.49,133.27,186.7,372.35,322.8,329.24,1209.71,458.17,255.12
No. of Equity Shares,1989246.0,26972619.0,27471969.0,27996663.0,30452836.0,32621227.0,66174092.0,76541640.0,87616256.0,
New Bonus Shares,,19925088.0,,,,,,,,
Face value,10.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,56.79,3.17,19.23,-2.2,67.9,62.1,8.1,90.79,65.5,148.63
Cash from Investing Activity,-61.38,-16.54,-60.49,17.66,-270.6,-328.7,-88.9,-612.16,-1138.59,-542.48
Cash from Financing Activity,,37.12,5.94,3.37,217.0,334.7,14.8,946.27,804.92,360.88
Net Cash Flow,-4.6,23.75,-35.32,18.83,14.3,68.1,-66.0,424.9,-268.17,-32.97
PRICE:,,,,,183.29,204.79,129.12,167.87,236.98,233.05
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.6,21.56,21.96,22.4,24.36,26.08,26.46,30.62,35.04,37.05
