COMPANY NAME,KAYCEE INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,915.55,,,,,,,,,
Market Capitalization,290.55,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,23.44,24.87,25.02,23.43,22.7,29.15,41.52,48.56,52.97,60.05
Raw Material Cost,12.86,12.74,14.15,11.69,13.26,17.36,26.32,30.72,30.77,38.31
Change in Inventory,-0.47,-0.89,-0.28,0.8,-0.07,-0.51,0.03,0.34,-0.33,0.98
Power and Fuel,0.08,0.07,0.07,0.07,0.06,0.08,0.11,0.4,0.29,
Other Mfr. Exp,2.58,2.33,2.69,2.58,2.13,2.28,3.37,3.65,3.43,
Employee Cost,4.97,4.58,4.43,4.71,3.78,4.2,4.22,4.35,5.07,5.66
Selling and admin,1.87,1.89,1.94,2.5,1.94,2.32,2.85,3.13,4.37,
Other Expenses,0.47,0.42,0.52,0.27,0.24,-0.06,-0.08,-0.13,0.08,9.22
Other Income,0.91,0.14,1.54,-0.01,0.5,0.44,0.58,0.63,0.74,0.69
Depreciation,0.33,0.27,0.38,0.42,0.41,0.33,0.49,1.05,1.13,1.31
Interest,0.45,0.31,0.16,0.07,0.07,0.07,0.06,0.41,0.37,0.38
Profit before tax,0.27,1.51,1.94,1.91,1.24,2.5,4.79,5.95,7.87,6.84
Tax,-0.37,0.38,0.58,0.53,0.4,0.63,1.29,1.45,2.0,1.86
Net profit,0.65,1.13,1.35,1.38,0.85,1.87,3.49,4.49,5.88,4.98
Dividend Amount,0.03,0.06,0.06,0.19,0.19,0.32,0.38,0.63,0.63,0.63
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,12.25,13.47,12.61,13.34,11.87,15.38,13.9,14.91,14.45,16.8
Expenses,10.63,11.3,10.41,11.19,10.22,12.73,11.87,12.69,12.38,15.29
Other Income,0.14,0.17,0.2,0.26,0.07,0.21,0.25,0.16,0.12,0.16
Depreciation,0.27,0.26,0.28,0.28,0.3,0.27,0.29,0.29,0.35,0.38
Interest,0.1,0.1,0.1,0.09,0.1,0.09,0.09,0.09,0.08,0.11
Profit before tax,1.39,1.98,2.02,2.04,1.32,2.5,1.9,2.0,1.76,1.18
Tax,0.34,0.41,0.52,0.49,0.35,0.63,0.5,0.5,0.53,0.33
Net profit,1.05,1.57,1.5,1.54,0.97,1.87,1.4,1.5,1.23,0.86
Operating Profit,1.62,2.17,2.2,2.15,1.65,2.65,2.03,2.22,2.07,1.51
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,3.17,3.17
Reserves,11.66,11.12,12.34,13.56,14.21,15.94,19.14,23.2,25.86,30.22
Borrowings,3.27,2.48,1.07,0.35,,,4.58,0.51,0.58,3.05
Other Liabilities,6.99,6.35,4.59,5.42,5.85,4.89,4.81,10.35,11.11,10.66
Total,22.55,20.58,18.63,19.96,20.69,21.46,29.16,34.69,40.72,47.1
Net Block,2.67,2.28,3.27,2.98,2.76,2.81,7.41,7.89,7.34,10.99
Capital Work in Progress,1.48,,,,,,,,,
Investments,0.01,,,,,,,0.03,8.3,8.63
Other Assets,18.39,18.3,15.36,16.98,17.93,18.65,21.75,26.77,25.08,27.48
Total,22.55,20.58,18.63,19.96,20.69,21.46,29.16,34.69,40.72,47.1
Receivables,9.79,10.74,8.27,9.52,10.24,11.13,12.64,13.98,16.24,17.89
Inventory,5.51,4.09,2.78,3.45,3.61,3.28,3.75,3.87,3.74,6.33
Cash & Bank,1.46,1.92,3.08,2.93,3.43,3.7,4.73,7.95,3.92,2.46
No. of Equity Shares,63470.0,63470.0,63470.0,63470.0,63470.0,63470.0,63470.0,63470.0,3173500.0,
New Bonus Shares,,,,,,,,,,
Face value,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,0.9,-0.05,2.6,0.67,1.13,0.73,1.76,6.17,5.86,
Cash from Investing Activity,0.63,1.66,-1.0,-0.64,-0.28,-0.22,-5.34,-4.27,-4.4,
Cash from Financing Activity,-1.19,-1.14,-1.64,-0.86,-0.61,-0.26,4.2,-1.24,-1.5,
Net Cash Flow,0.33,0.46,-0.04,-0.84,0.23,0.25,0.62,0.66,-0.04,
PRICE:,36.06,70.72,65.42,51.09,54.0,73.96,129.87,332.75,1058.4,711.05
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.32,0.32
