COMPANY NAME,TARSONS PRODUCTS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,332.75,,,,,,,,,
Market Capitalization,1770.44,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,228.91,300.79,296.39,392.41,422.51
Raw Material Cost,,,,,,56.38,80.11,79.27,131.05,122.79
Change in Inventory,,,,,,-5.12,17.21,-2.94,1.61,-16.08
Power and Fuel,,,,,,7.31,9.83,10.88,13.18,15.33
Other Mfr. Exp,,,,,,19.97,26.05,20.49,26.92,32.84
Employee Cost,,,,,,24.44,31.41,44.27,65.38,75.54
Selling and admin,,,,,,9.15,12.29,26.44,26.49,28.62
Other Expenses,,,,,,3.1,5.61,12.19,20.12,13.17
Other Income,,,,,,5.38,8.47,11.41,15.96,23.04
Depreciation,,,,,,13.66,21.96,40.4,62.5,96.53
Interest,,,,,,2.72,4.22,10.15,19.54,22.75
Profit before tax,,,,,,92.44,134.99,60.77,44.8,21.9
Tax,,,,,,23.56,34.33,18.13,15.03,7.58
Net profit,,,,,,68.87,100.66,42.64,29.77,14.32
Dividend Amount,,,,,,,,10.64,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,105.72,84.8,99.25,95.68,112.69,91.36,102.33,107.89,120.93,110.24
Expenses,75.48,66.04,73.94,66.04,75.67,66.66,74.88,76.37,86.66,84.25
Other Income,3.38,2.91,8.43,0.85,3.78,3.34,5.8,7.07,6.83,5.98
Depreciation,12.33,11.03,14.03,17.41,20.03,19.94,22.48,25.04,29.08,27.02
Interest,4.25,4.32,4.84,5.03,5.2,5.07,5.18,6.05,6.25,6.27
Profit before tax,17.04,6.32,14.87,8.05,15.57,3.03,5.59,7.5,5.77,-1.32
Tax,6.73,2.3,4.58,2.79,5.37,1.25,2.27,2.47,1.59,0.12
Net profit,10.32,4.02,10.29,5.26,10.2,1.78,3.32,5.04,4.18,-1.44
Operating Profit,30.24,18.76,25.31,29.64,37.02,24.7,27.45,31.52,34.27,25.99
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,0.19,10.64,10.64,10.64,10.64
Reserves,,,,,,244.15,479.19,602.22,619.57,624.05
Borrowings,,,,,,33.5,21.67,269.02,339.17,392.96
Other Liabilities,,,,,,18.11,32.73,90.3,110.66,158.17
Total,,,,,,295.95,544.23,972.18,1080.04,1185.82
Net Block,,,,,,120.43,188.79,335.79,536.08,732.67
Capital Work in Progress,,,,,,22.08,32.25,267.02,232.85,158.59
Investments,,,,,,,,,,
Other Assets,,,,,,153.44,323.19,369.37,311.11,294.56
Total,,,,,,295.95,544.23,972.18,1080.04,1185.82
Receivables,,,,,,47.04,65.18,77.89,79.62,85.39
Inventory,,,,,,46.7,82.37,128.73,126.05,129.78
Cash & Bank,,,,,,3.15,85.82,22.61,25.65,25.26
No. of Equity Shares,,,,,,192228.0,53206281.0,53206281.0,53206281.0,53206281.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,68.16,83.47,102.71,114.24,118.48
Cash from Investing Activity,,,,,,-63.91,-137.93,-285.01,-145.17,-129.36
Cash from Financing Activity,,,,,,-27.22,129.58,135.63,38.95,8.93
Net Cash Flow,,,,,,-22.98,75.11,-46.68,8.02,-1.94
PRICE:,,,,,,,702.95,393.6,301.85,166.46
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,0.02,5.32,5.32,5.32,5.32
