COMPANY NAME,SMARTWORKS COWORKING SPACES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,547.35,,,,,,,,,
Market Capitalization,6260.65,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,253.61,279.62,360.24,711.39,1039.36,1374.06,1795.81
Raw Material Cost,,,,,,,,,,7.84
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,62.02,94.0,119.13,
Other Mfr. Exp,,,,,,,149.98,193.07,266.75,
Employee Cost,,,,19.83,18.7,25.64,40.84,49.61,65.37,94.86
Selling and admin,,,,14.03,2.59,3.27,25.89,35.14,55.02,
Other Expenses,,,,85.06,92.09,125.19,8.66,7.82,10.52,537.99
Other Income,,,,7.52,30.11,33.97,32.68,73.7,35.61,54.1
Depreciation,,,,103.37,172.33,211.91,356.25,472.72,636.0,829.26
Interest,,,,69.82,96.51,122.35,236.66,328.32,336.34,366.11
Profit before tax,,,,-30.98,-72.49,-94.15,-136.23,-67.62,-79.46,13.85
Tax,,,,-8.58,-18.32,-24.24,-35.18,-17.67,-16.28,3.32
Net profit,,,,-22.39,-54.16,-69.9,-101.05,-49.96,-63.18,10.53
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,,313.43,350.37,351.83,358.43,379.21,424.78,472.13,519.68,546.25
Expenses,,121.34,135.89,133.55,126.01,138.19,154.64,166.52,181.33,200.29
Other Income,,9.73,10.47,11.79,3.62,8.78,16.28,16.02,13.02,13.42
Depreciation,,147.29,160.19,167.04,161.48,173.91,198.01,223.27,234.07,245.71
Interest,,85.67,85.85,85.31,79.5,81.46,92.8,96.8,95.06,96.1
Profit before tax,,-31.14,-21.09,-22.28,-4.94,-5.57,-4.39,1.56,22.24,17.57
Tax,,-8.11,-5.27,-6.26,3.36,-1.37,-1.25,0.32,5.62,4.42
Net profit,,-23.03,-15.83,-16.03,-8.3,-4.2,-3.14,1.24,16.62,13.15
Operating Profit,,192.09,214.48,218.28,232.42,241.02,270.14,305.61,338.35,345.96
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,77.2,77.2,77.2,77.69,79.01,103.19,114.26
Reserves,,,,160.77,106.9,36.89,-46.23,-29.01,4.69,416.41
Borrowings,,,,60.97,134.28,247.6,3913.01,3435.59,3737.37,4778.35
Other Liabilities,,,,1059.85,1175.43,2497.89,529.04,661.49,805.6,1154.6
Total,,,,1358.79,1493.81,2859.58,4473.51,4147.08,4650.85,6463.62
Net Block,,,,1066.28,1173.7,2328.0,3724.43,3411.68,3780.37,5238.0
Capital Work in Progress,,,,20.56,12.97,89.15,52.14,71.86,138.76,55.94
Investments,,,,114.13,,,,11.28,10.96,2.18
Other Assets,,,,157.82,307.14,442.43,696.94,652.26,720.76,1167.5
Total,,,,1358.79,1493.81,2859.58,4473.51,4147.08,4650.85,6463.62
Receivables,,,,3.84,7.06,9.62,14.32,14.09,25.53,38.73
Inventory,,,,,,,,,,
Cash & Bank,,,,11.39,102.32,101.96,213.72,70.13,68.93,235.56
No. of Equity Shares,,,,77195643.0,77195643.0,77195643.0,77691000.0,79013000.0,103190000.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,114.36,152.97,216.17,531.83,743.3,928.52,1197.16
Cash from Investing Activity,,,,-218.82,-41.41,-94.65,-306.63,-192.16,-276.08,-501.36
Cash from Financing Activity,,,,113.29,-161.15,-108.6,-170.58,-577.18,-637.71,-620.95
Net Cash Flow,,,,8.83,-49.6,12.92,54.62,-26.04,14.73,74.86
PRICE:,,,,,,,,,,372.45
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,7.72,7.72,7.72,7.77,7.9,10.32,11.43
