COMPANY NAME,AWFIS SPACE SOLUTIONS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,275.75,,,,,,,,,
Market Capitalization,1973.35,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,154.05,226.39,178.36,257.05,545.28,848.82,1207.54,1493.48
Raw Material Cost,,,5.64,6.23,1.39,4.34,12.53,24.68,29.54,32.37
Change in Inventory,,,0.09,-0.01,0.05,0.33,-0.14,-0.24,-0.07,0.64
Power and Fuel,,,13.57,21.09,13.14,18.04,40.72,53.75,76.98,
Other Mfr. Exp,,,,2.82,24.42,60.19,121.79,215.88,300.07,
Employee Cost,,,25.21,30.04,31.84,54.15,95.8,135.7,136.25,130.05
Selling and admin,,,121.76,138.32,40.42,48.95,107.86,162.58,237.2,
Other Expenses,,,21.24,24.4,14.11,3.38,9.14,10.06,20.46,781.94
Other Income,,,6.84,-8.9,37.66,21.67,18.76,25.47,73.72,92.64
Depreciation,,,31.45,54.05,86.84,98.43,149.98,195.99,275.85,383.89
Interest,,,4.58,8.51,46.56,48.72,72.72,92.97,136.08,186.26
Profit before tax,,,-62.47,-67.98,-42.65,-57.15,-46.64,-17.56,68.76,72.25
Tax,,,,,,,,,0.89,1.4
Net profit,,,-62.47,-67.98,-42.64,-57.16,-46.64,-17.57,67.87,70.85
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,232.32,257.74,292.38,317.72,339.69,334.7,366.86,381.78,410.14,424.92
Expenses,165.21,178.69,192.21,210.45,223.78,208.17,234.55,242.56,258.42,262.64
Other Income,8.79,10.13,33.58,14.64,19.96,18.34,26.11,29.17,19.02,23.95
Depreciation,50.71,58.3,64.66,71.79,81.1,88.52,95.14,99.38,100.85,113.16
Interest,23.81,28.09,30.41,34.94,42.65,45.97,46.95,46.97,46.38,48.65
Profit before tax,1.38,2.79,38.68,15.18,12.12,10.38,16.33,22.04,23.51,24.42
Tax,,,,,0.89,0.4,0.36,0.39,0.25,0.45
Net profit,1.38,2.79,38.67,15.18,11.23,9.98,15.97,21.66,23.25,23.96
Operating Profit,67.11,79.05,100.17,107.27,115.91,126.53,132.31,139.22,151.72,162.28
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,29.61,30.13,30.13,30.13,30.13,19.33,70.96,71.54
Reserves,,,-66.82,-112.5,-18.77,-74.8,-53.73,-113.14,388.26,480.91
Borrowings,,,139.44,248.01,401.15,437.45,692.84,1078.8,1412.78,1501.18
Other Liabilities,,,94.44,111.23,96.07,166.91,261.37,413.09,634.98,856.56
Total,,,196.67,276.87,508.58,559.69,930.61,1398.08,2506.98,2910.19
Net Block,,,65.95,95.99,299.86,340.18,652.88,915.92,1580.49,1701.34
Capital Work in Progress,,,3.71,1.26,0.13,8.69,0.77,8.69,17.7,12.45
Investments,,,31.69,58.25,42.14,16.39,,,,
Other Assets,,,95.32,121.37,166.45,194.43,276.96,473.47,908.79,1196.4
Total,,,196.67,276.87,508.58,559.69,930.61,1398.08,2506.98,2910.19
Receivables,,,3.76,5.81,15.39,30.72,48.48,74.77,120.77,137.73
Inventory,,,0.17,0.15,0.21,0.54,0.4,0.16,0.09,0.72
Cash & Bank,,,13.67,9.76,41.9,5.63,18.1,4.88,81.69,89.59
No. of Equity Shares,,,29611678.0,30134112.0,30134112.0,30134112.0,30134112.0,19326948.0,70962946.0,
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,-11.48,-7.79,57.44,82.69,195.19,228.96,362.56,616.24
Cash from Investing Activity,,,-38.42,-109.56,-37.74,-7.22,-170.11,-162.61,-203.08,-219.52
Cash from Financing Activity,,,61.56,112.81,-16.69,-79.86,-27.77,-64.53,-123.95,-380.26
Net Cash Flow,,,11.67,-4.55,3.02,-4.38,-2.69,1.82,35.54,16.45
PRICE:,,,,,,,,,662.6,230.65
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,7.1,7.15
