COMPANY NAME,MTAR TECHNOLOGIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,7101.0,,,,,,,,,
Market Capitalization,21842.39,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,100.68,156.62,183.67,213.77,246.43,322.01,573.35,580.03,675.96,876.11
Raw Material Cost,,65.98,65.53,87.26,101.75,157.41,314.72,317.37,348.51,503.43
Change in Inventory,,9.05,2.97,15.09,21.6,41.15,45.68,16.38,6.97,44.76
Power and Fuel,,6.33,6.47,7.24,6.71,8.95,13.03,14.21,16.28,
Other Mfr. Exp,,10.76,11.31,14.8,14.64,19.85,28.25,39.54,56.58,
Employee Cost,,44.61,43.51,51.63,53.04,70.78,92.36,95.15,122.17,148.83
Selling and admin,,3.87,4.9,7.43,6.53,8.94,12.26,11.62,12.7,
Other Expenses,112.76,2.24,1.2,2.54,2.27,2.79,4.27,6.85,6.04,97.56
Other Income,0.78,0.94,3.53,4.37,1.31,8.75,19.52,6.36,5.74,19.92
Depreciation,5.0,11.21,11.23,12.05,12.56,14.31,18.27,22.64,31.77,34.36
Interest,5.35,4.46,4.46,4.75,7.0,6.65,14.5,22.17,22.16,29.34
Profit before tax,-21.65,17.15,41.56,45.53,64.84,82.23,140.89,73.22,72.46,127.27
Tax,-6.59,11.73,2.35,14.22,18.77,21.35,36.82,16.96,18.61,31.94
Net profit,-15.06,5.42,39.2,31.32,46.08,60.88,104.08,56.27,53.85,95.32
Dividend Amount,,,8.46,13.38,18.46,9.23,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,118.22,142.94,128.23,190.18,174.45,183.1,156.58,135.59,277.9,306.03
Expenses,94.52,124.79,111.78,153.61,141.08,148.83,128.13,118.59,213.85,244.47
Other Income,0.59,0.56,0.67,1.6,3.3,0.17,0.76,3.83,-1.21,16.54
Depreciation,5.72,5.79,6.01,7.67,8.58,9.52,8.19,8.62,8.67,8.88
Interest,5.54,5.51,4.78,5.17,6.28,5.93,5.82,6.21,7.71,9.61
Profit before tax,13.03,7.41,6.33,25.33,21.81,18.99,15.2,6.0,46.46,59.61
Tax,2.47,2.35,1.79,6.55,5.48,4.8,3.97,1.41,11.29,15.28
Net profit,10.56,5.07,4.54,18.78,16.33,14.2,11.23,4.59,35.17,44.34
Operating Profit,23.7,18.15,16.45,36.57,33.37,34.27,28.45,17.0,64.05,61.56
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,28.21,28.21,28.21,26.76,30.76,30.76,30.76,30.76,30.76,30.76
Reserves,165.56,177.31,206.77,198.32,446.0,489.01,590.05,646.41,699.96,794.92
Borrowings,29.12,19.79,28.73,29.13,16.98,95.89,142.79,190.23,177.24,376.57
Other Liabilities,71.18,55.72,41.45,92.06,92.58,112.11,299.34,138.6,220.23,542.05
Total,294.07,281.03,305.16,346.27,586.32,727.77,1062.94,1006.0,1128.19,1744.3
Net Block,148.24,152.23,162.19,155.1,167.06,196.4,282.31,331.94,424.9,497.38
Capital Work in Progress,7.75,1.84,5.62,11.73,10.52,43.8,63.16,67.75,53.16,34.4
Investments,0.01,0.01,0.01,0.02,0.02,62.35,34.18,6.7,6.7,222.04
Other Assets,138.07,126.95,137.34,179.42,408.72,425.22,683.29,599.61,643.43,990.48
Total,294.07,281.03,305.16,346.27,586.32,727.77,1062.94,1006.0,1128.19,1744.3
Receivables,38.66,48.97,50.42,61.64,77.28,135.98,208.12,146.27,209.44,336.57
Inventory,31.52,41.93,41.07,75.46,102.54,170.32,385.97,346.84,345.26,499.42
Cash & Bank,9.77,9.08,10.77,23.24,190.9,66.92,30.98,50.66,16.6,21.12
No. of Equity Shares,28214132.0,28214132.0,28214132.0,26759591.0,30759591.0,30759591.0,30759591.0,30759591.0,30759591.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,14.42,42.11,56.19,8.62,-29.8,8.87,55.47,101.79,191.66
Cash from Investing Activity,,-1.33,-32.92,-12.06,-22.01,-145.0,-88.47,-53.74,-103.99,-347.42
Cash from Financing Activity,,-13.79,-7.49,-41.35,180.14,54.06,32.27,25.26,-35.14,154.8
Net Cash Flow,,-0.7,1.7,2.78,166.74,-120.74,-47.32,26.99,-37.35,-0.96
PRICE:,,,,,1023.7,1753.75,1581.55,1683.75,1281.15,3467.7
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,2.82,2.82,2.82,2.68,3.08,3.08,3.08,3.08,3.08,3.08
