COMPANY NAME,PTC INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,17602.0,,,,,,,,,
Market Capitalization,26389.88,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,100.78,95.68,99.4,72.83,163.35,178.95,219.26,256.88,308.07,602.78
Raw Material Cost,31.68,26.28,25.0,13.98,36.94,51.32,54.76,56.82,89.05,342.64
Change in Inventory,4.4,1.79,1.62,-6.8,-4.09,7.59,0.36,-4.95,35.67,236.66
Power and Fuel,8.64,9.86,9.8,,13.93,14.86,13.53,14.87,16.77,
Other Mfr. Exp,22.27,23.0,25.89,,40.99,43.63,47.35,57.28,78.05,
Employee Cost,16.8,17.44,17.5,10.18,19.97,20.85,26.22,31.6,56.59,150.77
Selling and admin,7.56,7.17,7.09,0.92,10.25,10.8,17.18,17.42,25.55,
Other Expenses,0.72,0.54,0.61,26.65,2.27,2.97,1.94,1.18,2.47,214.26
Other Income,-0.1,3.08,1.51,1.71,5.2,4.71,7.47,13.27,33.22,40.51
Depreciation,6.36,5.43,5.54,7.16,14.38,14.63,16.67,16.63,21.31,36.69
Interest,2.56,2.56,3.43,6.44,13.43,15.17,15.78,15.25,8.9,8.64
Profit before tax,8.49,8.27,7.67,2.41,12.3,17.02,33.66,54.15,78.27,126.95
Tax,2.05,2.0,1.71,0.7,7.94,4.2,7.84,11.93,17.25,25.39
Net profit,6.44,6.27,5.97,1.71,4.35,12.81,25.82,42.22,61.02,101.56
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,55.45,72.41,46.87,72.37,66.92,121.92,97.15,124.63,155.53,225.47
Expenses,40.09,50.56,36.82,51.13,51.67,93.19,88.37,98.9,130.82,152.91
Other Income,3.61,4.09,3.65,8.42,9.75,11.39,10.57,8.2,9.9,11.84
Depreciation,4.18,4.16,4.15,4.21,5.4,7.55,8.63,9.1,9.38,9.58
Interest,4.38,3.41,3.19,3.42,0.97,1.32,1.67,1.86,2.71,2.4
Profit before tax,10.41,18.37,6.36,22.03,18.63,31.25,9.05,22.97,22.52,72.42
Tax,2.33,3.66,1.47,4.73,4.39,6.68,3.9,4.83,4.16,12.5
Net profit,8.08,14.72,4.9,17.31,14.24,24.57,5.16,18.14,18.35,59.91
Operating Profit,15.36,21.85,10.05,21.24,15.25,28.73,8.78,25.73,24.71,72.56
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,5.24,5.24,5.24,,5.24,5.24,13.38,14.44,14.98,14.99
Reserves,108.49,114.76,121.72,,150.04,163.28,293.28,631.16,1371.68,1492.12
Borrowings,24.6,59.77,121.75,,181.05,196.23,176.64,181.9,60.83,261.35
Other Liabilities,21.25,22.58,30.54,,61.16,61.24,69.62,68.18,136.35,187.79
Total,159.58,202.35,279.25,,397.49,425.99,552.92,895.68,1583.84,1956.25
Net Block,43.0,44.31,48.81,,211.02,236.95,228.24,232.78,449.27,644.41
Capital Work in Progress,34.72,65.92,135.52,,37.1,22.55,66.64,158.68,184.88,310.65
Investments,0.19,0.04,0.04,,0.08,0.07,0.08,0.1,2.84,2.83
Other Assets,81.67,92.08,94.88,,149.29,166.42,257.96,504.12,946.85,998.36
Total,159.58,202.35,279.25,,397.49,425.99,552.92,895.68,1583.84,1956.25
Receivables,31.72,30.96,27.28,,63.3,61.5,65.69,110.86,143.81,273.93
Inventory,32.17,35.47,38.29,,52.26,64.81,77.72,74.48,208.16,299.01
Cash & Bank,1.21,0.98,3.57,,4.23,3.95,30.11,157.77,381.83,136.57
No. of Equity Shares,5239063.0,5239063.0,5239063.0,,5239063.0,5239063.0,13382257.0,14440873.0,14984126.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,12.96,13.86,11.17,,4.13,24.85,46.8,-96.28,13.59,-68.66
Cash from Investing Activity,-8.88,-45.1,-72.26,,-20.39,-28.49,-115.65,-60.45,-501.93,-271.47
Cash from Financing Activity,-6.19,31.11,61.27,,16.83,2.9,74.39,284.13,543.59,185.26
Net Cash Flow,-2.1,-0.13,0.18,,0.57,-0.74,5.55,127.41,55.25,-154.87
PRICE:,,81.09,115.21,115.61,594.04,2012.33,2340.85,7334.15,14944.65,14985.0
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.31,1.31,1.31,1.31,1.31,1.31,1.34,1.44,1.5,1.5
