COMPANY NAME,HAPPY FORGINGS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,2238.5,,,,,,,,,
Market Capitalization,21126.68,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,584.96,860.05,1196.53,1358.24,1408.89,1546.34
Raw Material Cost,,,,,257.26,435.85,547.72,629.73,602.78,606.77
Change in Inventory,,,,,5.65,47.46,-3.33,33.14,11.11,-25.04
Power and Fuel,,,,,46.26,67.65,75.76,92.36,99.1,104.98
Other Mfr. Exp,,,,,56.29,74.23,97.22,118.18,135.36,148.49
Employee Cost,,,,,49.06,68.74,87.86,114.83,125.05,136.7
Selling and admin,,,,,3.32,25.08,34.5,41.4,41.97,43.47
Other Expenses,,,,,19.68,5.07,9.2,7.33,8.93,10.2
Other Income,,,,,5.86,6.06,5.75,13.35,37.33,30.81
Depreciation,,,,,35.76,37.74,54.18,64.73,77.06,89.04
Interest,,,,,11.78,7.16,12.48,11.78,7.53,10.47
Profit before tax,,,,,117.06,192.05,280.03,324.39,359.55,401.99
Tax,,,,,30.61,49.76,71.33,81.41,92.12,100.35
Net profit,,,,,86.45,142.29,208.7,242.98,267.44,301.63
Dividend Amount,,,,,,,11.64,37.68,28.28,37.74
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,343.34,341.47,361.13,354.32,351.97,353.8,377.39,391.31,423.84,449.42
Expenses,246.21,243.87,255.76,252.86,249.7,252.65,261.59,270.91,290.51,308.57
Other Income,7.2,7.61,13.08,6.62,10.03,10.35,6.25,8.16,6.05,11.08
Depreciation,16.02,18.01,19.66,19.11,20.28,20.55,21.55,22.43,24.51,26.24
Interest,0.86,1.37,1.57,2.15,2.45,2.3,1.89,2.46,3.81,3.06
Profit before tax,87.45,85.83,97.22,86.82,89.57,88.65,98.61,103.67,111.06,122.63
Tax,21.67,22.02,25.86,22.28,21.93,22.95,25.17,24.73,27.5,31.18
Net profit,65.78,63.8,71.37,64.55,67.63,65.69,73.44,78.94,83.56,91.46
Operating Profit,97.13,97.6,105.37,101.46,102.27,101.15,115.8,120.4,133.33,140.85
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,8.95,17.9,17.9,18.84,18.85,18.87
Reserves,,,,,636.21,769.72,970.4,1593.65,1830.7,2109.25
Borrowings,,,,,153.47,240.35,218.51,143.31,227.99,329.62
Other Liabilities,,,,,75.76,101.9,119.35,130.15,137.68,175.07
Total,,,,,874.39,1129.87,1326.16,1885.95,2215.22,2632.81
Net Block,,,,,414.65,456.19,678.44,743.67,907.71,1108.42
Capital Work in Progress,,,,,40.37,212.26,74.75,126.69,122.8,237.47
Investments,,,,,,0.42,,,79.58,237.03
Other Assets,,,,,419.37,461.0,572.97,1015.59,1105.13,1049.89
Total,,,,,874.39,1129.87,1326.16,1885.95,2215.22,2632.81
Receivables,,,,,165.77,222.04,308.06,356.92,426.54,394.78
Inventory,,,,,121.57,183.98,169.6,224.17,232.42,232.76
Cash & Bank,,,,,27.78,1.46,0.34,121.84,136.56,52.94
No. of Equity Shares,,,,,894990.0,89499000.0,89499000.0,94204882.0,94242200.0,94350461.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,100.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,59.67,80.29,209.46,189.44,292.33,444.67
Cash from Investing Activity,,,,,-58.69,-165.68,-172.45,-469.73,-320.2,-496.83
Cash from Financing Activity,,,,,-0.15,82.52,-37.01,280.92,40.17,64.93
Net Cash Flow,,,,,0.84,-2.87,-0.01,0.63,12.3,12.77
PRICE:,,,,,,,,889.8,786.8,1156.1
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.09,8.95,8.95,9.42,9.42,9.44
