COMPANY NAME,RAMKRISHNA FORGINGS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,700.85,,,,,,,,,
Market Capitalization,12767.39,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,920.73,1490.9,1931.08,1216.47,1288.93,2320.25,3192.9,3704.54,4034.11,4238.08
Raw Material Cost,421.92,731.73,943.2,556.11,641.43,1232.83,1623.09,1885.5,2089.97,2055.55
Change in Inventory,53.99,17.95,16.7,50.9,4.97,200.79,168.51,23.95,90.42,-106.51
Power and Fuel,86.65,121.68,142.61,97.32,93.59,152.4,187.92,227.19,245.96,246.86
Other Mfr. Exp,143.32,172.26,273.0,203.85,128.63,349.87,442.06,395.22,554.84,578.42
Employee Cost,85.8,94.56,105.3,103.4,96.76,128.02,158.55,189.64,250.53,259.62
Selling and admin,62.08,79.72,75.36,69.55,75.97,117.79,210.04,215.76,326.76,248.98
Other Expenses,12.01,19.97,22.49,28.41,33.24,21.86,45.88,41.55,95.88,115.14
Other Income,7.06,4.16,2.97,6.4,4.81,1.46,3.96,36.41,109.33,2.4
Depreciation,75.02,84.65,121.06,120.54,116.7,169.35,201.64,257.21,271.28,332.89
Interest,78.13,73.37,84.0,79.8,80.64,97.18,121.75,146.96,167.48,212.5
Profit before tax,16.85,135.07,183.73,14.79,31.75,253.2,374.44,405.87,231.16,84.01
Tax,5.63,40.13,63.62,5.1,11.07,55.17,126.33,114.65,-183.87,12.21
Net profit,11.22,94.93,120.11,9.7,20.67,198.03,248.11,291.21,415.03,71.8
Dividend Amount,2.87,3.26,4.89,,,27.18,31.98,36.16,36.21,18.14
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,973.96,959.48,1053.63,1073.78,947.21,1015.26,907.53,1098.52,1216.78,1216.67
Expenses,786.3,790.83,888.27,947.54,848.98,873.31,789.83,936.31,1013.78,998.81
Other Income,18.63,10.67,84.1,3.64,11.46,3.63,5.75,-8.6,1.62,3.44
Depreciation,71.8,62.38,60.36,63.85,84.7,79.67,80.38,84.4,88.44,99.44
Interest,34.25,36.5,38.54,42.18,48.64,48.59,53.34,51.1,57.32,57.13
Profit before tax,100.24,80.44,150.56,23.85,-23.65,17.32,-10.27,18.11,58.86,64.73
Tax,34.12,25.71,10.96,2.95,-223.48,5.53,-0.77,4.54,2.92,17.85
Net profit,66.11,54.73,139.6,20.9,199.83,11.79,-9.5,13.57,55.94,46.88
Operating Profit,187.66,168.65,165.36,126.24,98.23,141.95,117.7,162.21,203.0,217.86
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,28.67,32.59,32.61,32.61,31.93,31.98,31.98,36.16,36.21,36.29
Reserves,439.99,725.99,839.85,843.39,850.65,1046.41,1289.79,2597.72,3001.17,3254.11
Borrowings,956.71,845.04,911.68,992.99,1232.78,1618.26,1333.4,1206.53,2126.49,2448.77
Other Liabilities,432.56,452.15,416.6,360.72,587.26,784.6,1075.57,1421.77,1364.31,1423.18
Total,1857.93,2055.77,2200.74,2229.71,2702.62,3481.25,3730.74,5262.18,6528.18,7162.35
Net Block,1024.37,1075.62,1113.91,1174.53,1240.36,1473.21,1692.76,2428.2,2992.4,3761.5
Capital Work in Progress,50.42,43.56,129.59,219.03,275.63,129.47,90.67,216.24,497.53,336.72
Investments,0.11,0.11,0.11,0.11,0.11,55.11,0.11,125.32,189.84,240.97
Other Assets,783.03,936.48,957.13,836.04,1186.52,1823.46,1947.2,2492.42,2848.41,2823.16
Total,1857.93,2055.77,2200.74,2229.71,2702.62,3481.25,3730.74,5262.18,6528.18,7162.35
Receivables,443.79,514.66,509.59,342.69,572.9,890.61,775.22,849.94,975.35,794.93
Inventory,228.56,299.39,331.9,359.94,438.95,709.64,907.89,1054.57,1257.71,1248.53
Cash & Bank,1.95,1.2,3.16,3.29,68.46,38.42,47.3,177.03,20.18,162.9
No. of Equity Shares,28669940.0,32591508.0,32606849.0,32607699.0,31932706.0,159889535.0,159889535.0,180776179.0,181030604.0,181449079.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,143.57,127.11,267.42,254.19,139.53,43.06,745.28,621.06,32.55,839.76
Cash from Investing Activity,-107.26,-109.62,-254.11,-231.25,-221.68,-354.42,-299.19,-1117.45,-911.72,-928.59
Cash from Financing Activity,-37.09,-17.38,-11.96,-22.4,146.84,280.2,-437.74,625.0,722.07,235.04
Net Cash Flow,-0.78,0.11,1.34,0.54,64.7,-31.17,8.35,128.6,-157.1,146.2
PRICE:,95.93,140.53,104.96,30.52,104.58,157.4,286.1,691.25,773.3,466.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,14.33,16.3,16.33,16.33,15.99,16.02,15.99,18.08,18.1,18.17
