COMPANY NAME,HFCL LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,226.53,,,,,,,,,
Market Capitalization,34672.74,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,2131.41,3227.38,4737.79,3838.91,4422.96,4727.11,4743.31,4465.05,4064.52,4949.27
Raw Material Cost,601.43,1350.91,2363.83,1403.39,2422.61,2217.25,2545.34,2190.77,2349.89,3659.89
Change in Inventory,-39.32,-40.41,7.92,94.21,-8.07,80.52,102.41,102.89,82.47,457.98
Power and Fuel,9.94,11.66,14.96,16.32,26.33,35.1,49.04,43.95,37.1,
Other Mfr. Exp,982.49,1249.87,1587.08,1632.24,978.07,1366.92,1043.54,1138.1,690.09,
Employee Cost,152.7,168.49,200.09,224.73,253.33,311.06,348.78,351.3,364.31,445.26
Selling and admin,101.37,117.11,126.06,128.82,155.65,188.78,199.19,218.91,207.6,
Other Expenses,57.22,5.78,35.7,34.58,29.32,38.45,41.24,43.37,49.01,540.6
Other Income,21.41,24.1,40.14,22.08,30.63,36.69,47.18,101.52,58.12,65.62
Depreciation,21.75,23.22,26.97,41.95,68.63,78.25,82.97,81.76,105.51,157.38
Interest,62.39,63.63,91.87,114.82,174.72,166.4,152.19,147.28,185.01,242.06
Profit before tax,124.21,220.4,339.29,358.35,336.86,442.11,430.61,454.02,216.59,427.68
Tax,0.5,48.7,107.03,121.02,90.62,116.25,112.9,116.5,43.33,98.24
Net profit,122.93,167.87,219.91,227.24,239.0,313.12,300.97,329.81,177.41,311.74
Dividend Amount,,7.44,12.74,,19.27,24.75,27.53,28.8,14.42,30.61
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1326.06,1158.24,1093.61,1011.95,800.72,871.02,1043.34,1210.79,1824.12,1914.98
Expenses,1130.43,983.57,935.37,860.1,837.79,842.62,853.21,982.69,1510.19,1500.88
Other Income,13.61,10.5,14.59,20.69,13.64,14.72,13.04,16.54,22.26,31.15
Depreciation,20.14,24.07,25.48,25.52,30.44,32.2,35.93,43.77,45.48,51.25
Interest,39.65,42.31,44.88,46.76,51.06,55.62,60.9,62.76,62.78,62.48
Profit before tax,149.45,118.79,102.47,100.26,-104.93,-44.7,106.34,138.11,227.93,331.52
Tax,40.09,8.14,29.14,27.68,-21.63,-15.4,34.42,35.74,43.48,85.88
Net profit,110.06,111.3,73.89,73.65,-81.43,-32.24,67.86,97.62,178.5,228.6
Operating Profit,195.63,174.67,158.24,151.85,-37.07,28.4,190.13,228.1,313.93,414.1
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,123.94,123.94,127.44,128.44,128.44,137.49,137.64,144.01,144.21,153.03
Reserves,840.15,1054.76,1314.22,1540.0,1787.77,2660.91,2969.9,3811.53,3934.94,4737.72
Borrowings,538.74,468.73,590.31,733.58,941.84,783.14,936.25,991.22,1521.96,1744.38
Other Liabilities,772.58,940.97,1262.22,1426.94,2357.74,1589.92,1428.8,1540.07,1945.18,2232.45
Total,2275.41,2588.4,3294.19,3828.96,5215.79,5171.46,5472.59,6486.83,7546.29,8867.58
Net Block,188.33,195.95,238.38,504.03,507.81,528.28,548.23,651.97,851.59,1616.93
Capital Work in Progress,1.68,9.85,85.52,33.77,36.02,108.15,268.16,468.96,601.88,85.01
Investments,50.46,55.25,59.57,58.19,40.61,55.36,69.98,193.91,157.96,134.91
Other Assets,2034.94,2327.35,2910.72,3232.97,4631.35,4479.67,4586.22,5171.99,5934.86,7030.73
Total,2275.41,2588.4,3294.19,3828.96,5215.79,5171.46,5472.59,6486.83,7546.29,8867.58
Receivables,1179.37,1182.32,1472.42,1609.82,2610.99,1895.94,1886.11,2215.48,1891.73,2212.18
Inventory,245.36,213.56,264.53,343.68,435.26,573.38,757.85,774.42,898.84,1415.99
Cash & Bank,97.47,132.07,159.35,191.85,306.45,528.24,322.59,336.35,491.32,468.42
No. of Equity Shares,1239377194.0,1239377194.0,1274377194.0,1284377194.0,1284377194.0,1374884321.0,1376376121.0,1440054012.0,1442075312.0,
New Bonus Shares,,,,,,,,,,
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,136.07,207.09,33.94,172.36,144.77,205.37,235.11,-44.87,396.0,-378.13
Cash from Investing Activity,-25.03,-30.02,-150.33,-166.87,-164.89,-457.84,-44.09,-448.72,-518.39,-324.11
Cash from Financing Activity,-114.2,-116.41,67.36,-6.58,24.98,247.85,-144.8,454.01,169.58,669.39
Net Cash Flow,-3.16,60.66,-49.03,-1.09,4.86,-4.62,46.22,-39.58,47.19,-32.85
PRICE:,12.75,25.85,22.55,9.05,25.15,78.7,60.95,91.8,79.1,67.86
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,123.94,123.94,127.44,128.44,128.44,137.66,137.78,144.1,144.27,153.06
