COMPANY NAME,SANATHAN TEXTILES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,470.9,,,,,,,,,
Market Capitalization,3968.49,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,3185.32,3329.21,2957.5,2998.61,3811.18
Raw Material Cost,,,,,,2095.74,2340.14,2132.34,2116.15,2747.43
Change in Inventory,,,,,,72.0,-65.15,0.06,-5.02,83.75
Power and Fuel,,,,,,197.33,245.92,240.05,244.55,344.15
Other Mfr. Exp,,,,,,219.07,203.64,198.98,201.85,301.08
Employee Cost,,,,,,94.92,88.97,90.86,100.22,125.57
Selling and admin,,,,,,39.49,94.36,54.35,51.68,75.1
Other Expenses,,,,,,65.68,23.12,7.52,9.34,6.4
Other Income,,,,,,16.14,15.81,22.3,17.49,19.48
Depreciation,,,,,,42.17,43.49,44.39,45.86,93.1
Interest,,,,,,39.95,30.8,29.96,24.98,106.78
Profit before tax,,,,,,479.11,209.43,181.41,216.45,114.8
Tax,,,,,,123.68,56.69,47.56,56.0,37.45
Net profit,,,,,,355.43,152.74,133.85,160.45,77.35
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,756.13,781.13,742.17,743.13,732.18,745.34,817.99,1078.67,1169.18,1334.74
Expenses,677.03,704.69,683.95,684.66,663.82,675.78,754.84,1021.46,1074.75,1226.66
Other Income,9.5,6.63,3.73,5.44,2.98,2.11,7.04,4.24,6.01,3.59
Depreciation,11.04,11.2,11.41,11.69,11.56,11.71,18.44,30.71,32.24,34.72
Interest,5.21,5.1,5.17,5.22,2.47,4.62,18.48,35.83,36.92,38.63
Profit before tax,72.35,66.77,45.37,47.0,57.31,55.34,33.27,-5.09,31.28,38.32
Tax,20.09,16.7,12.81,12.83,13.66,14.91,13.15,-0.32,9.71,14.5
Net profit,52.26,50.07,32.56,34.17,43.65,40.43,20.12,-4.77,21.57,23.82
Operating Profit,79.1,76.44,58.22,58.47,68.36,69.56,63.15,57.21,94.43,108.08
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,71.94,71.94,71.94,84.4,84.4
Reserves,,,,,,914.68,1068.17,1203.03,1723.61,1787.67
Borrowings,,,,,,378.19,281.01,379.88,1084.17,1512.08
Other Liabilities,,,,,,428.11,485.54,548.83,635.89,1306.91
Total,,,,,,1792.92,1906.66,2203.68,3528.07,4691.06
Net Block,,,,,,896.76,950.28,930.85,934.27,2819.37
Capital Work in Progress,,,,,,2.39,20.93,140.51,1586.95,252.0
Investments,,,,,,54.84,47.5,106.95,,
Other Assets,,,,,,838.93,887.95,1025.37,1006.85,1619.69
Total,,,,,,1792.92,1906.66,2203.68,3528.07,4691.06
Receivables,,,,,,136.19,141.74,125.68,148.58,217.0
Inventory,,,,,,443.92,401.6,405.49,374.74,757.1
Cash & Bank,,,,,,27.88,106.34,101.62,138.49,169.04
No. of Equity Shares,,,,,,71943000.0,71943000.0,71943000.0,84404059.0,84404059.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,294.57,362.31,191.74,383.35,322.41
Cash from Investing Activity,,,,,,-96.29,-235.06,-245.3,-1440.94,-631.4
Cash from Financing Activity,,,,,,-198.98,-126.17,74.47,1058.65,288.52
Net Cash Flow,,,,,,-0.7,1.09,20.91,1.06,-20.47
PRICE:,,,,,,,,,361.7,367.65
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,7.19,7.19,7.19,8.44,8.44
