COMPANY NAME,H.G. INFRA ENGINEERING LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,482.0,,,,,,,,,
Market Capitalization,3141.25,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1056.03,1392.73,2014.5,2217.07,2609.72,3751.43,4622.01,5378.48,5056.18,5234.67
Raw Material Cost,408.87,546.24,,892.64,1185.65,1791.91,2143.5,2263.29,2372.63,1882.84
Change in Inventory,,,,,,,,,,
Power and Fuel,,1.01,1.73,0.99,2.2,5.56,6.95,6.46,10.11,15.35
Other Mfr. Exp,472.26,549.05,1560.11,818.06,799.31,1080.16,1313.39,1665.5,1220.44,1879.72
Employee Cost,40.79,76.14,119.42,112.27,110.79,129.88,198.18,289.07,317.17,348.29
Selling and admin,4.73,9.71,17.37,16.62,18.33,23.51,32.92,38.32,41.93,44.51
Other Expenses,4.94,2.51,11.29,23.79,9.03,9.22,31.7,52.34,35.61,49.95
Other Income,3.42,4.67,14.31,13.65,6.18,6.23,19.36,34.44,31.58,76.8
Depreciation,25.6,53.92,75.45,75.64,84.43,85.1,96.38,141.17,144.37,167.53
Interest,18.88,40.06,49.03,59.77,94.16,117.7,153.77,216.85,264.73,468.6
Profit before tax,83.38,118.76,194.41,230.94,312.0,514.62,664.58,739.92,680.77,454.68
Tax,29.96,34.49,67.06,64.33,75.34,134.59,171.39,201.33,175.37,124.87
Net profit,53.42,84.26,127.34,166.61,236.65,380.04,493.19,538.59,505.47,330.37
Dividend Amount,,3.26,3.26,,5.21,6.52,8.15,9.78,13.03,13.03
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1708.26,1528.04,902.41,1264.84,1360.89,1482.2,904.5,1421.16,1426.81,1100.59
Expenses,1375.7,1215.72,682.89,977.94,1121.44,1222.75,698.72,1112.6,1189.37,797.03
Other Income,5.73,3.97,4.02,4.18,19.51,2.34,13.48,3.68,60.08,-141.31
Depreciation,38.0,34.78,35.89,36.25,37.45,35.62,40.05,44.06,47.8,45.04
Interest,48.36,56.75,62.42,74.87,70.69,94.52,108.11,129.18,136.8,117.62
Profit before tax,251.93,224.76,125.23,179.96,150.82,131.65,71.1,139.0,112.92,-0.41
Tax,61.9,62.19,44.52,64.85,3.81,32.38,19.27,44.93,28.29,44.11
Net profit,190.03,162.57,80.74,115.18,146.98,98.82,52.18,94.28,85.09,-45.14
Operating Profit,332.56,312.32,219.52,286.9,239.45,259.45,205.78,308.56,237.44,303.56
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,18.02,65.17,65.17,65.17,65.17,65.17,65.17,65.17,65.17,65.17
Reserves,158.12,475.69,597.81,761.1,997.4,1370.8,1856.7,2389.86,2884.49,3199.84
Borrowings,203.66,408.41,380.38,520.13,767.67,1184.47,1910.21,1513.16,4170.46,5029.23
Other Liabilities,192.35,535.16,529.26,869.17,850.02,659.93,1073.61,1435.27,1570.38,2529.74
Total,572.15,1484.43,1572.62,2215.57,2680.26,3280.37,4905.69,5403.46,8690.5,10823.98
Net Block,204.38,411.9,462.17,482.69,483.62,459.47,634.83,742.02,885.21,2297.46
Capital Work in Progress,0.69,8.57,,11.14,1.81,2.15,71.95,13.68,1348.9,739.79
Investments,,,2.85,,,,10.13,10.49,12.02,11.67
Other Assets,367.08,1063.96,1107.6,1721.74,2194.83,2818.75,4188.78,4637.27,6444.37,7775.06
Total,572.15,1484.43,1572.62,2215.57,2680.26,3280.37,4905.69,5403.46,8690.5,10823.98
Receivables,180.92,429.43,614.57,684.91,581.74,635.4,728.15,672.92,671.01,788.17
Inventory,49.2,106.75,116.1,105.53,168.01,183.55,235.33,296.7,451.35,375.12
Cash & Bank,48.26,228.93,100.24,115.03,262.61,164.5,270.46,207.21,196.9,253.55
No. of Equity Shares,18020000.0,65171110.0,65171110.0,65171110.0,65171110.0,65171111.0,65171111.0,65171111.0,65171111.0,65171111.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,64.39,-7.78,65.57,35.7,70.55,-321.8,-139.32,-310.65,-877.67,249.71
Cash from Investing Activity,-113.73,-446.2,9.33,-85.36,-102.58,-65.64,-377.98,16.96,-1460.68,-1073.67
Cash from Financing Activity,62.01,443.36,-78.2,71.12,151.59,292.53,561.54,319.25,2310.15,832.16
Net Cash Flow,12.68,-10.61,-3.3,21.46,119.57,-94.91,44.24,25.55,-28.2,8.2
PRICE:,,300.5,283.15,173.55,298.1,557.95,782.7,908.9,1056.8,431.5
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,1.8,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
