COMPANY NAME,PNC INFRATECH LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,183.11,,,,,,,,,
Market Capitalization,4697.49,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,2252.33,2411.39,3774.36,5602.57,5787.57,7208.04,7956.08,8649.87,6768.68,5368.1
Raw Material Cost,816.8,850.37,1459.32,2161.05,2244.04,3192.75,3347.01,3367.49,2041.05,3365.52
Change in Inventory,-24.81,,,,,,,,,
Power and Fuel,7.24,8.39,10.24,13.27,16.09,23.06,30.89,36.81,36.42,
Other Mfr. Exp,469.55,438.25,736.43,1355.66,1403.12,1398.42,2007.51,2630.45,2004.0,
Employee Cost,119.04,144.29,215.82,293.32,307.34,378.74,374.83,389.45,387.19,349.86
Selling and admin,130.29,118.22,246.78,350.87,322.65,450.72,499.88,151.94,156.28,
Other Expenses,79.71,88.74,98.97,100.75,72.55,229.88,95.92,69.2,77.67,516.05
Other Income,39.05,24.35,47.32,181.65,107.42,87.14,80.63,81.51,171.78,633.77
Depreciation,241.57,261.81,346.46,350.73,363.25,390.2,253.31,176.81,194.52,122.14
Interest,310.19,309.31,347.98,439.3,426.07,425.32,469.9,660.49,851.77,581.67
Profit before tax,92.18,216.36,359.68,719.27,739.88,806.09,957.46,1248.74,1191.56,1066.63
Tax,-26.09,-26.65,8.31,169.38,247.24,225.66,299.01,339.32,376.15,235.13
Net profit,118.28,243.01,351.37,549.88,497.38,580.18,658.45,909.42,815.49,831.77
Dividend Amount,12.83,12.83,12.83,12.83,12.83,12.83,12.83,15.39,15.39,15.39
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,2600.15,2167.51,1427.05,1470.01,1704.11,1422.8,1127.64,1200.68,1616.98,1688.46
Expenses,1863.94,1198.84,1070.61,1091.39,1341.77,1055.38,874.62,961.57,1339.86,1164.93
Other Income,24.0,30.31,36.77,42.18,62.52,352.54,194.37,36.95,49.91,71.06
Depreciation,44.35,40.48,39.88,73.54,40.62,31.25,25.59,30.08,35.23,39.45
Interest,182.96,190.49,204.31,223.73,233.24,186.87,129.4,128.38,137.03,123.59
Profit before tax,532.9,768.01,149.02,123.53,151.0,501.84,292.4,117.6,154.77,431.55
Tax,137.01,192.84,65.56,42.18,75.56,70.53,76.71,40.87,47.02,99.62
Net profit,395.89,575.17,83.46,81.39,75.48,431.41,215.76,76.75,107.85,331.95
Operating Profit,736.21,968.67,356.44,378.62,362.34,367.42,253.02,239.11,277.12,523.53
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31,51.31
Reserves,1409.72,1637.4,1973.08,2502.95,3001.85,3576.78,4233.74,5133.51,5937.73,6762.0
Borrowings,1906.49,2020.89,2775.2,3515.04,4192.17,4792.94,6281.51,8025.33,9364.49,5169.85
Other Liabilities,1850.99,2192.43,2454.79,2421.0,2329.91,2223.84,2065.56,2400.06,2705.19,1874.96
Total,5218.51,5902.03,7254.38,8490.3,9575.24,10644.87,12632.12,15610.21,18058.72,13858.12
Net Block,2404.83,2278.74,2233.84,1978.1,1796.95,1481.59,1290.72,1159.18,992.28,692.03
Capital Work in Progress,7.82,11.14,6.21,,3.42,,,,0.28,3.78
Investments,102.69,169.34,262.53,444.39,578.6,423.73,311.51,511.41,790.31,787.67
Other Assets,2703.17,3442.81,4751.8,6067.81,7196.27,8739.55,11029.89,13939.62,16275.85,12374.64
Total,5218.51,5902.03,7254.38,8490.3,9575.24,10644.87,12632.12,15610.21,18058.72,13858.12
Receivables,652.37,594.53,519.41,284.06,392.79,665.75,1098.78,1632.95,1254.5,1509.14
Inventory,153.48,175.75,403.55,267.29,353.59,480.79,764.39,765.01,861.05,761.26
Cash & Bank,46.55,185.17,408.41,921.12,944.52,747.3,706.35,1378.7,1643.66,2237.83
No. of Equity Shares,256539165.0,256539165.0,256539165.0,256539165.0,256539165.0,256539165.0,256539165.0,256539165.0,256539165.0,
New Bonus Shares,,,,,,,,,,
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,285.09,591.22,197.33,524.97,189.62,-498.58,-1454.13,-231.19,-56.11,4592.97
Cash from Investing Activity,-201.53,-251.71,-443.79,-229.72,-252.35,24.73,343.1,-249.59,-260.63,-66.52
Cash from Financing Activity,-134.55,-211.01,399.87,253.65,63.31,148.23,1004.98,1067.2,456.08,-4796.16
Net Cash Flow,-51.0,128.51,153.41,548.9,0.58,-325.62,-106.05,586.42,139.34,-269.71
PRICE:,117.15,175.4,153.2,94.0,257.9,259.15,288.9,436.35,253.2,160.55
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65,25.65
