COMPANY NAME,CEIGALL INDIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,355.8,,,,,,,,,
Market Capitalization,6198.21,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,873.2,1133.79,2068.17,3029.35,3436.73,4022.4
Raw Material Cost,,,,,341.59,411.45,687.09,1053.05,1016.86,3279.96
Change in Inventory,,,,,,,,,,2.46
Power and Fuel,,,,,0.48,0.96,3.05,4.14,7.0,
Other Mfr. Exp,,,,,342.1,479.05,1001.82,1319.62,1760.76,
Employee Cost,,,,,14.27,25.29,29.63,62.01,39.98,39.96
Selling and admin,,,,,7.02,19.8,32.35,50.85,63.37,
Other Expenses,,,,,8.0,11.33,18.6,22.03,30.38,119.51
Other Income,,,,,11.57,12.72,18.87,36.84,56.23,54.26
Depreciation,,,,,13.51,18.61,37.6,54.99,55.66,61.7
Interest,,,,,6.54,10.55,51.71,94.15,134.36,160.37
Profit before tax,,,,,151.26,169.47,225.19,405.35,384.59,417.62
Tax,,,,,38.75,43.61,57.92,101.05,98.01,108.71
Net profit,,,,,112.5,125.86,167.27,306.14,294.02,311.89
Dividend Amount,,,,,,,11.78,,,8.71
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,943.59,822.39,772.19,830.54,1011.61,838.18,806.57,991.14,1386.51,969.64
Expenses,779.32,678.3,649.15,707.17,883.72,729.06,692.94,851.99,1162.96,826.27
Other Income,8.16,7.81,14.62,10.59,23.21,14.44,16.65,10.86,12.3,8.92
Depreciation,15.95,13.4,14.07,12.05,16.15,14.13,15.76,15.51,16.31,13.02
Interest,25.87,34.58,35.39,27.37,37.02,42.01,37.29,37.46,43.61,43.92
Profit before tax,130.61,103.92,88.2,94.54,97.93,67.42,77.23,97.04,175.93,95.35
Tax,22.51,26.06,22.67,23.74,25.54,16.09,21.06,24.66,46.9,31.61
Net profit,108.96,79.4,67.32,73.2,74.1,53.18,57.99,74.11,126.61,61.3
Operating Profit,164.27,144.09,123.04,123.37,127.89,109.12,113.63,139.15,223.55,143.37
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,0.98,39.28,39.28,78.57,87.1,87.1
Reserves,,,,,304.31,391.97,553.78,809.16,1745.49,2051.04
Borrowings,,,,,29.7,316.31,702.93,1066.24,1397.04,1311.14
Other Liabilities,,,,,139.18,211.58,531.84,638.23,1018.2,2074.08
Total,,,,,474.17,959.14,1827.83,2592.2,4247.83,5523.36
Net Block,,,,,67.32,125.6,248.83,301.03,339.16,341.15
Capital Work in Progress,,,,,0.73,3.95,1.84,2.01,23.25,3.58
Investments,,,,,12.57,70.81,22.54,2.22,5.74,10.1
Other Assets,,,,,393.55,758.78,1554.62,2286.94,3879.68,5168.53
Total,,,,,474.17,959.14,1827.83,2592.2,4247.83,5523.36
Receivables,,,,,36.15,95.94,316.34,429.79,675.84,635.7
Inventory,,,,,28.33,38.59,106.92,118.25,103.66,99.2
Cash & Bank,,,,,151.98,192.11,360.71,368.06,633.92,378.68
No. of Equity Shares,,,,,982100.0,78568000.0,78568000.0,157136000.0,174204861.0,
New Bonus Shares,,,,,,,,78568000.0,,
Face value,,,,,10.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,103.18,-134.59,-72.66,-210.83,-519.56,-91.28
Cash from Investing Activity,,,,,-19.62,-163.59,-133.85,-38.16,-129.89,-43.92
Cash from Financing Activity,,,,,-6.5,309.61,325.97,274.92,846.19,8.15
Net Cash Flow,,,,,77.07,11.44,119.47,25.94,196.74,-127.06
PRICE:,,,,,,,,,254.35,270.9
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.1,7.86,7.86,15.71,17.42,17.42
