COMPANY NAME,ACME SOLAR HOLDINGS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,401.95,,,,,,,,,
Market Capitalization,28412.81,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,1777.25,1691.75,1487.9,1294.9,1319.25,1405.13,2023.38
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,0.02,
Other Mfr. Exp,,,,19.4,75.79,156.28,56.76,61.94,51.05,
Employee Cost,,,,6.02,30.14,38.24,34.64,59.0,64.95,61.97
Selling and admin,,,,20.84,29.8,48.89,28.43,43.28,44.02,
Other Expenses,,,,82.32,3.21,4.05,2.4,61.17,7.94,180.07
Other Income,,,,82.03,218.47,404.39,105.91,891.02,147.44,486.38
Depreciation,,,,704.45,621.78,546.28,484.8,308.14,287.31,467.9
Interest,,,,1236.93,1150.61,996.13,809.18,767.32,759.24,1122.99
Profit before tax,,,,-210.68,-1.11,102.42,-15.4,909.42,338.04,676.83
Tax,,,,-296.32,-16.32,40.41,-12.23,211.65,87.22,178.94
Net profit,,,,85.64,15.21,62.03,-3.14,697.8,252.11,498.92
Dividend Amount,,,,,,,,,12.1,12.11
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,295.16,309.64,259.59,349.01,486.89,510.98,467.75,496.79,547.86,857.5
Expenses,94.49,37.92,38.82,41.81,51.14,53.18,67.54,52.31,69.02,123.24
Other Income,719.15,30.37,35.55,44.91,38.29,57.1,137.87,120.02,171.4,96.27
Depreciation,61.25,55.56,59.87,69.66,102.22,107.55,117.38,120.18,122.79,154.8
Interest,177.33,196.28,178.3,179.08,205.55,232.96,264.52,288.03,337.48,344.27
Profit before tax,681.24,50.25,18.15,103.37,166.27,174.39,156.18,156.29,189.97,331.46
Tax,148.88,48.86,2.85,-8.69,44.19,43.57,41.12,42.58,51.66,96.14
Net profit,532.39,1.39,15.3,112.06,123.36,130.83,115.07,113.71,139.32,235.33
Operating Profit,200.67,271.72,220.77,307.2,435.75,457.8,400.21,444.48,478.84,734.26
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,104.44,104.44,104.44,104.44,104.44,121.02,121.08
Reserves,,,,1087.66,1753.06,1804.32,1796.12,2486.43,4389.56,4940.4
Borrowings,,,,10592.51,9732.04,7914.53,9013.55,8536.35,10975.73,19896.29
Other Liabilities,,,,3675.0,899.73,973.31,1112.83,2079.73,2653.98,3582.54
Total,,,,15459.61,12489.27,10796.6,12026.94,13206.95,18140.29,28540.31
Net Block,,,,9650.35,8984.23,6177.11,6630.94,6757.92,12315.14,15731.63
Capital Work in Progress,,,,219.53,97.2,1272.8,2147.34,2828.43,1362.34,4357.66
Investments,,,,,24.53,24.53,22.67,149.87,275.0,275.0
Other Assets,,,,5589.73,3383.31,3322.16,3225.99,3470.73,4187.81,8176.02
Total,,,,15459.61,12489.27,10796.6,12026.94,13206.95,18140.29,28540.31
Receivables,,,,673.34,722.61,827.05,699.3,420.89,380.82,332.95
Inventory,,,,,,,,,3.93,17.37
Cash & Bank,,,,659.62,942.99,763.09,1338.46,1314.88,2916.03,6158.09
No. of Equity Shares,,,,104441582.0,104441582.0,104441582.0,104441582.0,104441582.0,605087781.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,921.77,1746.01,954.96,1263.48,1434.17,1543.02,1248.59
Cash from Investing Activity,,,,-1426.1,457.89,-424.52,-1409.92,-1888.24,-3976.13,-7317.38
Cash from Financing Activity,,,,473.71,-2039.61,-555.81,215.43,215.78,3408.23,7015.46
Net Cash Flow,,,,-30.61,164.3,-25.37,68.99,-238.29,975.11,946.67
PRICE:,,,,,,,,,191.98,261.61
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,10.44,10.44,10.44,10.44,10.44,60.51,60.6
