COMPANY NAME,ADANI GREEN ENERGY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1214.9,,,,,,,,,
Market Capitalization,200115.43,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,501.65,1480.28,2057.98,2549.0,3124.0,5133.0,7792.0,9220.0,11212.0,12928.0
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,-129.48,-19.0,-96.0,,,,,
Power and Fuel,1.42,1.6,2.32,2.0,,,8.0,4.0,5.0,2.0
Other Mfr. Exp,10.26,539.3,63.67,547.0,630.0,1456.0,2027.0,1542.0,1838.0,1243.0
Employee Cost,39.05,43.71,59.69,107.0,38.0,36.0,42.0,79.0,131.0,155.0
Selling and admin,44.81,41.47,77.26,70.0,92.0,110.0,134.0,217.0,243.0,601.0
Other Expenses,2.92,11.08,199.82,354.0,27.0,19.0,611.0,60.0,106.0,142.0
Other Income,80.3,41.51,72.74,-111.0,385.0,507.0,667.0,1262.0,1316.0,1072.0
Depreciation,333.27,542.99,1061.96,394.0,486.0,849.0,1300.0,1903.0,2498.0,3372.0
Interest,334.14,551.82,1121.18,995.0,1953.0,2617.0,2911.0,5006.0,5492.0,6484.0
Profit before tax,-183.92,-210.18,-584.66,-50.0,187.0,553.0,1426.0,1671.0,2215.0,2001.0
Tax,-137.68,-72.7,-113.16,11.0,11.0,64.0,453.0,411.0,214.0,14.0
Net profit,-46.67,-137.52,-473.91,-23.0,210.0,489.0,974.0,1100.0,1444.0,1652.0
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,2527.0,2794.0,3005.0,2340.0,3073.0,3800.0,3008.0,2618.0,3502.0,4431.0
Expenses,693.0,415.0,788.0,460.0,671.0,758.0,405.0,377.0,620.0,446.0
Other Income,234.0,271.0,294.0,280.0,39.0,189.0,158.0,208.0,117.0,230.0
Depreciation,497.0,596.0,621.0,618.0,663.0,767.0,834.0,886.0,885.0,1026.0
Interest,1224.0,1426.0,1448.0,1251.0,1368.0,1525.0,1635.0,1698.0,1626.0,2001.0
Profit before tax,347.0,628.0,442.0,291.0,410.0,939.0,292.0,-135.0,488.0,1188.0
Tax,82.0,179.0,26.0,-109.0,118.0,232.0,-237.0,-37.0,56.0,263.0
Net profit,150.0,446.0,276.0,492.0,230.0,713.0,583.0,-41.0,397.0,845.0
Operating Profit,1834.0,2379.0,2217.0,1880.0,2402.0,3042.0,2603.0,2241.0,2882.0,3985.0
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,1273.9,1564.01,1564.01,1564.0,1564.0,1564.0,1584.0,1584.0,1584.0,1647.0
Reserves,-70.96,-222.61,369.33,792.0,636.0,1050.0,5720.0,8250.0,10553.0,18318.0
Borrowings,4346.57,9864.14,11142.49,14867.0,24209.0,52832.0,54223.0,64858.0,80040.0,103545.0
Other Liabilities,610.41,4503.04,1581.7,1201.0,2283.0,3508.0,5382.0,13394.0,18587.0,19478.0
Total,6159.92,15708.58,14657.53,18424.0,28692.0,58954.0,66909.0,88086.0,110764.0,142988.0
Net Block,4341.14,9120.01,10388.35,12554.0,16429.0,28452.0,48336.0,62284.0,79914.0,102138.0
Capital Work in Progress,266.99,1724.86,742.87,1208.0,4452.0,19899.0,5291.0,6427.0,14480.0,19031.0
Investments,26.47,87.02,77.16,477.0,502.0,574.0,1149.0,1515.0,2743.0,2983.0
Other Assets,1525.32,4776.69,3449.15,4185.0,7309.0,10029.0,12133.0,17860.0,13627.0,18836.0
Total,6159.92,15708.58,14657.53,18424.0,28692.0,58954.0,66909.0,88086.0,110764.0,142988.0
Receivables,336.47,848.22,757.89,740.0,1203.0,1809.0,2206.0,1342.0,1540.0,2129.0
Inventory,0.49,1692.29,135.88,104.0,29.0,17.0,52.0,291.0,101.0,136.0
Cash & Bank,186.75,456.92,361.47,695.0,1019.0,1593.0,1984.0,8764.0,3332.0,2766.0
No. of Equity Shares,1273900000.0,1376747807.0,1564014280.0,1564014280.0,1564014280.0,1564014280.0,1584032478.0,1584032478.0,1584032478.0,1647176155.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,27.78,648.65,1624.55,1965.0,1601.0,3060.0,7265.0,7713.0,8364.0,10135.0
Cash from Investing Activity,-1511.02,-4428.23,-2666.28,-3743.0,-9137.0,-18663.0,-3857.0,-21060.0,-19828.0,-26227.0
Cash from Financing Activity,1559.09,3942.02,1045.21,2161.0,7083.0,15986.0,-2973.0,13953.0,12068.0,15615.0
Net Cash Flow,75.85,162.45,3.48,383.0,-453.0,383.0,435.0,606.0,604.0,-477.0
PRICE:,,,37.15,153.25,1104.85,1914.7,881.15,1835.15,948.65,806.9
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,127.39,137.67,156.4,156.4,156.4,156.4,158.4,158.4,158.4,164.72
