COMPANY NAME,JSW ENERGY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,520.4,,,,,,,,,
Market Capitalization,95414.44,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,8263.43,8048.96,9137.59,8272.71,6922.2,8167.15,10331.81,11485.91,11745.39,18901.13
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,-0.63,,
Power and Fuel,4122.73,4472.39,5496.18,4550.13,3349.96,3571.5,5644.05,4671.11,4580.79,5789.01
Other Mfr. Exp,334.03,257.06,229.12,232.69,196.9,399.61,737.09,662.43,859.76,1225.36
Employee Cost,211.77,215.09,243.58,242.96,236.63,264.15,307.6,364.47,464.29,727.66
Selling and admin,95.17,109.89,114.16,120.55,133.39,165.01,235.15,274.7,410.71,819.09
Other Expenses,175.25,281.13,199.56,169.52,92.46,195.25,125.93,130.79,208.46,272.22
Other Income,220.94,46.73,398.03,376.48,248.32,574.6,674.38,471.94,916.29,919.75
Depreciation,969.15,966.08,1163.69,1738.26,1166.94,1131.05,1169.23,1633.41,1654.64,3185.27
Interest,1684.75,1455.91,1192.4,1051.07,895.65,776.91,844.3,2053.4,2269.13,5816.45
Profit before tax,891.52,338.14,896.93,544.01,1098.59,2238.27,1942.84,2166.91,2213.9,1985.82
Tax,269.01,253.23,212.44,33.04,275.91,494.79,462.72,442.26,231.02,-776.59
Net profit,629.03,77.97,695.13,1099.92,795.48,1728.62,1477.76,1722.71,1950.89,2239.31
Dividend Amount,81.4,,164.09,164.19,328.47,327.93,328.11,328.24,349.05,351.24
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,2755.87,2879.46,3237.66,2438.88,3189.39,5143.37,5177.42,4081.76,4498.58,5207.13
Expenses,1587.34,1461.72,1552.79,1525.15,1984.91,2354.71,2180.96,2052.19,2248.86,2333.98
Other Income,130.33,166.99,230.16,206.33,313.37,270.86,185.61,111.13,355.53,231.58
Depreciation,426.73,375.45,391.81,405.52,481.86,738.59,809.02,828.7,808.96,889.64
Interest,533.21,511.06,518.29,564.5,675.28,1305.52,1417.56,1484.88,1608.49,1519.28
Profit before tax,338.92,698.22,1004.93,150.04,360.71,1015.41,955.49,-172.88,187.8,695.81
Tax,-6.35,164.06,128.17,-7.41,-53.8,179.55,131.22,-701.63,-385.73,163.11
Net profit,351.34,521.76,853.25,167.83,408.05,743.12,704.68,419.94,371.57,470.97
Operating Profit,1168.53,1417.74,1684.87,913.73,1204.48,2788.66,2996.46,2029.57,2249.72,2873.15
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,1627.95,1640.05,1640.87,1641.9,1642.33,1639.67,1640.54,1641.22,1745.25,1756.18
Reserves,8740.51,9469.65,10181.37,10003.72,12864.67,15775.23,16988.27,19190.52,25616.18,28995.33
Borrowings,14349.27,11883.26,10554.88,9840.48,8371.24,8942.57,25051.07,31572.97,50185.18,76945.78
Other Liabilities,3671.61,3727.97,3548.96,3445.21,3328.33,4156.79,4737.38,5362.14,11908.8,16109.9
Total,28389.34,26720.93,25926.08,24931.31,26206.57,30514.26,48417.26,57766.85,89455.41,123807.19
Net Block,19490.59,18877.39,17824.54,16712.75,15636.76,14830.64,25020.49,28946.2,54155.24,74523.01
Capital Work in Progress,530.74,293.53,399.97,391.32,472.77,2090.6,4788.19,10285.09,10280.93,17464.54
Investments,1578.82,2415.0,2450.53,1853.55,4052.15,6623.17,6032.77,7034.86,9755.29,11378.93
Other Assets,6789.19,5135.01,5251.04,5973.69,6044.89,6969.85,12575.81,11500.7,15263.95,20440.71
Total,28389.34,26720.93,25926.08,24931.31,26206.57,30514.26,48417.26,57766.85,89455.41,123807.19
Receivables,2182.75,1151.22,1427.75,2103.2,964.46,670.22,1531.92,844.2,1319.82,1630.17
Inventory,592.9,535.54,454.73,639.58,395.08,901.02,987.08,830.67,905.33,960.58
Cash & Bank,784.3,311.03,203.57,200.73,479.18,1134.11,4013.88,4206.6,4695.17,5765.22
No. of Equity Shares,1627953191.0,1640054795.0,1640867512.0,1641902316.0,1642329255.0,1639670910.0,1640536238.0,1640536238.0,1745248977.0,1757292260.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,3852.64,3933.81,2491.34,2082.04,3699.86,2952.03,2084.27,6233.63,3838.48,9898.31
Cash from Investing Activity,-762.05,-214.73,-54.83,300.91,-1029.8,-1386.67,-6778.13,-8197.13,-22989.73,-18522.83
Cash from Financing Activity,-2594.92,-3967.59,-2523.18,-1961.62,-2514.75,-781.31,7327.48,1674.83,20223.38,10617.45
Net Cash Flow,495.67,-248.51,-86.67,421.33,155.31,784.05,2633.62,-288.67,1072.13,1992.93
PRICE:,62.7,72.8,72.6,42.7,87.85,302.2,240.85,528.9,537.9,471.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,164.01,164.01,164.1,164.24,164.28,164.4,164.47,164.47,174.78,175.73
