COMPANY NAME,KPI GREEN ENERGY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,304.6,,,,,,,,,
Market Capitalization,6021.09,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,34.29,59.12,102.28,229.94,643.79,1023.9,1735.45,2695.91
Raw Material Cost,,,,,,,,,,1407.93
Change in Inventory,,,3.85,0.97,0.82,0.7,2.18,0.3,9.94,-5.25
Power and Fuel,,,10.4,15.35,22.82,91.75,380.44,534.43,914.46,
Other Mfr. Exp,,,6.16,7.84,10.61,16.7,32.62,99.09,136.79,
Employee Cost,,,1.05,2.14,2.59,5.15,9.02,17.86,56.17,63.19
Selling and admin,,,5.29,7.71,9.32,6.92,11.63,29.7,59.45,
Other Expenses,,,-0.08,0.02,-0.64,1.24,3.78,6.28,14.75,261.72
Other Income,,,5.85,0.21,0.33,1.47,2.77,6.61,17.1,48.28
Depreciation,,,4.47,7.48,12.52,14.06,22.62,40.37,60.51,132.85
Interest,,,3.87,7.84,16.16,36.93,46.76,86.06,79.45,182.34
Profit before tax,,,12.83,11.92,30.05,59.36,141.87,217.02,440.91,690.91
Tax,,,3.92,5.48,8.13,16.12,32.24,55.36,115.64,181.67
Net profit,,,8.9,6.44,21.92,43.25,109.63,161.66,319.58,476.13
Dividend Amount,,,,,,1.81,10.3,4.22,15.75,20.72
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,289.36,348.01,359.68,458.36,569.41,602.94,634.3,662.86,795.81,693.84
Expenses,196.49,215.9,226.01,321.5,408.29,397.22,408.77,427.14,504.89,448.25
Other Income,3.3,0.34,0.77,7.68,8.31,11.18,6.85,15.77,14.4,15.98
Depreciation,11.29,14.25,14.63,15.07,16.45,29.5,31.61,33.02,38.72,50.95
Interest,24.83,27.5,23.15,14.52,14.27,38.2,43.02,48.5,52.61,79.75
Profit before tax,60.05,90.7,96.66,114.95,138.71,149.2,157.75,169.97,213.99,130.87
Tax,17.02,24.59,26.73,29.8,34.52,37.88,41.11,44.17,58.51,36.24
Net profit,43.04,66.11,69.93,84.5,99.14,103.95,109.11,117.79,145.29,85.61
Operating Profit,92.87,132.11,133.67,136.86,161.12,205.72,225.53,235.72,290.92,245.59
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,18.07,18.07,18.07,18.07,36.13,60.28,98.45,98.67
Reserves,,,80.97,79.93,101.85,135.67,221.78,775.4,2324.93,2935.33
Borrowings,,,39.95,138.96,240.07,446.48,675.51,1036.48,1474.87,5196.95
Other Liabilities,,,22.24,61.42,49.32,177.12,321.56,563.77,893.78,1651.11
Total,,,161.23,298.38,409.31,777.34,1254.98,2435.93,4792.03,9882.06
Net Block,,,84.12,212.99,243.84,481.58,800.62,979.36,2360.9,4508.47
Capital Work in Progress,,,18.44,0.86,21.02,31.33,0.28,101.39,163.47,918.04
Investments,,,,,,,1.5,,3.98,198.96
Other Assets,,,58.67,84.53,144.45,264.43,452.58,1355.18,2263.68,4256.59
Total,,,161.23,298.38,409.31,777.34,1254.98,2435.93,4792.03,9882.06
Receivables,,,13.48,28.38,49.87,36.78,146.73,427.13,578.12,740.5
Inventory,,,15.4,34.73,40.27,106.66,164.98,333.86,466.16,1449.13
Cash & Bank,,,1.99,10.37,21.68,25.64,52.4,170.01,597.47,559.15
No. of Equity Shares,,,18067000.0,18067000.0,18067000.0,18067000.0,36134000.0,60282608.0,196890605.0,
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,-17.06,39.87,-26.7,102.38,159.38,-57.49,207.73,424.07
Cash from Investing Activity,,,-15.14,-118.78,-63.11,-189.4,-309.43,-386.79,-1586.9,-4070.84
Cash from Financing Activity,,,33.07,87.3,101.13,90.98,176.8,561.89,1806.63,3642.9
Net Cash Flow,,,0.87,8.39,11.31,3.96,26.76,117.62,427.46,-3.87
PRICE:,,,7.83,2.65,5.45,61.78,92.8,507.67,408.5,351.2
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,16.26,16.26,16.26,16.26,16.26,18.08,19.69,19.73
