COMPANY NAME,NTPC GREEN ENERGY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,89.51,,,,,,,,,
Market Capitalization,75424.08,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,169.69,1962.6,2209.64,2858.42
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,8.35,9.21,9.79
Other Mfr. Exp,,,,,,,9.18,120.56,144.64,183.94
Employee Cost,,,,,,,33.24,77.21,107.59,153.54
Selling and admin,,,,,,,53.69,79.81,135.48,166.17
Other Expenses,,,,,,,-78.48,-68.58,-107.08,-116.09
Other Income,,,,,,,1.13,76.89,257.41,221.05
Depreciation,,,,,,,49.91,642.75,758.25,1101.95
Interest,,,,,,,50.74,693.68,766.33,897.51
Profit before tax,,,,,,,52.54,485.71,652.63,682.66
Tax,,,,,,,-118.68,142.85,178.51,161.31
Net profit,,,,,,,171.22,342.85,475.48,522.6
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,508.14,578.45,503.85,505.08,622.27,680.21,612.29,653.29,912.63,1106.86
Expenses,71.36,65.46,85.27,81.56,62.0,76.66,82.69,117.83,138.13,118.15
Other Income,44.92,28.98,21.47,76.38,129.38,89.44,60.31,30.93,47.82,43.83
Depreciation,173.15,175.38,182.45,194.56,205.86,223.33,261.35,299.66,317.61,342.71
Interest,181.33,183.15,194.67,206.1,176.77,192.56,206.93,230.06,257.45,321.51
Profit before tax,127.22,183.44,62.93,99.24,307.02,277.1,121.63,36.67,247.26,368.32
Tax,46.27,44.83,26.24,33.63,73.81,56.62,35.25,19.35,50.09,63.48
Net profit,80.95,138.61,38.04,65.61,233.22,220.48,87.59,17.48,197.05,304.84
Operating Profit,436.78,512.99,418.58,423.52,560.27,603.55,529.6,535.46,774.5,988.71
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,,4719.61,5719.61,8426.33,8426.33
Reserves,,,,,,,167.82,512.53,10014.01,10538.86
Borrowings,,,,,,,6137.0,13855.93,19440.98,31716.14
Other Liabilities,,,,,,,7406.97,7118.55,7540.13,9700.47
Total,,,,,,,18431.4,27206.62,45421.45,60381.8
Net Block,,,,,,,14758.12,17573.01,21815.93,39201.61
Capital Work in Progress,,,,,,,1749.35,7138.07,13983.44,14193.32
Investments,,,,,,,,0.05,3199.42,3536.29
Other Assets,,,,,,,1923.93,2495.49,6422.66,3450.58
Total,,,,,,,18431.4,27206.62,45421.45,60381.8
Receivables,,,,,,,325.5,704.81,516.5,614.41
Inventory,,,,,,,9.3,24.69,31.7,36.17
Cash & Bank,,,,,,,72.75,472.14,3517.39,617.5
No. of Equity Shares,,,,,,,4719611035.0,5719611035.0,8426329669.0,8426329669.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,17.27,1616.16,2050.81,2386.2
Cash from Investing Activity,,,,,,,-10304.3,-9218.38,-17845.09,-12116.83
Cash from Financing Activity,,,,,,,10359.78,7645.1,15714.7,9796.2
Net Cash Flow,,,,,,,72.75,42.88,-79.58,65.57
PRICE:,,,,,,,,,100.61,92.32
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,471.96,571.96,842.63,842.63
