COMPANY NAME,CLEAN MAX ENVIRO ENERGY SOLUTIONS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,1246.9,,,,,,,,,
Market Capitalization,14649.17,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,621.27,701.73,929.58,1389.84,1495.7,1912.87
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,321.56,321.73,427.46,450.09,408.12,465.47
Other Mfr. Exp,,,,,,0.64,0.07,3.32,7.66,39.58
Employee Cost,,,,,34.11,46.81,67.51,158.45,104.68,103.71
Selling and admin,,,,,13.44,20.11,44.88,56.06,53.38,73.6
Other Expenses,,,,,12.38,17.0,15.14,15.82,20.78,98.29
Other Income,,,,,14.57,9.16,-57.79,24.7,114.0,168.59
Depreciation,,,,,69.76,85.57,117.62,221.53,299.99,379.91
Interest,,,,,140.7,167.3,217.22,504.38,662.89,785.92
Profit before tax,,,,,43.89,51.73,-18.11,4.89,52.2,134.98
Tax,,,,,18.59,21.87,43.32,43.84,40.32,49.4
Net profit,,,,,25.32,30.36,-65.27,-30.99,27.84,94.13
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,,,,373.73,445.51,402.34,530.61,422.46,557.46,832.16
Expenses,,,,189.42,188.75,136.73,195.14,159.32,289.84,411.25
Other Income,,,,35.63,54.02,8.9,27.49,44.14,84.5,42.43
Depreciation,,,,82.9,80.93,83.45,88.81,110.98,96.68,114.63
Interest,,,,153.67,203.64,220.6,195.48,189.67,180.18,254.71
Profit before tax,,,,-16.63,26.21,-29.54,78.67,6.63,75.26,94.0
Tax,,,,-12.21,8.98,-12.94,47.03,-14.55,29.86,38.82
Net profit,,,,2.46,22.01,-14.2,25.26,27.65,55.42,48.52
Operating Profit,,,,184.31,256.76,265.61,335.47,263.14,267.62,420.91
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,0.76,3.62,3.63,4.4,5.07,11.71
Reserves,,,,,49.6,1257.02,1207.12,1829.07,2558.41,4626.56
Borrowings,,,,,1341.35,1605.47,3970.94,5570.42,8087.2,12684.32
Other Liabilities,,,,,1240.11,862.01,1691.02,1464.76,2374.04,5232.44
Total,,,,,2631.82,3728.12,6872.71,8868.65,13024.72,22555.03
Net Block,,,,,2031.29,2148.81,2929.17,6649.29,8059.85,11953.85
Capital Work in Progress,,,,,111.92,603.09,2682.64,679.65,1913.03,5342.77
Investments,,,,,7.49,41.87,48.54,92.93,76.15,136.75
Other Assets,,,,,481.12,934.35,1212.36,1446.78,2975.69,5121.66
Total,,,,,2631.82,3728.12,6872.71,8868.65,13024.72,22555.03
Receivables,,,,,47.78,99.51,169.41,251.75,188.07,277.88
Inventory,,,,,14.04,69.92,76.75,39.96,52.08,39.95
Cash & Bank,,,,,181.84,324.4,530.5,382.36,1189.39,2287.96
No. of Equity Shares,,,,,757719.0,3615586.0,3626789.0,4399000.0,5072091.0,117079174.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,10.0,10.0,10.0,10.0,10.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,488.67,434.01,927.65,86.28,1404.2,1731.24
Cash from Investing Activity,,,,,-509.67,-1033.83,-3010.77,-1938.6,-3606.47,-5953.26
Cash from Financing Activity,,,,,45.18,582.5,2144.33,1788.78,2481.24,5095.4
Net Cash Flow,,,,,24.18,-17.32,61.21,-63.55,278.97,873.38
PRICE:,,,,,,,,,,769.7
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.08,0.36,0.36,0.44,0.51,11.71
