COMPANY NAME,QUESS CORP LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,372.25,,,,,,,,,
Market Capitalization,5559.92,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,4314.93,6167.26,8526.99,10991.48,10836.9,13691.78,17158.39,13695.09,14967.2,15305.19
Raw Material Cost,71.38,142.22,262.41,267.06,200.75,278.73,479.44,286.4,0.27,
Change in Inventory,,,,,,,,,,
Power and Fuel,10.82,19.12,33.5,42.64,26.06,28.73,38.55,6.97,5.52,5.49
Other Mfr. Exp,194.04,304.73,434.95,378.45,365.36,617.57,754.98,344.03,349.07,279.19
Employee Cost,3633.95,5079.32,6713.21,9063.44,9296.84,11686.99,14659.56,12518.38,14051.34,14499.7
Selling and admin,152.8,250.19,582.92,533.24,342.57,407.28,545.52,210.66,226.0,186.81
Other Expenses,12.23,9.46,40.99,56.31,155.91,48.16,91.56,92.12,13.95,8.8
Other Income,14.66,50.49,70.98,-616.81,77.72,27.02,79.92,158.78,-198.56,-3.59
Depreciation,33.3,74.74,123.15,248.61,228.53,212.05,274.61,58.05,41.21,41.84
Interest,48.76,76.51,117.39,169.33,113.96,81.73,109.72,59.34,39.48,49.97
Profit before tax,172.31,261.46,289.45,-384.41,184.64,357.56,284.37,277.92,41.8,229.8
Tax,50.44,-48.31,32.89,47.48,110.95,106.58,61.46,-2.49,-4.09,7.6
Net profit,121.9,310.99,256.74,-444.69,57.88,241.23,224.42,277.86,45.8,221.62
Dividend Amount,,,,,103.38,59.2,118.58,148.51,148.92,164.26
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,3536.91,3586.87,3704.78,4019.13,3656.42,3651.42,3831.61,3929.71,3892.45,4181.69
Expenses,3477.08,3523.65,3635.5,3956.67,3589.06,3581.67,3754.92,3850.08,3806.08,4097.15
Other Income,55.89,6.41,1.1,-1.18,-147.05,2.87,4.04,-5.26,6.78,25.55
Depreciation,15.09,10.63,10.47,9.94,10.17,10.49,10.22,10.52,10.61,9.81
Interest,8.15,10.61,9.72,9.21,9.05,9.89,13.05,12.76,13.52,14.4
Profit before tax,92.48,48.39,50.19,42.13,-98.91,52.24,57.46,51.09,69.02,85.88
Tax,-5.36,-0.63,-0.4,0.41,-3.46,1.25,5.7,-4.01,4.67,3.76
Net profit,94.38,49.07,50.54,41.68,-95.49,50.91,51.6,54.98,64.14,81.9
Operating Profit,59.83,63.22,69.28,62.46,67.36,69.75,76.69,79.63,86.37,84.54
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,126.79,145.48,146.09,147.51,147.68,147.99,148.23,148.51,148.92,149.33
Reserves,1177.98,2315.28,2579.5,2128.43,2195.43,2289.76,2420.52,2650.48,935.93,1017.13
Borrowings,778.55,1166.36,831.19,1472.73,790.94,914.61,1011.34,838.11,112.88,124.48
Other Liabilities,780.19,1271.29,1454.8,1569.73,1586.12,2018.6,2538.69,2617.95,1614.1,1748.18
Total,2863.51,4898.41,5011.58,5318.4,4720.17,5370.96,6118.78,6255.05,2811.83,3039.12
Net Block,1171.58,1631.63,1656.36,1486.98,1504.75,1656.9,1795.76,1695.26,340.71,386.72
Capital Work in Progress,7.72,2.35,14.72,4.64,30.89,15.31,18.11,32.56,,1.65
Investments,77.64,286.17,128.45,105.86,53.81,102.15,49.52,92.94,,51.21
Other Assets,1606.57,2978.26,3212.05,3720.92,3130.72,3596.6,4255.39,4434.29,2471.12,2599.54
Total,2863.51,4898.41,5011.58,5318.4,4720.17,5370.96,6118.78,6255.05,2811.83,3039.12
Receivables,509.4,920.68,913.19,998.21,1799.54,2332.3,2688.59,2772.13,1529.45,1582.24
Inventory,7.09,8.49,22.08,28.38,29.03,27.48,28.16,7.13,,
Cash & Bank,462.6,836.51,585.5,758.72,564.57,511.93,566.11,545.26,266.94,206.87
No. of Equity Shares,126790961.0,145484178.0,146084833.0,147510694.0,147678864.0,147990557.0,148229488.0,148509384.0,148918541.0,149331454.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,68.37,108.67,201.58,361.1,715.36,553.88,466.26,529.27,380.48,230.06
Cash from Investing Activity,-574.42,-793.65,182.33,-170.2,-105.21,-187.88,4.06,49.78,-333.34,-63.66
Cash from Financing Activity,706.81,947.54,-445.25,13.46,-833.55,-441.25,-443.21,-496.5,-318.15,-237.39
Net Cash Flow,200.77,262.56,-61.34,204.35,-223.41,-75.25,27.11,82.55,-271.01,-70.99
PRICE:,326.52,486.19,353.18,104.23,341.72,322.28,180.76,254.48,318.44,169.72
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,12.68,14.55,14.61,14.75,14.77,14.8,14.82,14.85,14.89,14.93
