COMPANY NAME,RADIANT CASH MANAGEMENT SERVICES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,39.27,,,,,,,,,
Market Capitalization,419.04,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,,354.91,386.32,427.15,429.48
Raw Material Cost,,,,,,,,1.43,5.97,14.8
Change in Inventory,,,,,,,,0.68,-0.1,1.43
Power and Fuel,,,,,,,,4.32,8.99,8.78
Other Mfr. Exp,,,,,,,,177.0,178.7,190.67
Employee Cost,,,,,,,60.51,74.04,85.2,94.13
Selling and admin,,,,,,,,42.02,49.42,57.67
Other Expenses,,,,,,,207.28,6.45,5.94,6.06
Other Income,,,,,,,2.58,5.75,6.31,5.79
Depreciation,,,,,,,4.46,6.65,10.18,11.5
Interest,,,,,,,0.93,20.21,24.8,20.5
Profit before tax,,,,,,,84.31,60.63,64.16,32.59
Tax,,,,,,,21.59,16.17,17.1,4.61
Net profit,,,,,,,62.73,44.75,46.5,32.26
Dividend Amount,,,,,,,,26.68,26.68,26.68
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,98.84,99.91,107.04,115.89,104.31,100.09,104.73,123.88,100.78,105.75
Expenses,85.23,83.25,87.94,94.11,90.92,90.42,92.94,108.53,92.13,96.29
Other Income,1.19,1.29,1.58,1.66,1.78,2.17,2.19,2.14,-0.73,2.46
Depreciation,2.49,2.43,2.5,2.62,2.63,2.76,2.88,2.89,2.98,3.0
Interest,0.65,0.51,0.42,0.79,1.18,1.21,1.51,2.11,2.31,2.17
Profit before tax,11.66,15.01,17.76,20.03,11.36,7.87,9.59,12.49,2.63,6.75
Tax,3.38,4.2,4.75,5.18,2.98,2.11,1.93,0.9,-0.32,1.53
Net profit,8.46,10.85,12.48,13.35,9.82,7.34,8.51,10.94,5.46,6.4
Operating Profit,13.61,16.66,19.1,21.78,13.39,9.67,11.79,15.35,8.65,9.46
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,,,10.67,10.67,10.67
Reserves,,,,,,,,242.33,262.31,267.39
Borrowings,,,,,,,,32.7,117.41,193.9
Other Liabilities,,,,,,,,29.23,34.56,36.28
Total,,,,,,,,314.93,424.95,508.24
Net Block,,,,,,,,44.12,41.07,36.93
Capital Work in Progress,,,,,,,,1.32,,0.29
Investments,,,,,,,,,,
Other Assets,,,,,,,,269.49,383.88,471.02
Total,,,,,,,,314.93,424.95,508.24
Receivables,,,,,,,,77.11,73.83,78.94
Inventory,,,,,,,,0.86,0.76,2.19
Cash & Bank,,,,,,,,164.17,250.34,224.65
No. of Equity Shares,,,,,,,,106707906.0,106707906.0,106707906.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,,,40.62,48.42,17.78
Cash from Investing Activity,,,,,,,,8.24,-29.39,-38.39
Cash from Financing Activity,,,,,,,,-20.36,52.59,38.43
Net Cash Flow,,,,,,,,28.5,71.62,17.83
PRICE:,,,,,,,96.6,76.15,51.08,32.76
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,10.67,10.67,10.67,10.67
