COMPANY NAME,UPDATER SERVICES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,222.48,,,,,,,,,
Market Capitalization,1489.58,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,1323.96,1210.03,1483.0,2098.89,2444.36,2736.06,2939.51
Raw Material Cost,,,,47.37,30.05,40.69,79.18,101.92,95.9,96.56
Change in Inventory,,,,2.94,-1.56,1.34,-1.04,-0.04,4.79,1.93
Power and Fuel,,,,2.13,1.32,2.0,4.77,9.66,10.75,9.45
Other Mfr. Exp,,,,2.6,32.8,130.55,318.81,43.04,46.75,45.93
Employee Cost,,,,1054.55,981.66,1068.39,1384.74,1817.18,2041.08,2295.52
Selling and admin,,,,33.33,75.55,129.02,163.37,296.74,337.92,290.21
Other Expenses,,,,114.75,14.57,34.26,53.83,41.41,41.61,68.52
Other Income,,,,1.9,-0.14,13.12,12.65,23.45,35.37,14.25
Depreciation,,,,16.17,14.99,16.53,37.04,53.96,47.13,46.67
Interest,,,,10.54,2.97,5.07,14.57,19.28,10.35,6.74
Profit before tax,,,,47.36,54.42,70.95,54.19,84.58,144.73,96.09
Tax,,,,6.13,6.86,13.57,19.58,18.32,25.75,13.3
Net profit,,,,41.24,45.03,55.29,35.79,67.95,118.8,85.68
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,631.77,652.17,679.99,694.89,709.02,700.24,729.34,767.1,742.82,764.29
Expenses,591.51,611.26,636.28,648.66,673.33,660.94,697.77,746.41,700.22,721.96
Other Income,5.56,6.49,6.93,5.67,16.58,5.05,5.53,-1.99,6.75,4.48
Depreciation,12.29,11.46,12.32,12.07,11.29,11.18,11.93,12.0,11.56,12.28
Interest,3.08,3.39,2.95,1.99,2.02,2.12,1.59,1.45,1.58,1.38
Profit before tax,30.45,32.55,35.37,37.84,38.96,31.05,23.58,5.25,36.21,33.15
Tax,6.3,6.92,7.37,6.68,4.79,2.06,3.77,-1.37,8.84,2.87
Net profit,25.84,25.36,28.12,30.88,34.44,28.59,19.89,9.16,28.04,29.72
Operating Profit,40.26,40.91,43.71,46.23,35.69,39.3,31.57,20.69,42.6,42.33
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,52.82,52.82,52.82,52.95,66.95,66.95,66.95
Reserves,,,,195.69,232.45,287.61,327.94,773.19,891.24,985.38
Borrowings,,,,89.96,16.1,71.32,219.87,104.69,102.38,44.91
Other Liabilities,,,,272.22,275.57,451.97,600.43,578.27,517.42,534.56
Total,,,,610.69,576.94,863.72,1201.19,1523.1,1577.99,1631.8
Net Block,,,,85.44,74.9,204.39,359.4,356.63,357.26,342.28
Capital Work in Progress,,,,,0.32,4.12,0.23,10.88,1.21,
Investments,,,,1.54,4.04,0.01,3.81,6.44,43.08,78.42
Other Assets,,,,523.71,497.68,655.2,837.75,1149.15,1176.44,1211.1
Total,,,,610.69,576.94,863.72,1201.19,1523.1,1577.99,1631.8
Receivables,,,,292.31,268.94,347.49,427.73,503.9,608.19,602.61
Inventory,,,,6.63,5.01,6.33,6.99,6.99,7.87,10.35
Cash & Bank,,,,24.66,63.81,71.02,165.09,150.74,233.07,253.94
No. of Equity Shares,,,,52817500.0,52817479.0,52817479.0,52952467.0,66948467.0,66953241.0,66953241.0
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,5.32,128.5,31.07,114.78,102.64,50.84,143.65
Cash from Investing Activity,,,,-54.61,-16.55,-47.16,-152.98,-356.41,18.55,22.24
Cash from Financing Activity,,,,56.32,-84.66,28.79,95.58,222.72,-34.51,-75.85
Net Cash Flow,,,,7.03,27.28,12.7,57.38,-31.05,34.88,90.03
PRICE:,,,,,,,,320.35,278.55,127.47
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,6.69,6.7,6.7
