COMPANY NAME,KAYNES TECHNOLOGY INDIA LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,3598.0,,,,,,,,,
Market Capitalization,24186.65,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,364.19,367.77,420.14,705.99,1125.91,1804.52,2721.73,3626.05
Raw Material Cost,,,246.32,260.34,282.3,497.83,856.96,1372.71,1921.11,2548.05
Change in Inventory,,,4.66,18.66,-3.82,3.68,67.72,41.26,11.92,170.34
Power and Fuel,,,3.03,2.81,3.0,3.76,5.23,8.8,15.11,19.79
Other Mfr. Exp,,,19.67,19.45,22.3,28.99,49.28,45.37,92.27,123.91
Employee Cost,,,43.4,47.5,52.37,60.24,77.34,103.1,178.43,314.17
Selling and admin,,,14.9,16.12,17.13,22.48,31.98,42.61,75.79,124.2
Other Expenses,,,5.32,-2.97,-2.85,1.2,2.98,16.41,34.67,88.54
Other Income,,,2.33,1.08,4.04,4.11,11.4,55.8,105.87,154.26
Depreciation,,,5.13,8.38,10.08,13.16,18.74,25.14,44.74,107.07
Interest,,,19.84,24.6,25.16,27.09,36.48,55.87,105.78,120.61
Profit before tax,,,13.57,11.28,10.87,59.03,126.04,231.57,371.62,504.31
Tax,,,3.83,1.93,1.14,17.36,30.84,48.28,78.19,140.42
Net profit,,,9.7,9.48,9.38,41.68,95.2,183.29,293.19,363.89
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,637.3,503.98,572.12,661.18,984.48,673.47,906.22,804.03,1242.64,946.02
Expenses,542.06,437.09,489.99,567.15,816.62,560.43,758.21,684.71,1048.94,798.45
Other Income,29.41,28.31,33.55,24.64,20.47,27.1,43.07,42.26,41.82,14.43
Depreciation,7.38,8.37,8.59,10.84,16.94,15.62,16.63,20.4,54.41,36.99
Interest,15.34,22.72,22.14,26.98,29.46,28.43,22.77,24.86,40.87,37.14
Profit before tax,101.93,64.11,84.95,80.85,141.93,96.09,151.68,116.32,140.24,87.87
Tax,20.67,13.34,24.73,14.39,25.73,21.48,30.27,39.68,49.01,31.45
Net profit,81.26,50.78,60.21,66.46,116.2,74.61,121.41,76.64,91.22,56.43
Operating Profit,95.24,66.89,82.13,94.03,167.86,113.04,148.01,119.32,193.7,147.57
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,6.8,6.8,6.8,46.16,58.14,63.92,64.08,67.04
Reserves,,,85.94,95.9,131.86,156.05,900.9,2422.97,2776.18,4681.32
Borrowings,,,155.64,153.21,148.45,189.46,154.74,322.55,902.98,912.87
Other Liabilities,,,114.92,122.21,132.26,230.75,304.96,455.73,897.98,1232.78
Total,,,363.3,378.12,419.37,622.42,1418.74,3265.17,4641.22,6894.01
Net Block,,,52.63,65.72,79.96,113.34,131.7,319.21,844.97,1594.11
Capital Work in Progress,,,2.2,11.95,12.62,8.33,29.34,105.08,391.34,510.73
Investments,,,2.14,1.6,1.69,1.52,3.28,131.76,132.38,257.05
Other Assets,,,306.33,298.85,325.1,499.23,1254.42,2709.12,3272.53,4532.12
Total,,,363.3,378.12,419.37,622.42,1418.74,3265.17,4641.22,6894.01
Receivables,,,122.96,93.65,121.75,197.73,227.07,355.57,574.58,1527.62
Inventory,,,121.78,151.11,163.87,226.38,413.16,548.32,814.42,1103.23
Cash & Bank,,,32.37,12.28,14.26,21.59,486.0,1525.56,1056.31,798.59
No. of Equity Shares,,,6800002.0,6800002.0,6800002.0,46158006.0,58142496.0,63918073.0,64084305.0,67034654.0
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,-7.58,45.25,27.73,21.11,-41.6,87.71,-82.32,-600.4
Cash from Investing Activity,,,-40.88,-9.93,-24.08,-44.53,-493.65,-1522.78,-354.66,-917.22
Cash from Financing Activity,,,48.6,-35.41,-1.34,27.24,554.31,1428.55,464.99,1579.63
Net Cash Flow,,,0.14,-0.09,2.31,3.82,19.06,-6.52,28.01,62.01
PRICE:,,,,,,,962.8,2871.95,4747.35,3429.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.68,0.68,0.68,4.62,5.81,6.39,6.4,6.7
