COMPANY NAME,APCOTEX INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,559.2,,,,,,,,,
Market Capitalization,2899.18,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,,,2015-03-31 00:00:00,2016-03-31 00:00:00
Sales,,,,,,,,,351.54,292.8
Raw Material Cost,,,,,,,,,237.89,185.76
Change in Inventory,,,,,,,,,-1.39,0.38
Power and Fuel,,,,,,,,,6.43,8.83
Other Mfr. Exp,,,,,,,,,20.55,15.49
Employee Cost,,,,,,,,,14.51,17.47
Selling and admin,,,,,,,,,26.12,22.39
Other Expenses,,,,,,,,,2.4,2.1
Other Income,,,,,,,,,5.57,7.18
Depreciation,,,,,,,,,8.98,9.4
Interest,,,,,,,,,4.01,3.05
Profit before tax,,,,,,,,,34.83,35.87
Tax,,,,,,,,,10.15,-2.65
Net profit,,,,,,,,,24.68,38.53
Dividend Amount,,,,,,,,,7.31,9.37
Quarters,,,,,,,,,,
Report Date,,,,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00
Sales,,,,77.13,66.86,67.84,65.69,96.06,106.45,92.46
Expenses,,,,66.18,57.34,58.31,56.16,85.19,95.76,87.84
Other Income,,,,0.63,1.25,0.63,0.3,6.09,2.09,2.84
Depreciation,,,,2.22,2.05,2.47,2.22,2.65,2.97,3.06
Interest,,,,0.56,0.42,0.54,0.76,0.72,0.64,0.72
Profit before tax,,,,8.8,8.3,7.15,6.85,13.59,9.17,3.68
Tax,,,,3.03,2.2,1.82,2.17,-8.84,2.32,0.12
Net profit,,,,5.77,6.1,5.33,4.68,22.42,6.85,3.56
Operating Profit,,,,10.95,9.52,9.53,9.53,10.87,10.69,4.62
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,,,2015-03-31 00:00:00,2016-03-31 00:00:00
Equity Share Capital,,,,,,,,,5.22,10.41
Reserves,,,,,,,,,94.53,176.81
Borrowings,,,,,,,,,31.09,25.42
Other Liabilities,,,,,,,,,49.82,75.41
Total,,,,,,,,,180.66,288.05
Net Block,,,,,,,,,63.25,89.85
Capital Work in Progress,,,,,,,,,1.88,4.89
Investments,,,,,,,,,30.76,17.81
Other Assets,,,,,,,,,84.77,175.5
Total,,,,,,,,,180.66,288.05
Receivables,,,,,,,,,48.7,83.84
Inventory,,,,,,,,,15.22,43.34
Cash & Bank,,,,,,,,,4.43,9.81
No. of Equity Shares,,,,,,,,,10368992.0,20737984.0
New Bonus Shares,,,,,,,,,,10368992.0
Face value,,,,,,,,,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,,,2015-03-31 00:00:00,2016-03-31 00:00:00
Cash from Operating Activity,,,,,,,,,32.0,-18.26
Cash from Investing Activity,,,,,,,,,-7.56,40.2
Cash from Financing Activity,,,,,,,,,-26.03,-16.84
Net Cash Flow,,,,,,,,,-1.58,5.1
PRICE:,,,,,,,,,99.65,85.56
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,5.18,5.18
