COMPANY NAME,BHANSALI ENGINEERING POLYMERS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,117.3,,,,,,,,,
Market Capitalization,2919.15,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,626.02,1031.67,1224.72,1104.33,1291.94,1393.94,1362.56,1221.73,1397.74,1276.0
Raw Material Cost,583.64,692.07,1024.92,911.47,671.52,781.49,951.49,842.17,981.2,859.78
Change in Inventory,43.59,-51.98,9.03,18.13,-13.59,32.89,-34.0,10.26,-6.79,11.73
Power and Fuel,27.73,32.81,31.19,32.9,27.21,30.03,37.65,40.26,40.88,40.15
Other Mfr. Exp,-57.05,11.35,11.93,10.92,14.43,17.39,17.57,17.38,18.17,16.86
Employee Cost,25.31,37.53,32.54,28.78,68.06,72.74,46.95,54.93,59.35,62.81
Selling and admin,21.51,30.2,39.83,44.29,39.51,43.52,53.09,51.82,62.77,67.64
Other Expenses,5.12,21.29,14.32,7.76,10.92,18.46,44.84,13.4,14.07,24.25
Other Income,8.43,14.07,7.58,6.09,10.58,19.6,29.74,40.27,38.47,39.8
Depreciation,5.42,6.07,7.34,9.52,10.19,9.96,9.92,9.7,9.0,8.36
Interest,9.8,7.74,1.21,0.11,0.63,0.17,1.17,0.2,0.19,0.21
Profit before tax,56.56,154.7,78.05,82.8,446.46,472.67,195.62,242.4,243.79,247.47
Tax,21.11,54.68,30.85,15.79,112.57,122.64,58.86,63.03,63.77,67.3
Net profit,35.45,100.03,47.21,67.01,333.9,350.04,136.76,179.37,180.02,180.16
Dividend Amount,3.32,4.98,8.3,8.3,16.59,49.77,282.03,99.56,99.56,99.56
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,321.18,340.06,366.91,345.84,344.94,307.91,325.1,301.39,341.61,472.15
Expenses,270.11,278.48,313.89,294.11,296.78,255.36,276.02,250.88,277.61,389.56
Other Income,8.22,12.03,11.49,7.01,7.96,11.65,8.03,9.97,10.24,10.21
Depreciation,2.36,2.34,2.37,2.12,2.17,2.2,2.12,2.06,2.0,2.04
Interest,0.05,0.05,0.04,0.05,0.06,0.04,0.06,0.05,0.05,0.09
Profit before tax,56.88,71.22,62.1,56.57,53.89,61.96,54.93,58.37,72.19,90.67
Tax,16.45,17.88,15.78,15.73,14.39,16.07,14.49,16.15,20.6,25.08
Net profit,40.42,53.35,46.33,40.84,39.5,45.89,40.45,42.22,51.6,65.6
Operating Profit,51.07,61.58,53.02,51.73,48.16,52.55,49.08,50.51,64.0,82.59
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,16.59,16.59,16.59,16.59,16.59,16.59,16.59,24.89,24.89,24.89
Reserves,144.87,240.68,282.13,339.62,664.76,964.74,1051.43,897.89,977.18,1058.34
Borrowings,137.1,,,,,,,,,
Other Liabilities,121.17,165.75,229.83,296.87,95.84,126.87,99.07,132.98,101.69,202.03
Total,419.73,423.02,528.55,653.08,777.19,1108.2,1167.09,1055.76,1103.76,1285.26
Net Block,93.0,107.41,143.5,149.62,140.82,144.53,139.58,132.56,137.09,132.65
Capital Work in Progress,,6.07,,1.52,,,0.4,18.94,11.4,30.7
Investments,0.25,0.63,1.32,1.51,2.0,2.06,2.89,2.52,2.72,2.42
Other Assets,326.48,308.91,383.73,500.43,634.37,961.61,1024.22,901.74,952.55,1119.49
Total,419.73,423.02,528.55,653.08,777.19,1108.2,1167.09,1055.76,1103.76,1285.26
Receivables,136.71,185.42,223.8,153.74,290.74,282.41,237.96,229.93,255.46,253.52
Inventory,139.25,80.02,100.13,208.35,112.87,197.42,170.81,135.83,117.87,183.91
Cash & Bank,17.16,32.41,23.98,63.27,153.1,208.66,279.5,207.32,404.47,441.67
No. of Equity Shares,165905640.0,165905640.0,165905640.0,165905640.0,165905640.0,165905640.0,165905640.0,248858460.0,248858460.0,248858460.0
New Bonus Shares,,,,,,,,,,
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,78.14,191.98,53.47,88.12,103.34,297.76,140.11,231.01,108.75,168.12
Cash from Investing Activity,-11.66,-16.06,-54.56,-42.86,-20.72,-300.19,-15.32,43.98,235.16,-29.92
Cash from Financing Activity,-64.98,-148.85,-7.21,-10.11,-8.81,-49.77,-49.77,-323.52,-99.54,-99.54
Net Cash Flow,1.5,27.07,-8.31,35.15,73.81,-52.2,75.02,-48.53,244.36,38.66
PRICE:,23.13,113.73,48.7,19.23,93.43,84.6,65.33,89.35,108.91,82.19
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89,24.89
