COMPANY NAME,DHANLAXMI BANK LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,35.4,,,,,,,,,
Market Capitalization,1396.82,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1089.06,1013.32,971.49,987.59,930.75,916.64,1071.24,1206.99,1319.88,1601.48
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,2.29,2.16,1.88,2.25,18.04,24.34,23.48,29.54,45.71,
Employee Cost,195.12,163.87,161.86,185.4,226.02,235.07,247.95,332.55,314.85,326.97
Selling and admin,75.03,67.87,71.29,67.21,71.56,74.17,78.88,84.96,91.89,
Other Expenses,137.49,225.78,141.55,171.78,78.29,140.74,147.25,68.4,103.1,349.53
Other Income,111.02,102.47,52.73,112.85,122.22,169.12,74.52,152.56,169.21,192.39
Depreciation,20.32,13.46,11.26,13.32,15.33,20.02,21.11,25.08,25.33,
Interest,757.46,667.52,624.72,614.41,601.1,554.32,595.48,748.54,836.59,979.15
Profit before tax,12.37,-24.87,11.66,46.07,42.63,37.1,31.61,70.48,71.62,138.22
Tax,,,,-19.7,5.44,1.19,-17.75,12.66,4.98,35.47
Net profit,12.38,-24.87,11.67,65.78,37.19,35.9,49.36,57.82,66.64,102.75
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,307.72,306.23,305.84,328.83,334.59,350.62,367.76,383.61,407.06,443.05
Expenses,146.65,135.22,139.99,140.08,150.66,150.14,166.22,153.31,179.59,177.38
Other Income,35.7,41.07,32.1,51.81,42.2,43.09,39.3,34.55,49.25,69.29
Depreciation,,,,,,,,,,
Interest,193.72,201.37,205.95,208.0,206.25,216.39,228.66,241.65,252.84,256.0
Profit before tax,3.05,10.71,-8.0,32.56,19.88,27.18,12.18,23.2,23.88,78.96
Tax,,7.4,,6.75,0.03,-1.8,,,,35.47
Net profit,3.05,3.31,-8.0,25.81,19.85,28.98,12.18,23.2,23.88,43.49
Operating Profit,161.07,171.01,165.85,188.75,183.93,200.48,201.54,230.3,227.47,265.67
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,209.85,253.01,253.01,253.01,253.01,253.01,253.01,253.01,394.7,394.7
Reserves,444.64,496.45,508.12,573.9,611.09,646.99,708.14,776.75,1000.59,1079.22
Borrowings,11438.88,11311.83,10803.72,11081.57,11861.9,12552.89,13844.03,14589.35,16213.45,19379.51
Other Liabilities,239.75,225.17,234.04,356.61,370.5,342.87,326.95,342.78,328.2,384.23
Total,12333.12,12286.46,11798.89,12265.09,13096.5,13795.76,15132.13,15961.89,17936.94,21237.66
Net Block,183.05,173.05,169.39,178.87,224.93,221.0,250.86,266.51,266.42,290.04
Capital Work in Progress,31.21,30.71,32.63,34.83,,,6.72,7.82,15.14,
Investments,4194.15,4364.6,4036.7,3682.4,4438.97,4044.06,3888.64,3942.4,3955.15,4257.44
Other Assets,7924.71,7718.1,7560.17,8368.99,8432.6,9530.7,10985.91,11745.16,13700.23,16690.18
Total,12333.12,12286.46,11798.89,12265.09,13096.5,13795.76,15132.13,15961.89,17936.94,21237.66
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,466.13,501.96,477.5,412.85,499.25,607.04,731.23,653.97,896.32,947.96
No. of Equity Shares,209846619.0,253012084.0,253012084.0,253012084.0,253012084.0,253012084.0,253012084.0,253012084.0,394698851.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,-99.17,-203.03,-143.72,553.97,-90.25,138.84,216.4,17.29,-4.79,631.49
Cash from Investing Activity,-10.53,-2.79,-9.81,-25.0,-26.62,-387.97,-105.61,110.71,-32.31,-789.51
Cash from Financing Activity,84.14,269.86,-94.8,-22.9,-27.5,,,,142.29,150.0
Net Cash Flow,-25.55,64.03,-248.33,506.07,-144.37,-249.13,110.79,128.0,105.2,-8.02
PRICE:,24.14,17.37,14.04,6.53,12.01,10.06,11.73,33.48,29.75,19.64
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,32.74,39.47,39.47,39.47,39.47,39.47,39.47,39.47,39.47,39.47
