COMPANY NAME,DIFFUSION ENGINEERS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,474.9,,,,,,,,,
Market Capitalization,1777.37,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,153.92,154.07,155.26,204.59,254.88,278.15,335.28,406.63
Raw Material Cost,,,89.13,87.57,65.11,124.83,150.44,147.78,186.68,233.77
Change in Inventory,,,5.02,10.12,-17.73,7.77,2.83,0.95,10.72,8.02
Power and Fuel,,,2.84,3.16,2.88,4.23,5.24,6.14,7.01,7.64
Other Mfr. Exp,,,4.17,4.93,13.92,21.35,26.6,31.72,37.09,37.74
Employee Cost,,,22.81,26.92,24.0,26.95,30.82,36.23,42.11,48.49
Selling and admin,,,5.75,7.01,9.11,10.43,13.53,14.38,21.62,26.38
Other Expenses,,,17.6,17.89,3.82,2.08,2.17,3.98,6.23,3.41
Other Income,,,1.63,2.81,4.01,5.03,5.89,8.52,9.19,16.81
Depreciation,,,3.06,3.19,3.9,4.17,3.84,4.55,5.28,6.85
Interest,,,2.32,1.95,2.0,1.38,2.3,1.76,2.27,2.15
Profit before tax,,,12.89,14.38,16.8,21.97,28.66,41.08,46.9,65.03
Tax,,,3.53,3.95,5.14,4.93,6.52,10.28,10.86,14.63
Net profit,,,9.49,11.14,11.72,17.02,22.16,30.66,35.91,50.32
Dividend Amount,,,,,1.5,1.5,1.5,1.4,5.61,5.61
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,73.94,71.08,82.47,79.2,102.53,80.67,83.57,100.82,141.57,110.11
Expenses,65.88,62.04,71.07,69.19,87.76,70.09,71.8,87.32,120.89,95.96
Other Income,4.92,2.78,1.33,0.03,4.96,6.87,3.04,4.62,2.96,8.56
Depreciation,1.15,1.33,1.2,1.43,1.31,1.62,1.63,1.74,1.85,1.88
Interest,0.31,0.62,0.79,0.47,0.4,0.32,0.53,0.64,0.65,0.7
Profit before tax,11.52,9.87,10.74,8.14,18.02,15.51,12.65,15.74,21.14,20.13
Tax,2.34,2.59,2.23,1.04,5.01,3.24,2.49,3.73,5.17,3.46
Net profit,9.17,7.23,8.44,7.06,13.02,12.19,10.09,12.06,15.99,16.61
Operating Profit,8.06,9.04,11.4,10.01,14.77,10.58,11.77,13.5,20.68,14.15
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,3.74,3.74,3.74,3.74,3.74,28.02,37.43,37.43
Reserves,,,83.79,91.43,101.39,116.91,138.26,162.68,331.45,367.63
Borrowings,,,15.31,32.21,19.69,24.6,48.09,34.44,23.21,28.62
Other Liabilities,,,30.72,41.57,32.82,44.29,40.26,50.38,52.36,76.75
Total,,,133.56,168.95,157.64,189.54,230.35,275.52,444.45,510.43
Net Block,,,41.86,61.54,56.91,60.28,63.53,91.0,97.88,110.34
Capital Work in Progress,,,0.28,,,,1.83,1.11,3.14,22.98
Investments,,,14.01,13.37,12.49,18.88,19.5,29.2,34.6,42.99
Other Assets,,,77.41,94.04,88.24,110.38,145.49,154.21,308.83,334.12
Total,,,133.56,168.95,157.64,189.54,230.35,275.52,444.45,510.43
Receivables,,,33.57,34.47,43.08,50.35,70.14,66.65,84.8,128.18
Inventory,,,34.56,46.78,29.53,44.37,51.71,53.21,68.27,73.67
Cash & Bank,,,1.79,2.83,4.68,3.57,4.53,7.81,127.05,97.56
No. of Equity Shares,,,3737467.0,3737467.0,3737467.0,3737467.0,3737467.0,28021259.0,37426259.0,37426259.0
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,13.4,10.18,11.88,11.05,-4.74,36.38,8.62,22.79
Cash from Investing Activity,,,-5.02,-23.2,5.8,-15.2,-13.37,-35.84,-18.1,-40.47
Cash from Financing Activity,,,-8.06,14.05,-15.83,2.53,19.58,2.75,128.72,-11.82
Net Cash Flow,,,0.31,1.03,1.85,-1.62,1.47,3.28,119.24,-29.49
PRICE:,,,,,,,,,263.0,249.8
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,0.37,0.37,0.37,0.37,0.37,2.8,3.74,3.74
