COMPANY NAME,SONA BLW PRECISION FORGINGS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,815.0,,,,,,,,,
Market Capitalization,50847.09,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,611.78,699.22,1037.98,1566.3,2130.64,2655.01,3184.77,3546.02,4449.46
Raw Material Cost,,175.94,192.84,442.42,709.48,989.2,1179.55,1405.83,1524.0,2141.96
Change in Inventory,,8.47,-12.22,-3.18,64.17,43.65,-40.42,31.69,-20.7,45.12
Power and Fuel,,33.0,39.32,31.57,39.09,48.43,65.25,81.81,88.84,103.39
Other Mfr. Exp,,141.75,159.46,139.45,213.27,294.12,352.05,402.79,432.92,476.4
Employee Cost,,41.91,49.14,104.7,150.15,172.25,184.15,255.27,320.73,438.95
Selling and admin,,54.62,42.96,57.2,63.77,89.78,132.79,134.5,150.64,185.4
Other Expenses,,10.96,2.92,16.66,13.39,20.5,25.56,33.97,41.3,67.21
Other Income,,2.66,76.19,237.32,-11.86,32.39,28.8,15.04,116.01,71.57
Depreciation,,23.33,30.96,67.12,96.94,141.97,178.0,220.23,254.4,287.74
Interest,,19.06,17.76,25.98,32.52,18.26,16.93,25.8,30.17,23.48
Profit before tax,,122.34,227.83,387.02,300.0,432.17,509.11,671.3,798.33,841.62
Tax,,44.77,54.65,26.67,84.83,70.63,113.81,153.53,198.65,212.43
Net profit,,77.42,172.97,360.34,215.17,361.54,395.3,517.27,601.21,640.17
Dividend Amount,,,,199.92,1084.82,89.99,164.5,179.45,198.95,211.43
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,884.13,891.18,922.19,867.91,864.75,853.91,1138.29,1199.76,1257.5,1301.2
Expenses,637.15,641.87,670.18,633.74,633.48,648.36,854.46,903.83,961.65,1007.77
Other Income,8.61,8.81,12.93,41.15,53.26,32.01,20.51,-14.17,33.33,34.87
Depreciation,59.85,60.63,62.59,66.55,64.63,66.99,71.62,74.86,74.27,76.88
Interest,7.12,8.62,10.57,5.77,5.22,5.33,5.16,5.49,7.5,10.48
Profit before tax,188.62,188.87,191.78,203.0,214.68,165.24,227.56,201.41,247.41,240.94
Tax,40.54,47.16,48.21,52.29,51.0,43.53,57.1,51.26,60.55,62.43
Net profit,148.68,141.95,143.95,151.19,164.12,124.71,172.77,150.78,191.92,180.47
Operating Profit,246.98,249.31,252.01,234.17,231.27,205.55,283.83,295.93,295.85,293.43
BALANCE SHEET,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,27.72,27.72,47.15,572.98,584.35,585.41,586.45,621.72,621.85
Reserves,,-27.54,146.06,1130.78,802.95,1415.94,1704.8,2063.88,4873.05,5361.08
Borrowings,,614.22,163.35,365.9,447.2,151.15,295.19,412.13,202.23,442.29
Other Liabilities,,869.37,1295.42,306.85,374.76,444.32,474.43,802.45,840.08,1038.64
Total,,1483.77,1632.55,1850.68,2197.89,2595.76,3059.83,3864.91,6537.08,7463.86
Net Block,,793.29,291.26,1065.18,1216.6,1384.13,1587.61,1950.54,2127.24,3646.36
Capital Work in Progress,,17.96,13.17,89.64,83.21,147.38,91.13,363.65,419.47,426.75
Investments,,0.53,,1.9,,6.53,232.57,41.68,864.15,549.84
Other Assets,,671.99,1328.12,693.96,898.08,1057.72,1148.52,1509.04,3126.22,2840.91
Total,,1483.77,1632.55,1850.68,2197.89,2595.76,3059.83,3864.91,6537.08,7463.86
Receivables,,280.99,152.1,233.63,416.99,445.19,608.85,648.26,705.19,1150.71
Inventory,,283.9,67.78,196.24,305.56,363.38,322.94,347.49,348.69,615.59
Cash & Bank,,26.4,25.61,167.29,27.58,77.25,69.84,274.16,1301.6,348.36
No. of Equity Shares,,27718376.0,27718376.0,47153944.0,572980560.0,584352710.0,585404582.0,586447778.0,621717975.0,621846890.0
New Bonus Shares,,,,,,,,,,
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,148.87,154.61,253.34,142.72,444.58,533.29,692.75,775.19,659.06
Cash from Investing Activity,,-137.93,204.15,-954.21,-156.05,-352.26,-561.53,-471.11,-1762.33,-1554.5
Cash from Financing Activity,,-12.84,-346.12,766.82,-66.7,-63.66,18.75,-174.75,1943.64,-0.99
Net Cash Flow,,-1.91,12.63,65.96,-80.04,28.66,-9.5,46.9,956.51,-896.43
PRICE:,,,,,,679.45,413.5,705.95,461.2,481.5
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,2.77,2.77,4.72,57.3,58.44,58.54,58.64,62.17,62.18
