COMPANY NAME,DIVGI TORQTRANSFER SYSTEMS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,1175.15,,,,,,,,,
Market Capitalization,3593.95,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,159.48,186.89,159.07,186.58,233.78,271.04,253.42,218.92,352.89
Raw Material Cost,,58.14,70.8,56.05,68.9,93.56,110.4,111.69,93.7,144.87
Change in Inventory,,4.51,4.19,-2.16,1.94,-0.07,-0.99,5.48,5.61,8.08
Power and Fuel,,2.12,2.54,2.82,2.64,3.77,4.75,6.7,7.37,
Other Mfr. Exp,,9.72,10.67,16.64,17.36,21.32,36.55,41.34,40.17,
Employee Cost,,16.86,18.22,19.65,21.77,22.54,24.5,24.14,25.11,41.54
Selling and admin,,24.97,25.28,23.21,20.34,25.55,18.05,20.07,19.15,
Other Expenses,,7.93,9.89,1.43,5.44,1.13,1.19,1.73,1.45,104.54
Other Income,,4.84,8.82,11.68,8.45,8.1,7.62,19.56,21.21,22.28
Depreciation,,3.57,6.17,6.39,7.61,11.39,12.99,18.69,25.18,29.24
Interest,,5.73,0.55,4.64,0.35,0.4,0.41,0.57,0.6,0.31
Profit before tax,,39.79,55.78,37.76,52.56,62.15,68.83,53.53,33.01,62.75
Tax,,14.52,15.49,9.72,14.52,16.0,17.67,13.8,8.62,15.82
Net profit,,25.28,40.28,28.04,38.04,46.15,51.16,39.74,24.39,46.93
Dividend Amount,,,,,,9.23,10.24,7.95,7.95,10.0
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,65.06,54.23,53.96,52.51,58.22,71.68,82.97,90.62,107.62,137.14
Expenses,51.92,45.49,42.61,43.9,49.56,57.68,66.34,72.91,85.95,100.12
Other Income,5.1,5.15,5.25,4.95,5.87,5.09,5.37,5.65,6.18,4.62
Depreciation,5.68,5.76,5.97,6.36,7.1,6.94,7.18,7.57,7.55,7.82
Interest,0.21,0.06,0.1,0.11,0.12,0.07,0.08,0.08,0.08,0.07
Profit before tax,12.35,8.07,10.53,7.09,7.31,12.08,14.74,15.71,20.22,33.75
Tax,3.14,2.1,2.69,1.86,1.97,3.15,4.0,3.94,4.74,8.51
Net profit,9.21,5.96,7.84,5.24,5.35,8.93,10.75,11.77,15.48,25.24
Operating Profit,13.14,8.74,11.35,8.61,8.66,14.0,16.63,17.71,21.67,37.02
BALANCE SHEET,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,5.39,5.39,6.02,6.88,13.77,15.29,15.29,15.29,15.29
Reserves,,90.98,226.62,203.51,288.99,326.25,535.99,565.05,581.48,620.17
Borrowings,,48.57,2.13,51.15,1.12,0.48,2.54,1.57,1.07,1.77
Other Liabilities,,39.91,44.53,45.53,68.79,67.93,92.55,62.53,65.66,94.19
Total,,184.85,278.67,306.21,365.78,408.43,646.37,644.44,663.5,731.42
Net Block,,71.79,78.42,89.39,105.41,111.77,116.73,227.09,255.46,259.82
Capital Work in Progress,,1.67,8.89,6.13,6.19,28.5,92.69,25.71,1.77,17.73
Investments,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Other Assets,,111.34,191.31,210.64,254.13,268.11,436.9,391.59,406.22,453.82
Total,,184.85,278.67,306.21,365.78,408.43,646.37,644.44,663.5,731.42
Receivables,,37.09,38.0,23.41,54.79,52.63,73.24,63.1,55.46,79.29
Inventory,,20.44,19.76,23.27,29.6,33.13,36.25,38.79,41.79,58.78
Cash & Bank,,46.72,125.23,149.97,158.9,173.23,311.35,264.31,284.83,294.52
No. of Equity Shares,,538868.0,538868.0,602264.0,688302.0,27532080.0,30582927.0,30582927.0,30582927.0,
New Bonus Shares,,,,,,,,,,
Face value,,100.0,100.0,100.0,100.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,38.33,26.97,51.08,40.82,32.46,35.21,41.08
Cash from Investing Activity,,,,-24.31,-24.58,-51.08,-213.13,6.07,-42.53,-16.07
Cash from Financing Activity,,,,-5.75,-2.62,-2.93,159.72,-11.72,-8.82,-8.93
Net Cash Flow,,,,8.27,-0.24,-2.93,-12.59,26.82,-16.14,16.08
PRICE:,,,,,,,658.45,769.9,445.25,615.8
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,0.05,0.05,0.06,0.07,2.75,3.06,3.06,3.06,3.06
