COMPANY NAME,3I INFOTECH LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,20.68,,,,,,,,,
Market Capitalization,430.44,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1003.79,991.19,1121.75,698.22,608.62,677.01,729.11,813.88,725.76,693.36
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,7.07,6.82,7.32,4.31,3.65,2.74,3.58,3.71,2.72,
Other Mfr. Exp,168.93,204.78,242.75,137.86,60.87,65.31,118.2,184.23,118.71,
Employee Cost,572.63,528.39,604.67,466.02,496.78,540.75,558.58,586.5,535.42,482.38
Selling and admin,83.9,88.44,105.67,46.42,68.71,66.05,79.88,73.1,53.98,
Other Expenses,14.33,6.93,16.93,6.03,11.6,25.52,5.75,29.24,-8.83,228.98
Other Income,52.12,19.24,21.04,148.44,547.36,-6.07,73.35,-199.12,23.22,86.91
Depreciation,13.5,8.94,2.11,14.16,15.42,14.37,22.8,27.16,27.78,19.74
Interest,92.97,86.65,84.23,90.41,84.73,10.3,9.29,10.09,7.59,4.03
Profit before tax,102.58,79.48,79.11,81.45,414.22,-54.1,4.38,-299.27,11.61,45.14
Tax,8.51,8.37,10.96,13.43,23.06,3.39,3.01,14.31,-13.74,10.03
Net profit,94.73,70.4,67.25,67.6,391.16,-57.49,1.37,-313.58,25.35,35.46
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,197.04,179.75,177.6,181.41,187.0,170.55,174.89,172.14,175.78,177.94
Expenses,234.91,180.77,176.83,158.29,178.65,174.01,180.18,171.76,185.41,172.87
Other Income,-51.06,3.64,2.2,4.08,5.83,21.53,35.82,7.59,21.97,6.39
Depreciation,7.67,6.9,7.45,7.08,6.35,4.62,4.97,5.32,4.83,4.54
Interest,2.36,2.08,2.36,1.61,1.54,1.35,0.52,0.82,1.34,1.06
Profit before tax,-98.96,-6.36,-6.84,18.51,6.29,12.1,25.04,1.83,6.17,5.86
Tax,0.97,2.46,3.16,1.25,-20.61,4.55,6.84,-0.26,-1.1,-0.66
Net profit,-99.93,-8.82,-10.0,17.26,26.9,7.62,18.43,2.14,7.27,6.46
Operating Profit,-37.87,-1.02,0.77,23.12,8.35,-3.46,-5.29,0.38,-9.63,5.07
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,1183.65,1615.36,1616.64,1616.65,1616.65,167.94,168.47,169.23,169.63,207.4
Reserves,-1006.2,-1363.59,-1293.43,-1225.18,-863.76,535.69,474.35,124.21,137.25,173.78
Borrowings,928.62,847.55,894.08,902.49,569.29,118.64,99.24,84.48,63.51,61.57
Other Liabilities,276.68,271.01,274.37,234.7,163.53,138.08,229.61,274.11,202.43,219.42
Total,1382.75,1370.33,1491.66,1528.66,1485.71,960.35,971.67,652.03,572.82,662.17
Net Block,806.39,803.03,806.33,850.75,387.71,416.53,478.8,244.9,225.37,218.39
Capital Work in Progress,,,,,,8.05,41.81,6.28,0.96,
Investments,0.16,0.16,0.16,0.16,0.16,0.16,2.21,2.24,2.29,0.23
Other Assets,576.2,567.14,685.17,677.75,1097.84,535.61,448.85,398.61,344.2,443.55
Total,1382.75,1370.33,1491.66,1528.66,1485.71,960.35,971.67,652.03,572.82,662.17
Receivables,203.03,212.07,244.4,191.72,88.26,93.71,122.17,156.83,102.34,108.08
Inventory,0.92,0.99,0.6,,,,,,,
Cash & Bank,123.62,51.67,104.72,91.0,690.59,136.25,66.73,54.52,59.65,77.6
No. of Equity Shares,1183650000.0,1615360000.0,1616644862.0,1616654866.0,1616654866.0,167942657.0,168466042.0,169230842.0,169627242.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,129.4,92.74,137.03,168.58,79.03,-50.04,80.05,24.12,28.25,-43.58
Cash from Investing Activity,15.61,-2.5,5.57,-5.87,802.89,-3.96,-106.0,-9.99,3.19,-31.65
Cash from Financing Activity,-74.19,-160.39,-90.31,-174.38,-295.77,-493.92,-41.2,-25.2,-25.91,60.14
Net Cash Flow,70.82,-70.15,52.29,-11.67,586.15,-547.92,-67.15,-11.07,5.53,-15.09
PRICE:,4.79,4.79,3.65,1.23,7.06,48.56,26.01,37.43,20.04,13.76
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,144.67,197.43,197.59,197.59,197.59,20.53,20.59,20.68,20.73,20.74
