COMPANY NAME,AURIONPRO SOLUTIONS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,836.65,,,,,,,,,
Market Capitalization,4623.46,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,492.95,418.46,522.15,469.76,374.02,505.01,659.33,887.47,1172.97,1411.09
Raw Material Cost,,,,,,,,,,
Change in Inventory,2.21,6.83,13.46,-7.65,-0.64,-5.0,6.97,4.97,-0.12,-0.18
Power and Fuel,2.04,2.49,1.28,2.21,1.33,0.77,0.82,1.65,1.74,
Other Mfr. Exp,178.41,131.09,197.9,182.5,109.82,183.19,260.43,308.72,411.03,
Employee Cost,209.57,174.29,163.88,149.21,149.78,175.95,219.54,334.29,442.3,588.93
Selling and admin,35.14,31.87,44.81,31.95,17.15,27.24,32.07,48.14,62.61,
Other Expenses,24.08,6.94,6.99,6.23,11.24,1.39,8.83,6.21,13.44,539.63
Other Income,45.72,82.04,-2.21,2.18,-117.94,5.01,4.33,9.05,20.17,19.57
Depreciation,29.53,32.25,30.99,39.69,139.39,13.98,15.85,20.63,30.05,39.28
Interest,16.37,12.71,11.91,18.22,15.8,7.84,10.77,13.07,6.64,10.17
Profit before tax,45.74,115.69,75.64,34.28,-189.07,94.66,122.32,168.78,225.21,252.47
Tax,3.57,1.45,14.93,2.59,2.93,19.09,20.44,25.85,36.79,40.69
Net profit,45.02,88.56,56.95,31.93,-121.95,70.67,97.33,140.97,186.17,209.31
Dividend Amount,2.2,4.72,4.73,,,5.7,5.7,6.18,18.8,21.52
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,230.75,246.87,261.62,278.28,306.11,326.95,336.82,357.67,371.03,345.57
Expenses,179.52,194.28,206.12,221.81,242.29,261.02,268.66,285.7,295.64,278.75
Other Income,2.5,1.4,6.84,4.73,4.35,3.35,3.37,9.77,-7.05,15.31
Depreciation,5.25,5.57,5.64,7.37,7.45,8.68,10.04,10.94,9.81,10.31
Interest,3.25,3.53,2.26,1.22,1.52,1.64,1.7,1.33,2.04,5.1
Profit before tax,45.23,44.89,54.44,52.61,59.2,58.96,59.79,69.47,56.49,66.72
Tax,7.35,5.42,9.83,7.1,11.4,8.45,9.15,13.62,12.56,5.36
Net profit,37.55,38.48,43.43,45.07,47.34,50.33,51.31,54.35,42.15,61.51
Operating Profit,51.23,52.59,55.5,56.47,63.82,65.93,68.16,71.97,75.39,66.82
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,21.95,23.61,23.64,22.8,22.8,22.8,22.8,24.72,53.71,53.8
Reserves,301.75,385.9,473.99,520.6,313.67,374.07,474.92,905.17,1449.55,1683.74
Borrowings,109.72,73.19,114.64,154.24,124.08,61.35,88.31,81.25,30.51,60.68
Other Liabilities,267.44,331.35,305.16,278.69,154.49,188.76,262.62,386.46,414.48,536.44
Total,700.86,814.05,917.43,976.33,615.04,646.98,848.65,1397.6,1948.25,2334.66
Net Block,369.56,309.55,296.04,316.97,143.11,144.49,212.75,448.53,731.55,891.9
Capital Work in Progress,23.15,27.51,96.89,133.98,13.41,13.89,6.24,22.81,20.39,
Investments,3.3,3.38,17.83,41.69,35.92,40.41,35.92,0.09,,
Other Assets,304.85,473.61,506.67,483.69,422.6,448.19,593.74,926.17,1196.31,1442.76
Total,700.86,814.05,917.43,976.33,615.04,646.98,848.65,1397.6,1948.25,2334.66
Receivables,126.46,127.5,190.24,133.38,103.05,130.37,199.4,290.85,305.9,376.94
Inventory,8.77,15.6,29.06,26.64,26.0,21.0,27.98,32.95,32.82,32.64
Cash & Bank,36.9,135.12,46.79,32.31,38.57,57.7,42.81,268.71,361.71,204.99
No. of Equity Shares,21950301.0,23614301.0,23636301.0,22800165.0,22800165.0,22800165.0,22800165.0,24718100.0,53709530.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,109.44,132.12,63.6,21.93,49.16,62.04,40.89,163.63,157.1,55.88
Cash from Investing Activity,-53.19,-7.77,-179.68,-51.91,-9.94,30.82,-55.69,-203.34,-421.23,-153.52
Cash from Financing Activity,-52.15,-35.38,26.8,14.77,-37.04,-74.61,-1.61,265.36,283.11,-4.64
Net Cash Flow,4.1,88.97,-89.29,-15.22,2.18,18.25,-16.42,225.64,18.98,-102.28
PRICE:,57.01,97.48,64.63,20.25,68.5,163.18,154.03,1098.25,1604.15,724.7
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,4.39,4.72,4.73,4.56,4.56,4.56,4.56,5.14,5.52,5.53
