COMPANY NAME,CREATIVE NEWTECH LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,847.5,,,,,,,,,
Market Capitalization,1272.66,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,367.62,457.34,519.87,946.75,1392.49,1720.59,1782.55,2704.61
Raw Material Cost,,,335.53,439.53,473.68,892.11,1275.33,1594.69,1652.56,2552.28
Change in Inventory,,,-0.13,32.5,-1.34,35.59,-20.68,-4.4,26.71,66.09
Power and Fuel,,,0.12,0.13,0.09,0.12,0.16,0.21,0.23,
Other Mfr. Exp,,,0.26,2.68,3.39,7.35,8.08,12.82,30.42,
Employee Cost,,,7.91,10.04,9.36,12.67,15.07,17.5,20.56,21.3
Selling and admin,,,13.06,22.21,19.35,36.86,37.24,41.62,50.4,
Other Expenses,,,0.35,-0.23,0.1,1.24,0.32,0.43,0.93,106.07
Other Income,,,3.06,1.34,6.17,0.64,9.5,20.29,18.71,12.89
Depreciation,,,0.53,0.86,1.02,1.49,1.57,1.33,1.16,1.52
Interest,,,4.52,4.8,4.69,6.21,9.4,9.66,10.16,20.66
Profit before tax,,,8.27,11.16,13.02,24.93,34.14,58.22,61.55,81.76
Tax,,,2.42,3.39,3.64,5.69,6.9,9.98,8.44,11.47
Net profit,,,5.85,7.78,9.55,15.99,24.59,44.06,46.21,70.29
Dividend Amount,,,0.29,0.58,,0.6,0.63,0.71,0.75,0.75
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,510.8,304.15,301.01,411.42,659.06,404.43,392.96,655.75,914.0,740.81
Expenses,500.04,292.4,292.97,399.14,646.87,389.64,382.07,632.97,887.5,711.09
Other Income,5.51,16.3,4.48,5.27,11.52,4.29,4.22,3.84,6.37,-0.37
Depreciation,0.34,0.34,0.27,0.28,0.29,0.32,0.3,0.33,0.44,0.45
Interest,2.46,2.44,1.45,2.21,3.56,2.93,3.01,4.49,5.99,7.18
Profit before tax,13.47,25.27,10.8,15.06,19.86,15.83,11.8,21.8,26.44,21.72
Tax,1.92,4.91,1.71,1.83,2.79,2.1,1.61,2.85,3.08,3.93
Net profit,11.55,20.36,9.09,13.22,17.07,13.73,10.18,18.95,23.37,17.79
Operating Profit,10.76,11.75,8.04,12.28,12.19,14.79,10.89,22.78,26.5,29.72
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,5.8,11.6,11.6,12,12.6,14.11,15.02,15.02
Reserves,,,27.51,40.35,47.04,70.27,104.8,201.6,279.0,348.61
Borrowings,,,35.91,31.88,42.93,64.34,88.93,73.56,71.81,324.26
Other Liabilities,,,49.3,71.05,90.2,106.53,81.65,72.11,165.91,249.35
Total,,,118.52,154.88,191.77,253.14,287.98,361.38,531.74,937.24
Net Block,,,8.93,8.89,10.07,10.56,9.71,8.83,8.34,12.26
Capital Work in Progress,,,,,,,,,2.15,
Investments,,,1.24,1.06,,,,,2.81,2.75
Other Assets,,,108.35,144.93,181.7,242.58,278.27,352.55,518.44,922.23
Total,,,118.52,154.88,191.77,253.14,287.98,361.38,531.74,937.24
Receivables,,,44.05,38.58,55.95,84.77,92.19,147.02,237.77,565.11
Inventory,,,27.79,60.29,59.79,97.02,81.26,77.75,105.71,173.45
Cash & Bank,,,3.59,3.89,6.25,8.24,9.19,17.19,55.23,22.18
No. of Equity Shares,,,5800000.0,11600000.0,11600000.0,12000000.0,12600000.0,14113675.0,15016675.0,
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,-3.99,-2.39,-3.96,-18.93,-21.24,-28.18,21.86,-273.1
Cash from Investing Activity,,,-1.89,-0.75,-1.79,-2.82,-0.33,-24.08,-5.26,-7.9
Cash from Financing Activity,,,6.84,2.52,7.47,22.35,21.3,56.87,20.08,234.24
Net Cash Flow,,,0.96,-0.62,1.73,0.61,-0.27,4.61,36.68,-46.76
PRICE:,,,54.05,77.95,103.75,723.0,426.0,712.55,754.95,528.15
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,1.16,1.16,1.16,1.2,1.26,1.41,1.5,1.5
