COMPANY NAME,PROTEAN EGOV TECHNOLOGIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,490.3,,,,,,,,,
Market Capitalization,1999.4,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,755.24,716.13,603.13,690.91,741.05,881.59,840.7,997.75
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,4.37,3.72,3.28,2.66,3.46,3.73,3.78,3.87
Other Mfr. Exp,,,465.97,443.81,370.64,406.71,421.21,492.61,463.27,532.04
Employee Cost,,,66.79,70.14,76.52,80.78,125.29,178.13,190.99,235.31
Selling and admin,,,35.05,33.32,29.94,41.12,51.03,71.05,89.76,86.17
Other Expenses,,,5.87,17.4,37.8,35.81,22.1,46.63,12.49,24.84
Other Income,,,33.09,38.48,48.92,79.27,41.67,67.57,68.18,68.15
Depreciation,,,27.6,27.46,17.28,17.0,18.29,27.48,27.82,46.75
Interest,,,2.19,1.62,0.94,0.48,0.93,1.67,2.34,6.68
Profit before tax,,,180.49,157.14,115.65,185.62,140.41,127.86,118.43,130.24
Tax,,,56.97,35.96,23.35,41.69,33.38,30.57,25.97,29.65
Net profit,,,123.6,121.25,92.3,143.94,107.05,97.29,92.46,100.59
Dividend Amount,,,,,,181.71,40.42,40.45,40.55,40.62
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,222.08,196.54,219.7,202.31,222.15,210.84,250.5,228.87,307.54,250.96
Expenses,200.15,181.43,188.07,186.53,204.26,194.43,221.17,197.08,269.55,238.54
Other Income,13.0,19.26,13.57,18.81,16.54,28.52,14.6,10.47,14.56,15.4
Depreciation,10.9,6.77,7.14,5.81,8.1,11.04,10.38,11.27,14.06,17.53
Interest,0.52,0.5,0.49,0.26,1.09,1.52,1.51,1.57,2.08,2.65
Profit before tax,23.51,27.1,37.57,28.52,25.24,32.37,32.04,29.42,36.41,7.64
Tax,4.22,6.01,9.53,5.59,4.84,8.52,8.18,6.92,6.03,1.78
Net profit,19.29,21.09,28.04,22.93,20.4,23.85,23.86,22.5,30.38,5.86
Operating Profit,21.93,15.11,31.63,15.78,17.89,16.41,29.33,31.79,37.99,12.42
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,40.01,40.01,40.14,40.38,40.42,40.45,40.55,40.62
Reserves,,,625.52,713.68,627.71,747.81,816.72,885.73,958.23,1036.73
Borrowings,,,20.34,13.9,6.19,11.68,7.92,20.79,68.53,87.49
Other Liabilities,,,183.74,172.4,188.54,188.27,239.04,238.27,239.25,308.75
Total,,,869.61,939.99,862.58,988.14,1104.1,1185.24,1306.56,1473.59
Net Block,,,156.53,63.56,56.81,64.54,63.31,86.01,152.9,166.74
Capital Work in Progress,,,5.13,5.43,1.42,4.49,11.43,13.1,10.58,19.48
Investments,,,372.51,406.11,285.13,363.63,528.51,550.39,660.71,637.71
Other Assets,,,335.44,464.89,519.22,555.48,500.85,535.74,482.37,649.66
Total,,,869.61,939.99,862.58,988.14,1104.1,1185.24,1306.56,1473.59
Receivables,,,181.88,210.71,197.74,200.4,208.86,189.29,144.07,204.64
Inventory,,,,,,,,,,
Cash & Bank,,,55.48,50.11,115.15,233.5,137.53,150.76,136.22,186.53
No. of Equity Shares,,,40005300.0,40007981.0,40139462.0,40384076.0,40421394.0,40446732.0,40548239.0,40616731.0
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,135.94,53.86,100.22,10.94,-7.9,57.54,192.71,78.47
Cash from Investing Activity,,,-103.79,-12.9,115.52,-139.04,11.68,18.7,-158.55,-14.37
Cash from Financing Activity,,,-39.21,-39.31,-183.32,-1.19,-1.31,-47.45,-42.24,-53.87
Net Cash Flow,,,-7.06,1.65,32.42,-129.29,2.47,28.79,-8.08,10.23
PRICE:,,,,,,,,1005.9,1340.8,446.4
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,4.0,4.0,4.01,4.03,4.04,4.04,4.05,4.06
