COMPANY NAME,QUICK HEAL TECHNOLOGIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,152.46,,,,,,,,,
Market Capitalization,827.46,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,299.97,318.32,314.93,286.14,333.04,341.9,278.09,291.75,279.53,261.02
Raw Material Cost,14.8,11.1,14.64,10.41,9.36,14.01,8.94,5.54,6.55,4.65
Change in Inventory,0.41,-1.85,1.93,0.39,-2.28,1.85,-0.39,-1.29,-0.58,0.37
Power and Fuel,3.83,3.93,3.87,3.53,2.37,2.38,2.59,2.7,2.64,2.53
Other Mfr. Exp,26.75,17.25,12.86,10.94,10.66,11.14,12.17,13.7,14.23,17.29
Employee Cost,103.15,102.65,99.25,101.73,115.15,140.0,155.42,169.52,185.97,183.35
Selling and admin,57.02,55.21,52.37,58.03,47.6,61.94,86.93,70.75,69.75,65.36
Other Expenses,4.62,5.99,5.97,10.39,4.16,7.33,9.77,10.38,6.4,17.58
Other Income,24.61,30.0,32.67,31.49,24.16,19.11,22.13,21.07,20.77,22.83
Depreciation,30.94,26.93,23.55,21.68,19.49,17.38,15.99,12.6,12.96,13.9
Interest,,,,,,,,0.13,0.22,0.2
Profit before tax,83.88,123.41,137.02,101.31,146.13,108.68,8.02,26.21,1.0,-20.64
Tax,30.65,40.41,45.19,26.9,39.16,25.49,1.62,1.97,-4.04,-9.71
Net profit,53.23,83.01,91.82,74.41,106.97,83.19,6.4,24.24,5.04,-10.93
Dividend Amount,17.52,21.12,14.11,25.68,25.68,26.1,13.27,16.05,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,80.03,70.29,73.49,70.61,65.14,57.23,83.52,71.54,48.73,44.99
Expenses,69.99,67.7,70.42,74.38,73.62,66.96,74.29,71.09,78.05,62.56
Other Income,6.82,5.06,5.2,4.91,5.6,5.75,4.38,8.95,3.75,14.1
Depreciation,3.18,2.79,3.15,3.39,3.63,2.96,3.28,3.59,4.07,3.85
Interest,0.13,0.05,0.05,0.06,0.06,0.06,0.05,0.06,0.03,
Profit before tax,13.55,4.81,5.07,-2.31,-6.57,-7.0,10.28,5.75,-29.67,-7.32
Tax,-0.49,0.78,0.92,-2.42,-3.32,-1.49,2.37,-0.86,-9.73,-2.04
Net profit,14.04,4.03,4.15,0.11,-3.25,-5.51,7.91,6.61,-19.94,-5.28
Operating Profit,10.04,2.59,3.07,-3.77,-8.48,-9.73,9.23,0.45,-29.32,-17.57
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,70.1,70.39,70.56,64.2,64.21,58.01,53.07,53.51,54.0,54.24
Reserves,591.56,653.48,719.2,579.87,687.27,569.62,366.64,383.49,387.48,382.28
Borrowings,,,,,,,,,0.31,0.11
Other Liabilities,71.87,56.84,63.07,52.5,75.21,88.25,73.59,75.63,83.25,110.36
Total,733.53,780.71,852.83,696.57,826.69,715.88,493.3,512.63,525.04,546.99
Net Block,184.76,173.05,164.71,158.49,145.75,137.03,124.45,116.72,119.21,122.14
Capital Work in Progress,13.59,13.87,10.63,3.4,2.11,,0.15,3.06,0.05,
Investments,181.75,306.48,389.84,309.85,415.5,317.54,197.69,189.96,179.29,212.69
Other Assets,353.43,287.31,287.65,224.83,263.33,261.31,171.01,202.89,226.49,212.16
Total,733.53,780.71,852.83,696.57,826.69,715.88,493.3,512.63,525.04,546.99
Receivables,97.18,103.09,125.05,113.16,150.63,171.96,122.65,131.72,166.73,137.59
Inventory,7.94,5.63,5.39,6.24,3.34,4.79,4.5,2.8,2.22,2.59
Cash & Bank,209.37,162.94,134.9,80.03,84.32,63.05,11.85,37.76,20.97,13.24
No. of Equity Shares,70102205.0,70388183.0,70563654.0,64203618.0,64207868.0,58009601.0,53073851.0,53516271.0,54006608.0,54245455.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,35.83,93.9,61.39,70.56,98.62,79.98,30.81,18.19,-22.29,15.39
Cash from Investing Activity,-72.82,-122.41,-36.67,147.96,-92.36,125.58,185.1,6.14,15.95,-25.85
Cash from Financing Activity,-20.48,-18.53,-23.98,-221.41,0.1,-214.16,-212.16,1.6,-10.33,2.76
Net Cash Flow,-57.47,-47.04,0.74,-2.88,6.36,-8.6,3.75,25.93,-16.67,-7.7
PRICE:,236.3,266.2,225.35,80.85,186.5,177.5,132.95,469.5,287.15,125.53
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,7.01,7.04,7.06,6.42,6.42,5.8,5.31,5.35,5.4,5.42
