COMPANY NAME,RASHI PERIPHERALS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,801.45,,,,,,,,,
Market Capitalization,5278.49,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,3990.51,3934.48,5925.05,9313.44,9454.28,11094.7,13772.73,15827.34
Raw Material Cost,,,3765.73,3861.9,5646.1,9424.29,9208.12,10832.99,13220.22,15509.12
Change in Inventory,,,-40.05,151.89,68.35,626.77,294.09,331.41,174.74,554.18
Power and Fuel,,,1.23,1.33,1.11,1.4,1.59,1.89,1.8,
Other Mfr. Exp,,,11.03,1.68,1.12,2.91,0.92,0.8,1.44,
Employee Cost,,,65.81,75.31,78.74,114.28,136.02,151.73,168.31,200.67
Selling and admin,,,40.39,50.55,48.16,29.77,104.97,119.15,187.78,
Other Expenses,,,7.33,8.51,6.46,66.29,40.57,22.88,63.31,213.0
Other Income,,,5.47,7.61,5.19,8.48,14.67,24.76,63.24,40.55
Depreciation,,,2.61,7.52,7.51,11.69,16.67,18.88,17.24,21.52
Interest,,,18.04,36.12,30.52,58.22,89.55,110.89,81.87,106.49
Profit before tax,,,43.76,51.06,178.87,239.84,164.63,191.66,268.74,371.27
Tax,,,15.23,12.83,42.52,57.33,41.28,47.8,59.02,88.93
Net profit,,,28.52,39.59,130.38,182.51,123.25,141.22,208.06,277.58
Dividend Amount,,,0.1,0.1,0.1,0.08,2.09,6.59,6.59,13.18
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,2623.96,3002.23,4267.08,3706.17,2826.31,2973.17,3152.14,4155.41,4030.41,4489.38
Expenses,2559.96,2934.25,4183.91,3607.21,2804.82,2879.41,3048.63,4051.76,3911.48,4356.74
Other Income,4.32,15.71,7.42,5.48,48.42,4.84,7.91,4.48,12.12,16.05
Depreciation,4.91,4.9,4.07,4.23,4.4,4.54,4.21,5.07,6.1,6.13
Interest,29.91,23.24,13.87,17.27,22.86,23.55,26.93,24.4,26.24,28.93
Profit before tax,33.5,55.55,72.65,82.94,42.65,70.51,80.28,78.66,98.71,113.63
Tax,8.72,8.49,17.61,13.07,10.58,17.77,18.58,19.44,24.11,26.8
Net profit,25.22,39.79,55.21,69.74,31.84,51.28,61.32,58.51,73.55,84.21
Operating Profit,64.0,67.98,83.17,98.96,21.49,93.76,103.51,103.65,118.93,132.64
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,0.99,1.0,1.0,20.89,20.89,32.95,32.95,32.95
Reserves,,,194.62,261.75,393.26,554.25,679.3,1517.63,1709.21,1992.06
Borrowings,,,369.73,327.0,489.93,881.74,1082.11,699.71,909.62,990.63
Other Liabilities,,,401.25,493.89,708.5,1208.85,1010.44,1568.55,1609.9,2311.51
Total,,,966.59,1083.64,1592.69,2665.73,2792.74,3818.84,4261.68,5327.15
Net Block,,,23.93,60.09,62.27,70.1,76.67,70.77,63.4,79.6
Capital Work in Progress,,,,0.77,3.16,0.09,3.97,,,0.3
Investments,,,13.4,2.31,,7.33,5.62,,,
Other Assets,,,929.26,1020.47,1527.26,2588.21,2706.48,3748.07,4198.28,5247.25
Total,,,966.59,1083.64,1592.69,2665.73,2792.74,3818.84,4261.68,5327.15
Receivables,,,502.8,418.26,792.38,1152.15,871.62,1384.3,1795.1,2184.21
Inventory,,,337.12,489.01,572.53,1199.3,1493.4,1824.8,1999.54,2553.72
Cash & Bank,,,0.72,4.97,28.95,45.19,34.63,145.03,21.95,81.21
No. of Equity Shares,,,994855.0,994855.0,994855.0,41783910.0,41783910.0,65899665.0,65899665.0,
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,-26.34,81.66,-109.47,-315.21,-114.55,-102.01,-299.18,113.69
Cash from Investing Activity,,,-6.68,3.4,-0.98,-6.06,-3.85,1.09,53.12,19.42
Cash from Financing Activity,,,32.55,-80.82,134.43,337.51,107.84,211.31,122.65,-80.27
Net Cash Flow,,,-0.47,4.24,23.98,16.25,-10.57,110.4,-123.41,52.84
PRICE:,,,,,,,,312.75,284.3,337.9
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,6.59,6.59,6.59
