COMPANY NAME,ENTERO HEALTHCARE SOLUTIONS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1273.4,,,,,,,,,
Market Capitalization,5536.83,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,1349.62,1773.1,2522.07,3300.21,3922.31,5095.78,6591.21
Raw Material Cost,,,,1277.54,1686.57,2342.47,3051.26,3627.81,4756.49,5914.84
Change in Inventory,,,,38.61,48.43,30.03,19.4,57.46,147.01,4.01
Power and Fuel,,,,2.17,3.39,4.07,4.25,5.6,7.2,
Other Mfr. Exp,,,,2.09,3.52,2.94,4.02,5.35,6.58,
Employee Cost,,,,56.13,74.94,114.81,128.14,151.15,199.04,245.5
Selling and admin,,,,23.6,32.53,33.75,55.19,66.96,87.4,
Other Expenses,,,,3.22,5.66,29.62,12.74,11.06,14.39,168.92
Other Income,,,,4.66,10.56,4.48,5.51,14.41,39.36,11.06
Depreciation,,,,11.5,16.28,19.75,24.24,25.02,30.69,43.29
Interest,,,,12.77,20.04,28.98,48.97,65.68,41.62,54.39
Profit before tax,,,,3.87,-10.84,-19.81,-3.69,35.55,138.74,179.34
Tax,,,,2.58,4.51,9.62,7.42,-4.24,31.31,33.5
Net profit,,,,0.94,-15.54,-29.92,-11.56,39.11,94.82,115.04
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,992.63,1034.18,1097.04,1300.69,1359.0,1339.06,1403.82,1570.95,1706.52,1909.93
Expenses,964.03,1005.31,1066.87,1258.24,1308.99,1290.14,1353.76,1508.88,1638.74,1823.89
Other Income,1.79,9.15,13.44,11.28,7.5,7.29,5.83,4.79,-3.57,4.01
Depreciation,5.99,7.14,6.61,7.49,8.1,8.49,8.87,9.83,9.8,14.79
Interest,16.07,17.32,9.7,11.46,9.97,10.49,10.66,12.4,14.01,17.31
Profit before tax,8.33,13.56,27.3,34.78,39.44,37.23,36.36,44.63,40.4,57.95
Tax,1.35,-7.61,6.77,8.74,9.99,5.81,6.13,8.02,6.52,12.82
Net profit,6.78,20.97,20.08,23.62,25.44,25.69,27.8,31.6,27.63,28.01
Operating Profit,28.6,28.87,30.17,42.45,50.01,48.92,50.06,62.07,67.78,86.04
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,0.1,0.1,3.85,4.11,43.49,43.51,43.51
Reserves,,,,-16.13,-31.85,-61.8,-72.7,1594.57,1680.64,1645.1
Borrowings,,,,602.8,720.05,973.62,1101.37,337.98,385.23,677.15
Other Liabilities,,,,162.2,147.34,209.63,275.27,368.91,593.14,1234.5
Total,,,,748.97,835.64,1125.3,1308.05,2344.95,2702.52,3600.26
Net Block,,,,186.25,188.57,261.97,267.73,289.34,559.29,960.49
Capital Work in Progress,,,,2.26,2.24,0.64,,,0.26,
Investments,,,,,,,,,57.56,129.89
Other Assets,,,,560.46,644.83,862.69,1040.32,2055.61,2085.41,2509.88
Total,,,,748.97,835.64,1125.3,1308.05,2344.95,2702.52,3600.26
Receivables,,,,231.8,242.59,374.6,514.88,615.4,830.36,1212.44
Inventory,,,,194.55,243.93,310.16,341.63,421.16,659.78,841.68
Cash & Bank,,,,70.82,82.82,105.4,106.84,893.18,260.42,161.79
No. of Equity Shares,,,,100200.0,100200.0,3850000.0,4111527.0,43493767.0,43493767.0,
New Bonus Shares,,,,,,,,,,
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,-36.52,-68.68,-35.27,-45.32,-36.61,-76.87,96.2
Cash from Investing Activity,,,,-203.28,-30.87,-161.73,-48.6,-704.04,232.16,-303.06
Cash from Financing Activity,,,,216.81,88.71,211.19,72.76,862.94,-73.66,123.66
Net Cash Flow,,,,-22.99,-10.84,14.19,-21.15,122.28,81.63,-83.2
PRICE:,,,,,,,,987.45,1137.0,1247.8
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.01,0.01,0.39,0.41,4.35,4.35,4.35
