COMPANY NAME,ION EXCHANGE (INDIA) LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,424.6,,,,,,,,,
Market Capitalization,6215.9,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,1008.91,1045.81,1162.28,1479.83,1449.52,1576.87,1989.61,2347.85,2737.11,2914.84
Raw Material Cost,721.86,652.48,737.43,967.19,898.08,971.11,1252.06,1465.26,1743.35,1938.99
Change in Inventory,28.46,-23.11,4.62,11.27,5.69,23.32,6.68,5.68,17.42,85.41
Power and Fuel,13.35,13.37,15.79,16.11,15.66,21.46,24.94,26.26,26.78,
Other Mfr. Exp,8.24,45.09,44.6,66.06,55.86,71.6,72.99,88.29,125.17,
Employee Cost,122.99,138.01,152.37,182.47,175.8,201.18,239.24,300.0,348.59,414.56
Selling and admin,62.5,64.43,70.12,77.32,54.29,73.38,94.14,128.53,142.16,
Other Expenses,34.12,29.22,37.62,44.0,48.6,45.53,54.78,69.84,71.16,436.55
Other Income,12.21,21.09,33.81,35.71,30.51,42.11,41.7,45.42,49.48,71.39
Depreciation,11.83,13.08,19.59,23.53,27.67,28.04,29.09,36.41,44.49,62.6
Interest,21.04,21.89,21.35,19.25,14.72,12.67,12.05,15.47,16.83,24.0
Profit before tax,53.65,66.22,101.84,130.88,195.04,217.33,258.7,268.89,285.48,194.94
Tax,24.81,26.36,35.93,36.73,51.71,55.64,63.74,73.54,77.23,51.73
Net profit,30.41,40.18,65.26,93.62,143.93,162.77,196.74,196.02,207.82,142.67
Dividend Amount,4.98,4.98,6.4,8.54,14.23,14.23,17.79,21.34,21.34,17.79
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,553.85,781.81,567.57,644.47,690.51,834.56,583.19,733.94,734.44,863.27
Expenses,483.27,689.82,503.36,576.17,615.04,748.82,520.65,665.45,675.19,843.53
Other Income,9.44,16.85,11.43,14.53,8.91,14.84,18.2,14.62,-4.43,43.13
Depreciation,9.62,10.42,10.44,10.89,11.33,11.83,12.26,12.17,18.57,19.6
Interest,3.22,3.23,2.93,3.62,3.3,3.61,2.56,3.08,7.57,10.79
Profit before tax,67.18,95.19,62.27,68.32,69.75,85.14,65.92,67.86,28.68,32.48
Tax,19.94,22.74,17.49,17.68,20.16,21.9,17.48,17.94,8.12,8.19
Net profit,47.46,72.79,44.96,50.94,48.56,63.35,48.7,49.53,20.3,24.14
Operating Profit,70.58,91.99,64.21,68.3,75.47,85.74,62.54,68.49,59.25,19.74
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23,14.23
Reserves,152.51,185.88,245.8,348.92,491.61,641.43,819.26,1003.68,1193.65,1324.8
Borrowings,110.8,164.76,109.65,122.17,62.32,55.22,59.23,152.41,322.6,482.19
Other Liabilities,689.06,699.2,794.52,896.5,875.15,914.3,1046.65,1270.59,1448.75,1558.71
Total,966.6,1064.07,1164.2,1381.82,1443.31,1625.18,1939.37,2440.91,2979.23,3379.93
Net Block,98.96,144.87,160.67,194.04,189.74,192.1,215.41,366.54,392.25,753.94
Capital Work in Progress,33.55,6.58,12.28,11.51,14.6,20.04,41.95,60.68,323.42,174.7
Investments,3.22,4.08,4.51,4.57,4.51,8.66,9.84,12.23,13.19,15.82
Other Assets,830.87,908.54,986.74,1171.7,1234.46,1404.38,1672.17,2001.46,2250.37,2435.47
Total,966.6,1064.07,1164.2,1381.82,1443.31,1625.18,1939.37,2440.91,2979.23,3379.93
Receivables,416.17,437.1,424.17,501.87,448.96,507.7,696.79,934.78,1133.91,1074.69
Inventory,128.95,101.19,129.76,134.5,127.59,180.96,222.26,236.54,298.99,441.39
Cash & Bank,167.68,263.17,290.41,373.08,505.38,535.9,547.97,587.9,465.8,318.67
No. of Equity Shares,14228785.0,14228785.0,14228785.0,14228785.0,14228785.0,14228785.0,14228785.0,142287850.0,142287850.0,
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,176.32,86.13,126.61,101.79,197.05,91.38,62.73,129.94,32.05,-28.47
Cash from Investing Activity,-75.37,-167.12,-69.72,-17.34,-26.58,-92.67,-41.14,-160.03,-164.6,-44.46
Cash from Financing Activity,-3.29,31.14,-78.97,-28.17,-74.7,-26.86,-15.31,8.36,128.21,100.11
Net Cash Flow,97.66,-49.85,-22.08,56.28,95.77,-28.15,6.28,-21.72,-4.35,27.18
PRICE:,38.88,49.77,39.81,60.24,130.65,166.32,341.4,506.65,467.15,320.35
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67,14.67
