COMPANY NAME,PRAJ INDUSTRIES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,318.75,,,,,,,,,
Market Capitalization,5858.11,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,914.99,916.59,1141.11,1102.37,1304.67,2343.27,3528.04,3466.28,3228.04,3167.88
Raw Material Cost,477.01,471.2,601.33,567.02,730.97,1491.09,2229.19,1912.17,1639.86,1615.44
Change in Inventory,9.87,1.92,-8.2,14.65,-5.15,27.38,27.76,-49.95,-14.74,-4.6
Power and Fuel,5.54,6.41,5.73,6.15,5.85,7.29,11.62,11.84,17.36,18.88
Other Mfr. Exp,99.82,103.87,130.76,152.91,152.54,267.6,448.92,533.26,601.14,773.13
Employee Cost,148.04,149.47,161.29,164.7,173.01,218.52,258.67,320.09,350.63,347.46
Selling and admin,86.59,93.77,103.72,94.53,84.62,139.96,229.27,181.7,200.64,170.33
Other Expenses,39.18,42.26,50.75,53.65,40.1,52.4,69.99,85.42,89.17,83.07
Other Income,22.28,26.72,32.3,30.02,25.66,36.19,45.46,59.46,88.94,20.78
Depreciation,22.12,24.09,22.95,21.85,22.12,22.59,30.25,44.06,86.44,105.56
Interest,1.31,1.14,0.76,3.1,2.86,2.51,4.63,9.79,18.45,20.27
Profit before tax,67.53,53.02,87.92,83.13,113.11,204.88,318.72,377.46,298.55,49.92
Tax,22.92,13.53,19.72,12.7,32.04,54.63,78.91,94.07,79.62,26.07
Net profit,44.6,39.49,68.2,70.43,81.05,150.24,239.79,283.36,218.91,23.84
Dividend Amount,29.07,29.31,38.72,49.45,39.58,77.13,82.66,110.28,110.28,66.17
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,828.62,1018.56,699.14,816.19,853.03,859.68,640.2,841.63,841.49,844.56
Expenses,731.07,887.82,607.16,729.98,780.32,784.36,608.77,785.78,800.19,821.28
Other Income,9.06,11.43,40.14,13.51,13.77,10.11,8.59,5.44,-22.55,32.53
Depreciation,10.85,15.33,20.16,20.56,23.28,22.44,25.21,26.71,26.56,27.09
Interest,3.84,3.82,4.92,4.72,4.38,4.74,5.2,4.97,5.03,5.19
Profit before tax,91.92,123.02,107.04,74.44,58.82,58.25,9.61,29.61,-12.84,23.53
Tax,21.5,31.09,22.86,20.61,17.72,18.44,4.27,10.33,-0.45,11.92
Net profit,70.41,91.93,84.18,53.82,41.1,39.81,5.34,19.28,-12.39,11.61
Operating Profit,97.55,130.74,91.98,86.21,72.71,75.32,31.43,55.85,41.3,23.28
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,35.89,36.19,36.53,36.63,36.65,36.73,36.74,36.76,36.76,36.76
Reserves,673.75,689.95,708.49,682.62,765.18,878.98,1041.26,1237.71,1345.0,1272.36
Borrowings,4.38,6.02,0.04,,,21.09,42.14,169.33,194.88,173.04
Other Liabilities,473.39,401.2,501.9,442.4,791.99,1280.96,1498.53,1450.34,1580.72,1573.73
Total,1187.41,1133.36,1246.96,1161.65,1593.82,2217.76,2618.67,2894.14,3157.36,3055.89
Net Block,269.86,297.12,290.02,293.83,283.57,286.06,316.82,474.4,567.07,559.95
Capital Work in Progress,31.46,4.17,2.23,2.08,0.61,2.09,6.95,43.35,17.79,6.19
Investments,134.34,200.87,210.51,163.52,334.81,463.1,542.89,496.67,428.2,418.12
Other Assets,751.75,631.2,744.2,702.22,974.83,1466.51,1752.01,1879.72,2144.3,2071.63
Total,1187.41,1133.36,1246.96,1161.65,1593.82,2217.76,2618.67,2894.14,3157.36,3055.89
Receivables,294.88,262.5,305.29,330.14,453.44,511.79,794.83,643.22,555.99,558.68
Inventory,104.53,80.79,126.38,111.14,128.91,345.03,333.62,220.85,253.31,266.11
Cash & Bank,73.57,80.25,87.96,49.31,132.45,155.08,144.82,212.71,181.17,203.74
No. of Equity Shares,179444188.0,180932415.0,182647850.0,183160060.0,183228904.0,183673088.0,183713088.0,183813088.0,183813088.0,183813088.0
New Bonus Shares,,,,,,,,,,
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,20.19,101.4,32.99,14.67,225.09,187.66,162.13,199.39,42.96,200.09
Cash from Investing Activity,-7.63,-68.62,-3.22,65.64,-163.54,-136.96,-77.61,-5.66,75.38,3.63
Cash from Financing Activity,-3.86,-24.74,-43.44,-98.03,-6.29,-44.35,-93.4,-123.89,-160.84,-187.27
Net Cash Flow,8.71,8.04,-13.67,-17.72,55.27,6.35,-8.87,69.83,-42.5,16.45
PRICE:,80.05,80.3,155.1,55.05,194.85,398.45,341.0,532.95,554.85,318.05
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,17.94,18.09,18.26,18.32,18.32,18.37,18.37,18.38,18.38,18.38
