COMPANY NAME,HLE GLASCOAT LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,441.1,,,,,,,,,
Market Capitalization,3063.65,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,359.36,426.41,484.49,652.22,932.02,967.92,1027.54,1352.98
Raw Material Cost,,,198.34,229.8,230.42,338.8,420.97,452.52,501.8,603.24
Change in Inventory,,,1.88,17.85,-6.38,20.48,-7.76,13.18,51.42,-30.39
Power and Fuel,,,18.32,22.49,17.45,26.84,42.24,47.43,42.72,48.12
Other Mfr. Exp,,,49.33,62.28,69.64,88.79,104.71,109.18,112.3,160.77
Employee Cost,,,27.35,33.0,36.64,67.5,147.29,178.71,200.65,253.3
Selling and admin,,,18.28,20.71,25.0,31.42,51.44,57.56,73.94,96.84
Other Expenses,,,3.0,3.32,6.43,8.47,18.7,21.33,11.98,17.99
Other Income,,,2.47,4.68,3.93,-1.35,8.03,3.51,8.22,2.1
Depreciation,,,6.53,7.44,8.61,11.23,22.7,26.31,29.67,36.45
Interest,,,15.05,13.33,10.61,13.99,24.91,32.89,39.05,37.03
Profit before tax,,,27.51,56.57,77.24,84.31,99.33,58.68,75.07,70.95
Tax,,,8.98,17.36,23.87,26.08,29.52,17.79,13.3,14.38
Net profit,,,17.89,38.24,52.32,58.17,69.81,29.69,54.85,49.42
Dividend Amount,,,,5.82,5.23,6.82,7.51,7.51,7.64,7.64
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,306.9,227.07,235.78,231.03,333.71,283.95,350.78,326.57,391.69,300.75
Expenses,270.41,205.22,201.68,205.39,281.71,246.35,312.54,305.47,348.86,279.82
Other Income,1.97,1.78,1.39,1.93,2.25,2.25,-1.15,0.31,0.68,1.7
Depreciation,6.95,7.26,7.3,7.38,7.73,8.36,8.6,9.9,9.6,9.9
Interest,10.34,9.44,8.65,8.78,9.32,8.6,9.33,7.86,8.66,8.36
Profit before tax,21.17,6.93,19.54,11.41,37.2,22.89,19.16,3.65,25.25,4.37
Tax,6.36,1.51,5.11,1.12,5.56,5.02,5.2,-0.95,5.1,2.31
Net profit,9.93,3.4,12.69,8.49,20.34,14.76,11.99,2.83,18.19,2.77
Operating Profit,36.49,21.85,34.1,25.64,52.0,37.6,38.24,21.1,42.83,20.93
BALANCE SHEET,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,6.5,12.93,13.08,13.65,13.65,13.65,13.89,13.89
Reserves,,,34.72,63.08,121.61,238.75,312.29,402.78,464.17,520.03
Borrowings,,,114.54,100.01,93.23,218.03,257.52,390.0,379.18,347.6
Other Liabilities,,,137.89,159.35,149.19,288.97,311.01,395.41,430.77,486.41
Total,,,293.65,335.37,377.11,759.4,894.47,1201.84,1288.01,1367.93
Net Block,,,84.89,94.28,119.99,245.07,318.23,541.15,593.09,627.48
Capital Work in Progress,,,4.14,10.01,3.12,31.15,2.91,19.43,5.0,3.74
Investments,,,,,,,,,,
Other Assets,,,204.62,231.08,254.0,483.18,573.33,641.26,689.92,736.71
Total,,,293.65,335.37,377.11,759.4,894.47,1201.84,1288.01,1367.93
Receivables,,,33.46,44.11,69.18,147.99,242.8,237.18,184.9,269.89
Inventory,,,131.36,153.45,147.64,268.03,268.47,312.15,369.5,355.76
Cash & Bank,,,17.77,9.79,20.52,39.38,16.26,45.47,52.16,58.5
No. of Equity Shares,,,6500000.0,12931076.0,13075480.0,13653096.0,68265480.0,68265480.0,69454739.0,69454739.0
New Bonus Shares,,,,,,,,,,
Face value,,,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0
CASH FLOW:,,,,,,,,,,
Report Date,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,48.56,44.65,48.24,1.05,4.88,94.73,134.36,161.22
Cash from Investing Activity,,,-14.68,-19.38,-29.17,-146.42,-40.42,-45.46,-68.38,-81.56
Cash from Financing Activity,,,-28.62,-30.4,-9.9,159.81,13.29,-18.67,-59.67,-84.89
Net Cash Flow,,,5.26,-5.12,9.16,14.44,-22.25,30.6,6.31,-5.23
PRICE:,,,35.37,95.73,457.33,1089.18,504.8,408.3,250.39,251.0
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,3.25,6.47,6.54,6.83,6.83,6.83,6.83,6.95
