COMPANY NAME,STANDARD ENGINEERING TECHNOLOGY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,402.55,,,,,,,,,
Market Capitalization,8030.54,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,,,240.19,497.59,543.67,613.66,774.1
Raw Material Cost,,,,,,139.19,299.67,351.66,358.49,528.28
Change in Inventory,,,,,,24.04,14.17,33.99,14.24,113.6
Power and Fuel,,,,,,9.97,13.42,12.63,11.64,13.43
Other Mfr. Exp,,,,,,53.22,84.44,75.28,93.1,140.05
Employee Cost,,,,,,13.52,15.75,20.77,28.79,43.43
Selling and admin,,,,,,5.7,10.66,17.15,23.98,31.0
Other Expenses,,,,,,2.17,2.05,5.26,4.48,12.55
Other Income,,,,,,1.32,2.49,6.01,12.31,18.99
Depreciation,,,,,,4.24,7.71,9.33,11.07,16.0
Interest,,,,,,3.77,8.7,11.79,15.12,10.75
Profit before tax,,,,,,33.77,71.85,79.8,93.54,111.2
Tax,,,,,,8.63,18.43,19.79,24.89,28.16
Net profit,,,,,,25.15,53.42,58.38,64.34,80.04
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,201.34,141.83,165.36,140.14,166.33,173.07,182.78,191.57,226.68,247.69
Expenses,169.82,117.86,131.53,114.16,142.7,143.51,154.16,162.33,195.16,208.08
Other Income,5.1,2.31,2.6,2.69,4.72,5.1,5.42,4.29,4.19,4.5
Depreciation,2.08,2.35,2.62,2.61,3.49,3.64,3.86,4.13,4.37,4.95
Interest,3.6,3.53,4.47,4.49,2.63,2.55,2.46,2.93,2.8,3.13
Profit before tax,30.94,20.4,29.34,21.57,22.23,28.47,27.72,26.47,28.54,36.03
Tax,6.8,5.03,8.43,5.68,5.74,7.34,7.27,6.08,7.47,9.29
Net profit,23.22,14.77,19.49,14.99,15.1,20.87,20.19,19.19,19.8,26.35
Operating Profit,31.52,23.97,33.83,25.98,23.63,29.56,28.62,29.24,31.52,39.61
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,,,15.3,15.79,18.16,199.49,199.49
Reserves,,,,,,53.66,139.94,389.18,507.31,589.28
Borrowings,,,,,,69.81,81.96,129.32,67.82,82.68
Other Liabilities,,,,,,159.34,110.1,128.72,183.78,382.34
Total,,,,,,298.11,347.79,665.38,958.4,1253.79
Net Block,,,,,,51.99,75.04,96.15,135.88,182.7
Capital Work in Progress,,,,,,0.7,3.29,4.47,8.48,26.59
Investments,,,,,,,,,,
Other Assets,,,,,,245.42,269.46,564.76,814.04,1044.5
Total,,,,,,298.11,347.79,665.38,958.4,1253.79
Receivables,,,,,,82.17,91.28,154.78,214.02,255.52
Inventory,,,,,,125.93,143.41,224.8,279.3,437.99
Cash & Bank,,,,,,0.12,5.42,51.94,121.61,114.94
No. of Equity Shares,,,,,,15300000.0,15784607.0,18163452.0,199491662.0,199491662.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,,,-7.15,1.75,-65.03,5.25,45.33
Cash from Investing Activity,,,,,,-29.74,-29.02,-156.83,-159.94,-38.08
Cash from Financing Activity,,,,,,37.0,32.57,231.9,140.91,-1.62
Net Cash Flow,,,,,,0.11,5.3,10.03,-13.78,5.62
PRICE:,,,,,,,,,146.82,105.65
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,1.53,1.58,1.82,19.95,19.95
