COMPANY NAME,SBFC FINANCE LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,93.15,,,,,,,,,
Market Capitalization,10314.54,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00
Sales,,,,,,,529.1,734.41,1019.07,1306.16
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,1.33,1.88,2.33,3.31
Other Mfr. Exp,,,,,,,20.04,9.88,11.46,14.09
Employee Cost,,,,,,,109.98,160.74,217.8,253.96
Selling and admin,,,,,,,37.14,40.46,55.64,59.51
Other Expenses,,,,,,,41.33,34.36,50.47,79.02
Other Income,,,,,,,1.27,5.18,0.68,0.06
Depreciation,,,,,,,11.78,12.71,13.41,16.81
Interest,,,,,,,222.07,278.19,352.5,420.79
Profit before tax,,,,,,,86.7,201.37,316.14,458.73
Tax,,,,,,,22.17,51.63,79.04,113.43
Net profit,,,,,,,64.52,149.74,237.1,345.3
Dividend Amount,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00
Sales,,,229.58,246.31,263.84,278.91,297.75,314.22,333.5,360.68
Expenses,,,75.41,83.47,90.42,90.42,93.86,99.88,105.05,113.16
Other Income,,,0.34,0.2,0.09,0.65,0.01,0.28,0.08,0.22
Depreciation,,,3.12,3.25,3.42,3.63,3.76,3.85,4.65,4.56
Interest,,,88.61,89.16,84.58,88.3,94.76,100.38,106.11,117.99
Profit before tax,,,62.78,70.63,85.51,97.21,105.38,110.39,117.77,125.19
Tax,,,15.82,18.02,21.66,23.54,26.47,26.23,29.49,31.25
Net profit,,,46.97,52.61,63.86,73.67,78.91,84.16,88.28,93.94
Operating Profit,,,154.17,162.84,173.42,188.49,203.89,214.34,228.45,247.52
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00
Equity Share Capital,,,,,,,806.8,889.57,1071.89,1085.18
Reserves,,,,,,,480.37,837.7,1706.18,2104.89
Borrowings,,,,,,,2939.91,3739.06,3996.02,5264.32
Other Liabilities,,,,,,,287.95,280.11,288.7,141.36
Total,,,,,,,4515.03,5746.44,7062.79,8595.75
Net Block,,,,,,,299.39,296.4,299.87,307.89
Capital Work in Progress,,,,,,,,0.75,1.53,0.58
Investments,,,,,,,848.11,606.59,406.11,326.83
Other Assets,,,,,,,3367.53,4842.7,6355.28,7960.45
Total,,,,,,,4515.03,5746.44,7062.79,8595.75
Receivables,,,,,,,8.27,10.83,14.58,14.81
Inventory,,,,,,,,,,
Cash & Bank,,,,,,,335.29,400.81,486.92,429.36
No. of Equity Shares,,,,,,,826647287.0,897023682.0,1073754986.0,1085999088.0
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00
Cash from Operating Activity,,,,,,,-821.64,-1244.59,-1155.17,-1415.01
Cash from Investing Activity,,,,,,,651.82,205.92,159.37,174.19
Cash from Financing Activity,,,,,,,183.03,1071.01,1037.2,1281.01
Net Cash Flow,,,,,,,13.2,32.33,41.4,40.19
PRICE:,,,,,,,,,81.95,88.24
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,83.45,89.7,107.38,108.6
