COMPANY NAME,R R KABEL LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5.0,,,,,,,,,
Current Price,2780.0,,,,,,,,,
Market Capitalization,31443.33,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,,,2478.52,2723.94,4385.94,5599.2,6594.57,7618.23,9722.36
Raw Material Cost,,,,1938.35,2303.06,3732.13,4738.64,5346.17,6332.09,8681.6
Change in Inventory,,,,13.09,153.85,124.15,162.94,-2.74,77.14,749.34
Power and Fuel,,,,29.91,30.66,37.02,48.79,56.88,60.14,69.51
Other Mfr. Exp,,,,15.82,13.25,21.08,32.03,28.82,33.93,39.33
Employee Cost,,,,135.92,148.58,189.08,264.89,317.74,349.17,402.02
Selling and admin,,,,126.52,117.11,197.98,300.33,314.69,347.33,384.08
Other Expenses,,,,38.24,32.93,28.59,54.41,65.55,85.95,109.3
Other Income,,,,27.02,23.09,50.48,35.38,63.67,53.21,42.72
Depreciation,,,,38.8,44.75,46.08,59.63,65.49,70.5,92.26
Interest,,,,37.39,29.11,24.25,42.81,54.07,60.02,77.3
Profit before tax,,,,157.68,181.43,284.36,255.99,406.09,409.45,659.02
Tax,,,,35.27,46.03,70.43,66.12,107.96,97.85,166.8
Net profit,,,,122.4,135.4,213.94,189.87,298.13,311.61,492.22
Dividend Amount,,,,30.42,,23.92,43.06,67.69,67.85,107.44
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,1754.07,1808.11,1810.14,1782.15,2217.84,2058.6,2163.77,2535.86,2964.1,3168.2
Expenses,1638.77,1713.17,1724.59,1671.61,2023.46,1916.6,1987.97,2331.57,2702.4,2885.0
Other Income,19.57,19.01,7.22,13.88,13.32,13.4,17.17,-2.67,14.8,48.8
Depreciation,16.32,16.2,17.47,17.8,19.03,20.3,21.86,23.92,26.2,29.7
Interest,12.82,11.61,15.63,16.16,15.49,15.1,16.24,18.91,25.0,26.3
Profit before tax,105.73,86.14,59.67,90.46,173.18,120.0,154.87,158.79,225.3,276.0
Tax,27.01,21.76,10.14,21.89,44.05,30.3,38.62,40.54,57.4,70.8
Net profit,78.72,64.38,49.53,68.57,129.13,89.7,116.26,118.25,167.9,205.2
Operating Profit,115.3,94.94,85.55,110.54,194.38,142.0,175.8,204.29,261.7,283.2
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,,,23.4,23.92,23.92,47.85,56.41,56.54,56.55
Reserves,,,,880.65,1022.71,1226.38,956.66,1772.09,2096.08,2517.85
Borrowings,,,,399.59,507.04,532.59,995.63,359.99,290.12,337.03
Other Liabilities,,,,241.72,161.44,267.75,633.48,680.81,1074.18,1709.95
Total,,,,1545.36,1715.11,2050.64,2633.62,2869.3,3516.92,4621.38
Net Block,,,,390.53,399.41,398.49,517.16,534.62,768.98,1172.71
Capital Work in Progress,,,,15.37,7.17,42.91,43.58,163.58,234.73,72.19
Investments,,,,220.77,236.62,267.67,362.66,341.5,239.15,255.33
Other Assets,,,,918.69,1071.91,1341.57,1710.22,1829.6,2274.06,3121.15
Total,,,,1545.36,1715.11,2050.64,2633.62,2869.3,3516.92,4621.38
Receivables,,,,418.96,420.36,517.15,591.87,641.2,823.21,997.99
Inventory,,,,375.21,534.06,709.62,860.18,897.82,1010.85,1770.53
Cash & Bank,,,,11.28,8.47,12.3,81.08,98.79,226.91,90.72
No. of Equity Shares,,,,23395276.0,23924074.0,23924074.0,95696296.0,112818761.0,113072901.0,113105505.0
New Bonus Shares,,,,,,,47848148.0,,,
Face value,,,,10.0,10.0,10.0,5.0,5.0,5.0,5.0
CASH FLOW:,,,,,,,,,,
Report Date,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,,,215.59,-71.06,98.17,453.75,338.99,494.4,295.29
Cash from Investing Activity,,,,-128.26,-5.88,-62.66,-333.5,-83.51,-169.02,-263.41
Cash from Financing Activity,,,,-81.9,74.13,-31.61,-101.51,-205.02,-191.2,-162.03
Net Cash Flow,,,,5.44,-2.81,3.9,18.74,50.46,134.18,-130.15
PRICE:,,,,,,,,1538.95,948.0,1293.4
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,2.34,2.39,2.39,9.57,11.28,11.31,11.31
