COMPANY NAME,UNIVERSAL CABLES LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,1705.65,,,,,,,,,
Market Capitalization,5917.8,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,817.27,1180.18,1415.38,1567.77,1280.26,1813.13,2201.75,2020.23,2407.17,3022.07
Raw Material Cost,573.49,869.93,1015.16,1100.01,936.51,1411.51,1668.05,1491.03,1876.25,2372.19
Change in Inventory,4.88,17.45,63.22,2.59,-1.12,12.61,-5.38,19.45,46.43,107.16
Power and Fuel,17.86,20.62,21.62,22.97,19.52,21.47,25.18,26.76,26.71,31.23
Other Mfr. Exp,69.43,81.7,140.32,150.73,113.78,122.38,142.53,184.94,219.81,277.67
Employee Cost,49.63,58.7,63.86,70.53,69.66,80.03,88.31,95.96,108.51,132.75
Selling and admin,24.07,43.87,42.69,44.4,37.62,51.73,64.15,58.82,20.87,25.61
Other Expenses,12.32,15.9,20.04,15.76,11.22,15.7,22.78,20.47,27.65,29.55
Other Income,52.12,51.81,78.61,80.62,87.92,77.73,86.02,97.66,74.82,111.0
Depreciation,18.89,20.9,21.38,22.53,26.35,24.36,22.48,23.76,27.32,38.93
Interest,43.97,53.43,62.06,77.26,62.83,77.73,97.41,91.47,103.85,114.9
Profit before tax,64.61,84.39,170.08,146.79,89.57,98.56,151.5,144.13,117.45,217.4
Tax,-5.88,1.69,34.22,56.71,22.34,23.64,33.35,35.9,28.07,54.29
Net profit,70.49,82.7,135.86,90.08,67.23,74.93,118.15,108.22,89.39,163.11
Dividend Amount,,5.2,6.94,6.94,3.47,5.2,10.41,10.41,13.88,15.62
Quarters,,,,,,,,,,
Report Date,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00,2026-06-30 00:00:00
Sales,580.33,488.7,638.12,607.54,674.03,600.19,814.29,767.92,840.27,945.06
Expenses,519.16,456.97,591.1,568.57,612.25,542.38,740.56,707.72,771.37,853.6
Other Income,33.74,9.18,8.76,16.2,34.99,21.23,24.27,14.83,50.75,42.06
Depreciation,6.42,6.81,6.82,6.6,7.09,8.56,9.15,10.24,10.98,12.19
Interest,23.65,25.81,25.88,27.43,24.73,24.13,27.05,31.23,32.49,36.49
Profit before tax,64.84,8.29,23.08,21.14,64.95,46.35,61.8,33.56,76.18,84.84
Tax,16.26,2.7,4.81,5.31,15.25,12.76,14.12,6.37,21.17,14.69
Net profit,48.57,5.59,18.28,15.83,49.69,33.6,47.68,27.19,55.01,70.14
Operating Profit,61.17,31.73,47.02,38.97,61.78,57.81,73.73,60.2,68.9,91.46
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7,34.7
Reserves,646.61,799.91,964.48,955.49,1100.97,1260.09,1461.91,1740.35,1737.29,1856.31
Borrowings,288.31,393.66,541.11,621.29,609.43,693.72,657.16,771.03,848.78,1177.31
Other Liabilities,174.59,299.18,310.45,571.17,605.57,769.63,656.54,773.55,798.51,1254.77
Total,1144.21,1527.45,1850.74,2182.65,2350.67,2758.14,2810.31,3319.63,3419.28,4323.09
Net Block,133.91,121.52,155.05,172.42,187.05,166.56,160.86,199.94,255.35,416.98
Capital Work in Progress,0.35,16.59,1.71,17.42,0.12,1.57,10.59,0.18,35.05,137.29
Investments,517.74,633.63,740.34,847.27,1025.29,1190.01,1358.97,1652.45,1618.3,1654.21
Other Assets,492.21,755.71,953.64,1145.54,1138.21,1400.0,1279.89,1467.06,1510.58,2114.61
Total,1144.21,1527.45,1850.74,2182.65,2350.67,2758.14,2810.31,3319.63,3419.28,4323.09
Receivables,312.28,513.82,607.31,802.44,802.98,967.86,889.8,1076.8,910.65,1144.41
Inventory,137.89,165.87,262.6,266.86,260.35,300.88,280.27,284.02,395.32,607.52
Cash & Bank,4.19,8.35,4.95,4.55,6.66,3.99,3.71,5.02,8.11,6.3
No. of Equity Shares,34698281.0,34698281.0,34698281.0,34698281.0,34698281.0,34698281.0,34698281.0,34698281.0,34695381.0,34695381.0
New Bonus Shares,,,,,,,,,,
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,70.26,-41.63,-59.14,37.74,89.73,-12.17,143.02,33.06,175.62,63.48
Cash from Investing Activity,-12.74,-18.36,-26.77,-42.33,-16.02,-6.61,-15.24,-49.88,-140.53,-257.08
Cash from Financing Activity,-60.83,61.53,84.5,4.43,-71.92,16.17,-127.32,18.1,-31.17,191.91
Net Cash Flow,-3.31,1.54,-1.4,-0.17,1.8,-2.61,0.46,1.29,3.92,-1.69
PRICE:,100.95,130.6,220.15,84.15,136.4,138.25,358.6,455.4,495.55,649.6
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47,3.47
