COMPANY NAME,JOSTS ENGINEERING COMPANY LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,249.05,,,,,,,,,
Market Capitalization,294.55,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,,91.91,112.45,114.95,96.12,124.35,172.39,187.44,238.91,246.64
Raw Material Cost,,57.7,63.99,64.53,49.98,70.04,108.11,111.57,145.9,171.49
Change in Inventory,,2.28,-0.16,2.63,-2.8,0.75,0.82,-0.89,-2.78,10.68
Power and Fuel,,0.36,0.38,0.38,0.31,0.35,0.46,0.44,0.41,
Other Mfr. Exp,,3.64,4.7,3.91,3.3,4.76,6.06,7.19,9.56,
Employee Cost,,17.36,24.06,25.79,20.14,25.85,26.57,29.68,30.42,31.79
Selling and admin,,9.11,8.96,7.92,6.75,8.51,10.87,14.53,16.1,
Other Expenses,,1.75,3.76,4.34,3.63,4.79,6.64,5.39,4.36,40.12
Other Income,,0.4,0.51,-3.65,0.34,0.15,0.43,0.74,0.64,34.85
Depreciation,,1.24,2.07,3.01,2.77,2.83,3.25,3.14,3.6,6.1
Interest,,1.92,2.62,3.28,1.82,1.52,1.59,1.65,2.65,4.96
Profit before tax,,1.51,2.26,0.77,4.96,6.6,10.09,13.7,23.77,37.71
Tax,,-0.17,-0.61,0.53,1.47,2.04,2.78,3.8,6.23,6.55
Net profit,,1.8,3.26,0.54,3.72,4.5,7.08,9.9,17.54,31.15
Dividend Amount,,0.19,0.28,0.28,0.28,0.56,0.7,0.98,1.25,5.9
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,46.4,61.84,56.44,62.58,52.05,67.85,55.61,53.75,78.22,60.91
Expenses,40.24,56.68,50.68,53.87,44.33,60.67,52.22,49.59,71.58,59.35
Other Income,0.08,0.46,0.37,0.01,-0.35,0.61,0.43,0.43,-2.33,36.54
Depreciation,0.8,0.84,0.91,0.99,0.77,0.93,1.49,1.51,1.57,1.53
Interest,0.6,0.53,0.39,0.45,1.05,0.77,1.77,1.18,1.18,0.83
Profit before tax,4.84,4.25,4.83,7.28,5.55,6.09,0.56,1.9,1.56,35.74
Tax,1.51,1.06,1.19,2.15,1.39,1.51,0.23,1.08,0.4,4.93
Net profit,3.33,3.19,3.64,5.13,4.16,4.58,0.32,0.81,1.16,30.81
Operating Profit,6.16,5.16,5.76,8.71,7.72,7.18,3.39,4.16,6.64,1.56
BALANCE SHEET,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,,0.93,0.93,0.93,0.93,0.93,0.93,0.98,1.0,1.18
Reserves,,21.02,24.05,24.13,27.85,32.05,37.39,57.01,77.43,156.18
Borrowings,,16.5,26.33,27.22,12.76,12.0,6.72,17.06,23.25,8.27
Other Liabilities,,33.41,37.38,39.94,33.31,37.23,49.74,49.88,59.95,47.63
Total,,71.86,88.69,92.22,74.85,82.21,94.78,124.93,161.63,213.26
Net Block,,11.15,23.79,23.92,21.29,22.17,20.68,22.42,20.72,18.11
Capital Work in Progress,,0.31,0.23,0.21,0.22,0.22,0.22,8.47,19.33,
Investments,,0.13,0.13,0.14,0.15,1.15,0.17,4.29,0.2,73.7
Other Assets,,60.27,64.54,67.95,53.19,58.67,73.71,89.75,121.38,121.45
Total,,71.86,88.69,92.22,74.85,82.21,94.78,124.93,161.63,213.26
Receivables,,35.15,34.62,33.72,30.05,34.27,46.17,58.88,80.87,88.09
Inventory,,13.01,12.98,15.12,11.19,11.05,12.88,11.85,13.3,2.41
Cash & Bank,,4.53,5.9,7.43,4.42,3.78,1.99,4.27,6.91,8.07
No. of Equity Shares,,932873.0,932873.0,932873.0,932873.0,1865746.0,1865746.0,4889365.0,10000000.0,
New Bonus Shares,,,,,,,,,,
Face value,,10.0,10.0,10.0,10.0,5.0,5.0,2.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,,-1.28,6.49,6.19,13.3,6.64,10.64,1.93,4.55,-9.8
Cash from Investing Activity,,-9.36,-14.57,-2.01,-0.52,-3.98,-3.25,-23.06,-9.2,-24.39
Cash from Financing Activity,,15.37,10.89,-5.44,-6.69,-3.07,-7.15,20.67,6.38,33.33
Net Cash Flow,,4.72,2.82,-1.26,6.09,-0.41,0.24,-0.46,1.73,-0.86
PRICE:,,112.92,64.05,53.05,50.98,87.14,122.17,350.12,384.08,193.0
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,1.1,1.1,1.1,1.1,1.1,1.1,1.16,1.18,1.18
