COMPANY NAME,SHANTHI GEARS LTD,,,,,,,,,
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1.0,,,,,,,,,
Current Price,433.9,,,,,,,,,
Market Capitalization,3325.67,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Sales,183.07,213.55,241.68,242.29,215.53,337.07,445.65,536.05,604.62,518.72
Raw Material Cost,77.46,81.42,115.76,111.98,107.65,162.17,214.18,262.26,281.97,255.12
Change in Inventory,8.4,-8.87,7.88,-3.81,4.12,-4.42,-0.12,5.63,-2.33,10.46
Power and Fuel,5.61,6.25,7.06,6.65,6.3,8.65,10.32,13.6,15.71,13.96
Other Mfr. Exp,18.99,23.37,28.05,24.3,22.29,30.45,40.5,56.83,64.07,49.9
Employee Cost,39.04,41.99,45.67,48.57,46.51,57.35,71.55,77.25,82.09,81.04
Selling and admin,14.38,13.51,10.84,11.23,9.86,12.61,15.24,21.2,24.57,21.25
Other Expenses,0.26,1.18,0.76,1.01,0.15,1.13,3.54,8.23,4.71,3.64
Other Income,10.73,11.92,11.8,6.53,8.28,9.05,11.24,21.06,14.66,14.85
Depreciation,17.83,15.56,10.62,8.39,8.86,10.37,10.88,13.21,13.3,16.06
Interest,0.13,0.15,0.14,0.19,0.24,0.24,0.37,0.52,0.44,0.36
Profit before tax,28.5,33.17,42.46,32.69,26.07,58.73,90.19,109.64,130.09,102.7
Tax,5.99,4.59,9.11,7.5,5.9,16.26,23.14,27.39,34.06,26.04
Net profit,22.51,28.58,33.35,25.19,20.17,42.47,67.05,82.25,96.03,76.66
Dividend Amount,6.13,8.17,49.02,15.34,11.5,19.18,38.35,38.35,38.35,38.35
Quarters,,,,,,,,,,
Report Date,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-06-30 00:00:00,2025-09-30 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Sales,125.54,153.64,138.82,155.08,157.51,153.21,134.89,131.91,116.82,135.1
Expenses,102.19,127.03,110.17,120.92,122.56,122.24,104.38,105.39,93.83,111.21
Other Income,3.61,9.52,3.39,3.37,3.89,4.01,3.77,5.94,2.51,2.63
Depreciation,3.01,4.22,3.09,3.23,3.41,3.57,3.66,3.78,3.91,4.71
Interest,,,,,,,,,,
Profit before tax,23.95,31.91,28.95,34.3,35.43,31.41,30.62,28.68,21.59,21.81
Tax,6.52,6.23,7.29,8.67,9.15,8.95,7.93,7.17,5.4,5.54
Net profit,17.43,25.68,21.66,25.63,26.28,22.46,22.69,21.51,16.19,16.27
Operating Profit,23.35,26.61,28.65,34.16,34.95,30.97,30.51,26.52,22.99,23.89
BALANCE SHEET,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Equity Share Capital,8.17,8.17,8.17,7.67,7.67,7.67,7.67,7.67,7.67,7.67
Reserves,298.15,309.62,293.91,220.95,229.46,252.29,294.68,337.64,395.32,432.39
Borrowings,,,,,,,,,,
Other Liabilities,41.23,42.27,50.54,54.41,88.29,80.8,74.8,97.49,101.33,115.53
Total,347.55,360.06,352.62,283.03,325.42,340.76,377.15,442.8,504.32,555.59
Net Block,65.32,56.81,58.63,59.77,74.02,65.96,70.24,72.15,79.06,105.83
Capital Work in Progress,0.77,0.5,0.18,6.37,0.03,3.19,2.03,4.1,4.9,25.79
Investments,69.77,113.57,123.85,79.32,46.85,50.13,57.31,45.31,88.49,75.49
Other Assets,211.69,189.18,169.96,137.57,204.52,221.48,247.57,321.24,331.87,348.48
Total,347.55,360.06,352.62,283.03,325.42,340.76,377.15,442.8,504.32,555.59
Receivables,45.93,55.48,56.51,38.19,47.32,72.27,68.12,117.96,137.2,115.62
Inventory,75.17,58.88,70.13,60.84,78.14,64.13,66.6,85.23,80.4,112.84
Cash & Bank,2.48,1.48,19.74,1.99,56.26,67.36,90.08,7.91,64.76,75.21
No. of Equity Shares,81715853.0,81715853.0,81715853.0,76715853.0,76715853.0,76715853.0,76715853.0,76715853.0,76715853.0,76715853.0
New Bonus Shares,,,,,,,,,,
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CASH FLOW:,,,,,,,,,,
Report Date,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00,2025-03-31 00:00:00,2026-03-31 00:00:00
Cash from Operating Activity,13.81,42.25,27.16,55.58,30.72,35.01,62.95,36.38,90.87,70.1
Cash from Investing Activity,-12.92,-26.15,40.36,24.17,-18.3,-16.48,-26.17,-12.3,-38.08,-45.3
Cash from Financing Activity,,-16.71,-49.26,-97.74,-11.51,-19.18,-23.01,-38.52,-38.44,-38.47
Net Cash Flow,0.89,-0.61,18.26,-17.99,0.91,-0.65,13.77,-14.44,14.35,-13.67
PRICE:,111.25,129.3,129.2,65.6,127.2,180.1,367.05,554.05,470.75,431.3
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,8.17,8.17,8.17,7.67,7.67,7.67,7.67,7.67,7.67,7.67
